player,pos,current_candidate_rank,final_board_rank,tuned_value,confidence,age,adp,current_pick_value,reason_for_rank,suspected_issue
Jeremiyah Love,RB,1,1,62.86,Medium-low,Not enough information,7.9,Value,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Zay Flowers,WR,2,31,59.26,Medium-low,25.8,67.3,Value,Already high candidate rank but needs anchor above low-confidence rookies.,Proven young WR should remain top decision tier unless human veto.
Chris Olave,WR,3,34,56.99,Medium-low,26.0,34.8,Value,Already high candidate rank but needs anchor above low-confidence rookies.,Proven young WR should remain top decision tier unless human veto.
Makai Lemon,WR,4,2,54.66,Medium-low,Not enough information,77.4,Fair,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Carnell Tate,WR,5,3,52.84,Medium-low,Not enough information,44.8,Fair,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Jameson Williams,WR,6,42,52.73,Medium-low,25.2,70.6,Fair,"Review-visible, but volatility needs explicit note.",Keep visible against rookie WRs without calling risk-free.
KC Concepcion,WR,7,4,51.01,Medium-low,Not enough information,82.3,Fair,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Denzel Boston,WR,8,6,49.74,Medium-low,Not enough information,103.6,Slight reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Jadarian Price,RB,9,5,49.19,Medium-low,Not enough information,68.4,Slight reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Germie Bernard,WR,10,7,47.91,Medium-low,Not enough information,134.9,Slight reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Chris Bell,WR,11,8,46.09,Medium-low,Not enough information,120.4,Slight reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Zachariah Branch,WR,12,9,44.26,Medium-low,Not enough information,154.7,Slight reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Tyreek Hill,WR,13,Not on frozen board,43.51,Low,32.3,192.1,Not enough information,PDF free agent received internal review value but carried Low confidence and not-on-frozen-board status.,Age/current-status/injury/free-agent risk not loud enough; demoted to discount-only with loud warning.
Alec Pierce,WR,14,47,42.38,Medium-low,26.1,83.1,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Jonah Coleman,RB,15,11,40.61,Medium-low,Not enough information,111.9,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Skyler Bell,WR,16,12,38.79,Medium-low,Not enough information,212.0,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
Antonio Williams,WR,17,10,37.04,Low,Not enough information,186.3,Reach,Rank came from current Tuned V2 candidate value sorted over expanded draftable pool.,No emergency anchor issue identified; review-only model output.
