packet_group,packet_name,source_commit_or_reference,source_path_or_artifact_path,present_in_this_branch,source_path_verified,docs_only_review_only,include_in_push_merge_readiness,notes
canonicalization,Ingredient Upgrade Phase Batch Canonicalization / Merge Review V1,8fefe3d9c270df753f78115ee8a1450f1afbd4e9,C:\NWR\Niners-War-Room-merge-review-ingredient-upgrade-phase-canonicalization-v1-20260709\docs\hq\master\ingredient_upgrade_phase_batch_canonicalization_merge_review_v1_20260709,no,yes,yes,yes,"canonicalizes 28 formula/ingredient/source packets"
canonicalization,Formula Red Team Canonicalization Addendum V1,8e31c89aee7bc2598046206dd0ec8336dce1c248,C:\NWR\Niners-War-Room-merge-review-formula-red-team-canonicalization-addendum-v1-20260709\docs\hq\master\formula_red_team_canonicalization_addendum_v1_20260709,no,yes,yes,yes,"preserves formula miss taxonomy packet"
canonicalization,Sparse-History Overlay Candidate Canonicalization Addendum V1,4c87cb5d8d571b8f7e5fadb9156618f9d51e312b,C:\NWR\Niners-War-Room-merge-review-sparse-history-overlay-candidate-canonicalization-addendum-v1-20260709\docs\hq\master\sparse_history_overlay_candidate_canonicalization_addendum_v1_20260709,no,yes,yes,yes,"preserves sparse-history overlay candidate policy"
canonicalization,Post-Overlay Red-Team Closeout Canonicalization Addendum V1,7b90e24bec9f611061c868424b4a179c33a0636c,docs/hq/master/post_overlay_red_team_closeout_canonicalization_addendum_v1_20260709,yes,yes,yes,yes,"preserves final red-team user-review state"
manual_review,Manual Review Evidence Sort / Decision Packet V1,5774ebdaa82cfd13c0e92e6afe4e62d1e0e70e99,docs/hq/master/manual_review_evidence_sort_decision_packet_v1_20260709,yes,yes,yes,yes,"manual evidence packet"
closeout,Sparse-History Overlay Candidate Remains Primary / Stop V1,66d146cda4b8b1e5de4175f809546252b7cd0388,docs/hq/master/sparse_history_overlay_candidate_remains_primary_stop_v1_20260709,yes,yes,yes,yes,"confirms sparse-history primary and stop decision"
portfolio,Overlay Portfolio Challenge / Veteran Decline Reconsideration V1,1eeb7d50fd4c1c32354edf3f5bcc3d5aaa462c60,docs/hq/master/overlay_portfolio_challenge_veteran_decline_reconsideration_v1_20260709,yes,yes,yes,yes,"preserves guardrail/context interpretation"
source_group,Ingredient canonicalized source packets,28 packets,INGREDIENT_UPGRADE_CANONICALIZED_PACKET_LEDGER.csv,no,yes,yes,yes,"all 28 reviewed by ingredient canonicalization packet"
source_group,Formula miss taxonomy red team source packet,c3c52d95b6b2965e48ad8e71b64dcbc50c738998,C:\NWR\Niners-War-Room-formula-miss-taxonomy-red-team-review-v1-20260709\docs\hq\model\formula_miss_taxonomy_red_team_review_v1_20260709,no,yes,yes,yes,"source for formula red-team addendum"
source_group,Sparse-history overlay source chain,multiple local commits,C:\NWR\Niners-War-Room-sparse-history-overlay-candidate-preservation-v1-20260709\docs\hq\model\sparse_history_overlay_candidate_preservation_v1_20260709,no,yes,yes,yes,"source chain includes design, rule test, refinement, readiness, and preservation packets"
source_group,Post-overlay veteran decline source chain,multiple local commits,C:\NWR\Niners-War-Room-post-sparse-history-overlay-red-team-closeout-user-review-v1-20260709\docs\hq\model\targeted_veteran_decline_role_loss_guard_candidate_rule_test_v1_20260709,no,yes,yes,yes,"source chain preserves VET_008 context/guardrail finding"
