packet_id,packet_name,lane_group,local_commit,artifact_path,packet_type,source_lane,status,already_canonical,local_only,stale,superseded,duplicate,docs_only,protected_paths_changed,behavior_changed,safe_to_canonicalize,parked,needs_more_review,ignored,notes
BCR-001,Full System Audit / Integration Map V1,Master HQ,6bc013bea5925525ed8326cc62ca97c1d0ca5ab2,docs/hq/master/nwr_full_system_audit_integration_map_v1_20260709/,audit,Full System Audit,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve as consolidation spine.
BCR-002,PFR RB Broken Tackle Addendum V1,Master HQ,ff1a5b5de65c041fd58d7d7ca62b29e8c2e0ce44,docs/hq/master/nwr_full_system_audit_pfr_rb_broken_tackle_addendum_v1_20260709/,addendum,System Audit Addendum,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve narrow review-only PFR RB broken tackle hypothesis.
BCR-003,Data Hygiene Operating Charter rebased canonicalization,Data Hygiene,b749b61315d945c119ea577f406b064e48e8ec1f,docs/hq/data_hygiene/data_hygiene_operating_charter_v1_20260708/;docs/hq/data_hygiene/data_hygiene_operating_charter_merge_review_v1_20260708/;docs/hq/data_hygiene/data_hygiene_operating_charter_merge_review_after_second_remote_advance_v1_20260708/,operating_charter,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve charter and prior remote-advance reviews.
BCR-004,Formula Gauntlet Data Readiness Gate V1,Formula Gauntlet,7f9c7bec63f20749d0887f11c427ba04ea27b787,docs/hq/formula_gauntlet/formula_gauntlet_data_readiness_gate_v1_20260708/,readiness_gate,Formula Gauntlet,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve readiness level of component-signal ingestion only.
BCR-005,Formula Gauntlet No-Code Tournament Design Scaffold V1,Formula Gauntlet,b3aaa82075d2895265386353bc24ebf3a74329ef,docs/hq/formula_gauntlet/formula_gauntlet_no_code_tournament_design_scaffold_v1_20260708/,design_scaffold,Formula Gauntlet,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve no-code design; no tournament run.
BCR-006,PFR RB Broken Tackle Gauntlet Execution Readiness V1,Formula Gauntlet,7ce7e8da9cb9753afa43c3dc60619a0ee2a30774,docs/hq/model/pfr_rb_broken_tackle_formula_gauntlet_design_v1_20260709/,readiness_packet,PFR / Formula Gauntlet,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,false,true,true,false,Park because Formula Gauntlet execution remains blocked and packet overlaps PFR addendum.
BCR-007,Historical Label / Identity / Source Gate Closure V1,Data Hygiene,970dce6b3473ec6bf041d66e7e4617ef127e0c27,docs/hq/data_hygiene/historical_label_identity_source_gate_closure_v1_20260708/,readiness_review,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve Data Hygiene closure review; docs path contains source-gate wording only.
BCR-008,Model v4 Historical Receipt Gap Closure Plan V1,Data Hygiene,8a438d4424357eb90f6210bd3f082736c4b111c9,docs/hq/data_hygiene/model_v4_historical_receipt_gap_closure_plan_v1_20260708/,planning_packet,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,true,false,true,false,false,false,false,false,true,Superseded by merge-review canonicalization commit BCR-009.
BCR-009,Model v4 Historical Receipt Gap Plan Merge Review,Master HQ,18b71b0ae1fafb9d984581590f1e9616ce7ae2fd,docs/hq/data_hygiene/model_v4_historical_receipt_gap_closure_plan_v1_20260708/;docs/hq/data_hygiene/model_v4_historical_receipt_gap_plan_merge_review_v1_20260708/,merge_review,Master HQ,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve gap plan plus Master HQ merge-review packet.
BCR-010,Model v4 Historical Receipt Locator and Ledger V1,Data Hygiene,490052293d2b5ec8d27c2c8b13fff20486405895,docs/hq/data_hygiene/model_v4_historical_receipt_locator_ledger_v1_20260709/,locator_ledger,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve locator ledger of 1898 candidates.
BCR-011,Model v4 Historical Receipt Freeze and Schema Validation V1,Data Hygiene,ae127c0e006dc38066832f1c27bd0050377e32b6,docs/hq/data_hygiene/model_v4_historical_receipt_freeze_schema_validation_v1_20260709/,freeze_schema_validation,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve freeze and schema validation packet.
BCR-012,Model v4 Historical Receipt Master Review and Admission Decision V1,Master HQ,d04f5e83b1843e8707b962963b879e828e63832a,docs/hq/master/model_v4_historical_receipt_master_review_admission_decision_v1_20260709/,admission_decision,Master HQ,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve clearance decision: component tests only.
BCR-013,Model v4 Historical Receipt Regeneration Contract Planning V1,Master HQ,b2eb09a78a00f86f154a74cd0d40adaf28948aa2,docs/hq/master/model_v4_historical_receipt_regeneration_contract_planning_v1_20260709/,contract_planning,Master HQ,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve planning contract; no receipts regenerated.
BCR-014,Model v4 Confidence Cap Receipt Regeneration Pilot V1,Data Hygiene,1ddb9f1b4ae33af9ce8346790b8762adb0961008,docs/hq/data_hygiene/model_v4_confidence_cap_receipt_regeneration_pilot_v1_20260709/,receipt_pilot,Data Hygiene,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve review-only regenerated confidence-cap receipts.
BCR-015,Model v4 Confidence Cap Receipt Master Review V1,Master HQ,ec2ed48ceb2b447634591b1e28e325b87a7b2587,docs/hq/master/model_v4_confidence_cap_receipt_master_review_v1_20260709/,admission_review,Master HQ,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve admission for review-only component signal tests.
BCR-016,Current Board Deterministic Rebuild With Recovery Inputs V1,Model v4,1624202ebbc1a86c1d91da3397c2952d3c7f20f7,docs/hq/model/current_board_deterministic_rebuild_with_recovery_inputs_v1_20260708/,exact_rebuild,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve exact current-board hash rebuild evidence.
BCR-017,Model v4 Human Review Packet V1,Model v4,973302f738bf03f3ee10e00c00eb64ffd45ff135,docs/hq/model/model_v4_production_active_human_review_packet_v1_20260708/,human_review,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve human review packet; production remains blocked.
BCR-018,Model v4 Formula / App-Label Correction Packet V1,Model v4,d2d651413c1198845f53a8ab3808adffef812b94,docs/hq/model/model_v4_formula_app_label_correction_packet_v1_20260708/,label_packet,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve docs-only label correction recommendation.
BCR-019,App-Visible Model v4 Label Correction Implementation V1,Model v4,8b7b6365019643f0486abaeb5fc012ba5c040107,docs/hq/model/model_v4_app_visible_label_correction_v1_20260708/ plus app/src/tests,implementation,Model v4,LOCAL_IMPLEMENTATION_PACKET,false,true,false,false,false,false,true,false,false,true,true,false,Park because it changes app/service/test files and needs separate implementation review.
BCR-020,Model v4 Historical Component Receipt Backfill V1,Model v4,968a655d3087dc737c6af6ff676475a5d0a6aa9f,docs/hq/model/model_v4_historical_component_receipt_backfill_v1_20260708/,receipt_backfill,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve partial historical receipt backfill packet.
BCR-021,Model v4 Partial Historical Replay Benchmark V1,Model v4,b3b4723b2a45d3d14ad5708f2a53a90590fa4e1c,docs/hq/model/model_v4_partial_historical_replay_benchmark_v1_20260708/,benchmark_review,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve review-only partial replay benchmark caveats.
BCR-022,Model v4 Formula Documentation Cleanup V1,Model v4,6a05959bd5e4a9d9c8c0553ef1a06d826730c032,docs/hq/model/model_v4_formula_documentation_cleanup_v1_20260708/,documentation_cleanup,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve formula documentation packet.
BCR-023,Model v4 Component Receipt Backfill V1,Model v4,bbe7abab0f268900218f8ba057cad463455d8818,docs/hq/model/model_v4_component_receipt_backfill_v1_20260708/,receipt_backfill,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve component receipt backfill packet.
BCR-024,Historical Model v4 Replay Substrate V1,Model v4,75b9805b64841d8b6c4e1b4e66ba7d324278e83f,docs/hq/model/historical_model_v4_replay_substrate_v1_20260708/,replay_substrate,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve replay substrate packet.
BCR-025,Production Rankings Backtest V1,Model v4,2b9710d176d529304a04ef7c5102787183efcf59,docs/hq/model/production_rankings_backtest_v1_20260708/,backtest_review,Model v4,LOCAL_REVIEW_PACKET,false,true,false,false,false,true,false,false,true,false,false,false,Preserve prior benchmark caveat that proxy did not beat PYF overall.
BCR-026,Dedicated Formula Gauntlet Chat Packet,Formula Gauntlet,UNKNOWN,C:/Users/codex-agent/Documents/Niners War Room/docs/hq/parallel_lanes/formula_gauntlet_revival_20260709/,parallel_chat_context,Formula Gauntlet,LOCAL_OUTSIDE_CANONICAL_WORKTREE,false,true,false,false,false,true,false,false,false,true,true,false,Park as context because it is outside canonical worktree and overlaps canonical setup.
