source_family,provider,prior_status,reconciled_status,public_status,historical_coverage,row_grain,identity_keys,current_nwr_gate,usable_for_future_review,model_approved,ui_approved,source_truth_approved,blocked_reason,what_would_unblock,notes
"nflverse core play-by-play","nflverse","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source data package","broad modern NFL seasons; future lanes must confirm exact field windows","play","game_id; play_id; season; week; team; gsis_id where player-specific","existing NWR source gates apply; no new approval from V2","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","none for review planning","field-level gate, checksum/provenance, as-of rules, and frozen feature window before any stronger use","Best public foundation for play-level opportunity, first downs, EPA, pass environment, rushing context, and team context."
"nflverse player stats","nflverse","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source data package","weekly and seasonal historical coverage; field availability varies","player-week; player-season","gsis_id; nflverse player ids; season; week; team","existing NWR source gates apply; no new approval from V2","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","none for review planning","field-level gate, zero/missing policy, and source receipt before any stronger use","Core public source for targets, carries, yards, touchdowns, and first downs where fields are present."
"nflverse team stats","nflverse","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source data package","weekly and seasonal historical coverage; exact fields vary by release","team-week; team-season","team; season; week","existing NWR source gates apply; no new approval from V2","yes","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","none for review planning","field-level gate and frozen denominator definitions before use","Useful for team pass attempts, team rushing volume, pace, scoring environment, and denominator construction."
"nflverse player/ID crosswalk","nflverse; nflverse ids; public crosswalks","identity_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","public open-source identity infrastructure","broad modern player identity coverage; gaps remain for edge cases","player identity row","gsis_id; pfr_id; espn_id; sleeper_id where available; nflverse_id","identity gates remain binding; no name-only joins","yes_for_identity_planning","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","identity gaps and stale crosswalk rows remain possible","identity audit, conflict handling, and manually approved edge-case mapping","ID joins should prefer GSIS, PFR IDs, and nflverse crosswalks. Name-only joins are not approved joins."
"PFR advanced stats general family","Pro Football Reference via public/nflverse PFR advanced releases","partial_review_only","YELLOW_REVIEW_ONLY","public release/web-table family; not production-approved","known public nflverse PFR advanced releases include 2018-2025 in prior packets; future lane must confirm exact coverage","player-season; stat-family season table","pfr_id; player name/team/season only for review queues","PFR provenance has been hardened as a source family, but feature signal is not production-approved","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","family-level feature semantics and position-specific use gates remain incomplete","source/family use gate, field dictionary, pfr_id bridge audit, coverage matrix, missingness audit, and review-only validation readiness","Clarifies V1: public provenance is stronger, but this is still review-only."
"PFR advanced rushing/receiving safe review subsets","Pro Football Reference via public/nflverse PFR advanced releases","split_from_v1_PFR_advanced_stats","GREEN_REVIEW_CANDIDATE","public release/web-table family; review-only subset","rushing/receiving subset coverage must be frozen by future lane","player-season rushing or receiving advanced row","pfr_id plus season/team/position; no name-only joins","safe review-only rushing/receiving identity subsets may be used for future planning only","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","not production-approved; field semantics and outcome value unproven","family use gate, frozen subset definition, identity pass/fail report, missingness indicators, and review-only backtest readiness gate","This is not a model approval. It only preserves that PFR rush/rec have clearer review paths than QB passing."
"PFR QB passing heuristic/warning-gated","Pro Football Reference via public/nflverse PFR advanced releases","split_from_v1_PFR_advanced_stats","YELLOW_REVIEW_ONLY","public release/web-table family; heuristic only","coverage must be confirmed by future PFR lane","QB player-season","pfr_id plus season/team; no name-only joins","heuristic/warning-gated only; not clean feature-source approval","yes_context_only","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","QB passing fields remain heuristic and can mislead without context","QB-specific field dictionary, warning labels, identity audit, coverage report, and separate review-only methodology","PFR QB passing remains secondary/heuristic and should not become a one-stat QB evaluation."
"PFR snap counts","Pro Football Reference","partial_review_only","YELLOW_PARTIAL_COVERAGE","public web-table family","historical coverage varies; exact game/season range must be confirmed","player-game; player-season summary depending table","pfr_id when available; player name; team; season; week","future source-admission and parser stability lane required","yes_with_caveats","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","coverage, parser stability, and row grain not frozen","stable ingestion, source receipts, pfr_id joins, team/week row-grain proof, coverage matrix, and staleness audit","Potential source for snap-based exposure proxies, not true routes."
"NGS public aggregates","NFL Next Gen Stats public/nflverse public releases","display_or_review_only","YELLOW_DISPLAY_ONLY","public limited aggregate surface; thresholded","recent seasons and metric-specific coverage; public NGS thresholding can hide low-volume players","player-season; player-week or leaderboard row depending surface","GSIS-like player IDs where available; player name/team for display only","review/display-only context; not model input, source truth, rankings, or sort","yes_display_or_review_context","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","thresholded missingness, field-specific coverage, and display-only gate","safe GSIS/nflverse-ID joins, missingness visibility, coverage matrix, gate language, and separate review validation","NGS is not source-truth or model-approved. Missingness must not be treated as zero."
"FTN public charting subset","FTN public articles/tables/surfaces","partial_review_only","YELLOW_SOURCE_PROVENANCE_LIMITED","public partial surface; commercial FTN separate","metric-specific and likely incomplete historical coverage","player-season; team-season; leaderboard row depending surface","usually player name/team/season unless IDs exposed","future semantics, licensing, reproducibility, and identity lane required","yes_for_source_discovery_only","no_new_approval_from_this_lane","no_new_approval_from_this_lane","no_new_approval_from_this_lane","public subset provenance and field semantics are not frozen","public-source snapshot, stable access proof, license review, field dictionary, coverage matrix, and ID audit","Do not infer that public FTN subset admits commercial FTN."
