evidence_id,estimated_season,evidence_type,gmail_search_query,email_date,email_subject,sender_label,source_status,parsed_entities,likely_relevance,privacy_flag,notes
gmail_2026_rosters_061326,2026,ROSTER,"in:anywhere -in:spam -in:trash ""Las Vegas Enginerds""",2026-06-13,LVE FFL: Rosters and Ranking List,league_commissioner,FOUND,"LVE Rosters 061326.pdf; roster declaration; ranking list attachment",HIGH,metadata_only_no_body,"Attachment candidate for 2026 roster/free-agent evidence; no email body stored."
gmail_2026_meeting_agenda_050426,2026,RULE_CHANGE,"in:anywhere -in:spam -in:trash ""Las Vegas Enginerds""",2026-04-22,LVE: League Meeting: Monday MAY 4 2026; 5:30 pm PT AGENDA,league_commissioner,FOUND,"LVE Rosters 033126.pdf; dues PDF; rules draft PDF; meeting agenda",MEDIUM,metadata_only_no_body,"Rules and roster attachments may clarify 2026 source policy; no email body stored."
gmail_2026_new_app_draft_rules,2026,RULE_CHANGE,"in:anywhere -in:spam -in:trash ""Las Vegas Enginerds""",2026-04-03,LVE FFL: NEW APP Draft Date Dues and Rule Change Reminders,league_commissioner,FOUND,"LVE Rosters 033126.pdf; rules PDF; draft-date context",MEDIUM,metadata_only_no_body,"Potential source for Sleeper transition and draft-date rules; no email body stored."
gmail_2026_offseason_rankings,2026,ROSTER,"in:anywhere -in:spam -in:trash ""Las Vegas Enginerds""",2026-02-25,LVE 2026 Offseason Ranking List,league_commissioner,FOUND,"LVE Rosters 012726.pdf; offseason ranking list",MEDIUM,metadata_only_no_body,"Potential roster/ranking snapshot for pre-draft baseline review; no email body stored."
gmail_2025_trade_approved_iii,2025,TRADE,"in:anywhere -in:spam -in:trash (Niners OR WhoDat OR ""Rabid Monkeys"" OR ""Golden Boy Productions"") (draft OR trade OR keeper OR roster)",2025-08-19,LVE Approved Trade III,league_commissioner,FOUND,"WhoDat; Dirt Devils; Kendre Miller; attached 2025 rosters",HIGH,metadata_only_no_body,"Accepted trade candidate; requires body/attachment review before normalized trade event rows."
gmail_2026_trade_accepted_ii,2026,TRADE,"in:anywhere -in:spam -in:trash (Niners OR WhoDat OR ""Rabid Monkeys"" OR ""Golden Boy Productions"") (draft OR trade OR keeper OR roster)",2026-03-08,LVE Trade Accepted II,league_commissioner,FOUND,"Dak Prescott; 2026 Dirt Devils 3rd Round DP; Rabid Monkeys; Dirt Devils",HIGH,metadata_only_no_body,"Accepted trade candidate; requires body/attachment review before normalized trade event rows."
gmail_2026_trade_proposal_lamar,2026,TRADE,"in:anywhere -in:spam -in:trash (Niners OR WhoDat OR ""Rabid Monkeys"" OR ""Golden Boy Productions"") (draft OR trade OR keeper OR roster)",2026-06-22,Trade Proposal,league_manager,REVIEW_NEEDED,"Lamar Jackson; 2028 1st; 2027 2nd; proposal status unknown",MEDIUM,metadata_only_no_body,"Proposal candidate only; do not treat as accepted without follow-up evidence."
gmail_2026_league_meeting_reply,2026,DRAFT,"in:anywhere -in:spam -in:trash LVE (draft OR keeper OR trade OR roster OR unprotected OR cuts OR drops)",2026-05-05,RE: LVE: League Meeting: Monday MAY 4 2026; 5:30 pm PT AGENDA,league_member,REVIEW_NEEDED,"past drafts; roster declaration context",MEDIUM,metadata_only_no_body,"May clarify draft/roster process; needs review."
gmail_2026_roster_rank_reply_btj_1,2026,CUT,"in:anywhere -in:spam -in:trash LVE (draft OR keeper OR trade OR roster OR unprotected OR cuts OR drops)",2026-06-15,RE: LVE FFL: Rosters and Ranking List,league_member,REVIEW_NEEDED,"Brian Thomas Jr; top-5/drop context",HIGH,metadata_only_no_body,"Candidate evidence for actual cut/keeper decision; needs review."
gmail_2026_roster_rank_reply_btj_2,2026,CUT,"in:anywhere -in:spam -in:trash LVE (draft OR keeper OR trade OR roster OR unprotected OR cuts OR drops)",2026-06-15,RE: LVE FFL: Rosters and Ranking List,league_member,REVIEW_NEEDED,"Brian Thomas Jr; top-5/drop context",HIGH,metadata_only_no_body,"Candidate evidence for actual cut/keeper decision; needs review."
gmail_query_lve_pre_sleeper_team_deep_dive,UNKNOWN,UNKNOWN,"team-name queries in NWR_GMAIL_LEAGUE_HISTORY_SEARCH_QUERIES_20260623.md",,,"not_applicable",NOT_SEARCHED,"Niners; WhoDat; Rabid Monkeys; Golden Boy Productions; Dirt Devils; Super Chargers; Mighty Canucks; Rocky Mountain High; Practice Squad; Precise Guesswork",MEDIUM,query_template_only,"Prepared for future pre-Sleeper review; no email body stored."
