blocker_id,blocker_type,player_name,position,source_layer,detail,prevents_app_wiring,recommended_action,notes
BLOCKER-0001,MISSING_PLAYER_ID,Sieh Bangura,RB,Rookie/Prospect Layer,Missing stable approved player_id.,yes,Manual identity review; do not fabricate IDs.,"rookie_warning=manual_review; manual_question=Is Sieh Bangura's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0002,MISSING_PLAYER_ID,Devin Voisin,WR,Rookie/Prospect Layer,Missing stable approved player_id.,yes,Manual identity review; do not fabricate IDs.,"rookie_warning=manual_review; manual_question=Does Devin Voisin have a credible target-earning path on his NFL depth chart, including route/separation evidence? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0003,MISSING_PLAYER_ID,Barika Kpeenu,RB,Rookie/Prospect Layer,Missing stable approved player_id.,yes,Manual identity review; do not fabricate IDs.,"rookie_warning=manual_review; manual_question=Does Barika Kpeenu have a credible early-down, goal-line, or first-down role path? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0004,MISSING_PLAYER_ID,Braylon James,WR,Rookie/Prospect Layer,Missing stable approved player_id.,yes,Manual identity review; do not fabricate IDs.,"rookie_warning=critical_trap_guard; manual_question=Is Braylon James missing model context because of a join/data issue, and should he stay a manual hold? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0005,MISSING_PLAYER_ID,Jamarion Miller,RB,Rookie/Prospect Layer,Missing stable approved player_id.,yes,Manual identity review; do not fabricate IDs.,"rookie_warning=manual_review; manual_question=Does Jamarion Miller have a credible early-down, goal-line, or first-down role path? | manual review before draft use | No stable ID or exact name+position match; keep visible but require manual review. | Rookie/prospect has no fabricated veteran Dynasty Rank."
BLOCKER-0006,MISSING_AGE,Nick Chubb,RB,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,"licensed_route_metrics_not_available|not_used_in_stats_first_value|no_historical_evidence_for_component|rb_dynasty_age_curve_after_27_active|rb_dynasty_age_curve_30_plus_active|rb_age_cliff_guardrail_active|missing_or_review_route_target_snap_evidence|missing_lifecycle_or_role_shape_evidence|rotowire_current_status_no_team | Licensed route metrics unavailable; use as source limitation, not a formula instruction. | not used in stats first value | no historical evidence for component | rb dynasty age curve after 27 active | rb dynasty age curve 30 plus active | rb age cliff guardrail active | Need route/target/snap or role-usage evidence. | Need lifecycle/role-shape evidence. | Local RotoWire source verifies no current NFL team; do not invent a team. | Display-only DynastyProcess market baseline; not NWR source truth; not used for model inputs, candidate rank, or hidden sort. | existing_id_present; sleeper_match; dynastyprocess_crosswalk_candidate"
BLOCKER-0007,MISSING_AGE,Brandon Aubrey,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0008,MISSING_AGE,Cameron Dicker,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0009,MISSING_AGE,Jason Myers,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0010,MISSING_AGE,Eddy Pineiro,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0011,MISSING_AGE,Jake Bates,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0012,MISSING_AGE,Chris Boswell,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0013,MISSING_AGE,Harrison Butker,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
BLOCKER-0014,MISSING_AGE,Matt Prater,K,Veteran Full Dynasty Layer,Missing approved age coverage.,yes,Add approved age source coverage or keep Not enough information.,missing_model_v4_current_player_row|unmatched_identity_join_key|missing_rotowire_player_stats|missing_stats_first_component_evidence|missing_vorp_anchor|missing_lifecycle_or_role_shape_evidence | Need a current Model v4 private score row for this player. | Need clean identity join key / canonical player mapping. | Need player stats source coverage. | Need stats-first component evidence. | Need VORP anchor / replacement baseline evidence. | Need lifecycle/role-shape evidence. | existing_id_present; sleeper_match
