"artifact","row_count","purpose"
"PROVIDER_OUTREACH_SEND_AUTHORIZATION_RESPONSE_INTAKE_V1_SUMMARY.md","32","Human-readable summary of send-authorization lane, preserved context, and no-admission status."
"provider_send_authorization_checklist_v1.md","57","Checklist required before any provider outreach can be manually sent."
"sumer_final_send_ready_request_v1.md","39","Final SumerSports send-ready request; not sent by this lane."
"espn_disney_final_send_ready_request_v1.md","41","Final ESPN/Disney send-ready request; not sent by this lane."
"fallback_provider_send_template_v1.md","51","Fallback provider send template with proprietary/contractable lead classification."
"provider_response_intake_ledger_template_v1.csv","1","CSV ledger template for future provider response metadata."
"provider_response_review_decision_matrix_v1.csv","11","Decision matrix for classifying future provider response language."
"source_admission_trigger_language_v1.md","53","Required provider language before a future source-admission lane can begin."
"ROUTE_FEED_SEND_AUTH_RESPONSE_INTAKE_V1_HANDOFF.md","39","Handoff preserving no-outreach/no-admission/no-production gates and next lane."
"artifact_manifest.csv","10","Manifest of all canonical replay artifacts in this packet."
