normalized_field_name,source_count,source_families,source_datasets,multi_source_overlap,best_accuracy_confidence,recommended_bucket_majority,source_policy_statuses,notes
aborted_play,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
active_indicator,1,EXPECTED_FIELD,not_found,false,MEDIUM,NEEDS_ZERO_OR_MISSINGNESS_GATE,not_available,Multi-source overlap supports consistency review only; no model approval.
age,2,NFLVerse,draft_picks|ff_playerids,true,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,identity_only|safe_review_context,Multi-source overlap supports consistency review only; no model approval.
age_source,1,NWR_PLAYER_CONTEXT,nflverse_player_context_display_artifact,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,display_only,Multi-source overlap supports consistency review only; no model approval.
aggressiveness,1,NFLVerse,nextgen_stats,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_status,Multi-source overlap supports consistency review only; no model approval.
air_epa,1,NFLVerse,play_by_play,false,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
air_wpa,1,NFLVerse,play_by_play,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only_heavy_raw,Multi-source overlap supports consistency review only; no model approval.
air_yards,2,NFLVerse,ff_opportunity|play_by_play,true,MEDIUM,EXPERIMENT_CANDIDATE_REQUIRES_GATE,review_only_heavy_raw|review_only_status,Multi-source overlap supports consistency review only; no model approval.
air_yards_share,2,NFLVerse,player_stats_seasonal|player_stats_weekly,true,BLOCKED,BLOCKED_SOURCE_POLICY,safe_review,Multi-source overlap supports consistency review only; no model approval.
allowed_for_display_context,1,NWR_ROOKIE_SOURCE_EXPANSION_FEATURE_POLICY,rookie_feature_policy_refresh_matrix_v1,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
allowed_for_model_now,1,NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE,rookie_pre_draft_feature_coverage_matrix,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
allowed_for_review,1,NWR_PLAYER_STATS_SOURCE_ADMISSION_SCHEMA,player_stats_schema_manifest,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review,Multi-source overlap supports consistency review only; no model approval.
allowed_for_review_only_model_rd,1,NWR_ROOKIE_SOURCE_EXPANSION_FEATURE_POLICY,rookie_feature_policy_refresh_matrix_v1,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
allowed_for_source_truth_now,1,NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE,rookie_pre_draft_feature_coverage_matrix,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
allowed_for_training_now,1,NWR_ROOKIE_PREFLIGHT_FEATURE_COVERAGE,rookie_pre_draft_feature_coverage_matrix,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
allowed_status,1,NWR_NFL_USAGE_ADV_CONTEXT_FIELD_INVENTORY,nfl_usage_advanced_context_field_inventory_v0,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,review_only,Multi-source overlap supports consistency review only; no model approval.
allpro,1,NFLVerse,draft_picks,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,safe_review_context,Multi-source overlap supports consistency review only; no model approval.
app_wiring_allowed,2,NWR_NFL_USAGE_CORE_FIELD_INVENTORY|NWR_NFL_USAGE_DERIVED_FIELD_INVENTORY,nfl_usage_core_field_inventory_v0|nfl_usage_derived_field_inventory_v0,true,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,review_only,Multi-source overlap supports consistency review only; no model approval.
approval_status,1,NWR_ROOKIE_SOURCE_EXPANSION_FEATURE_POLICY,rookie_feature_policy_refresh_matrix_v1,false,HIGH,HIGH_CONFIDENCE_CONTEXT_FIELD,review_only,Multi-source overlap supports consistency review only; no model approval.
apy,1,NFLVerse,contracts,false,BLOCKED,NEEDS_ASOF_OR_LEAKAGE_GATE,display_only_context,Multi-source overlap supports consistency review only; no model approval.
