player_id,player,pos,nfl_team,age,position_rank,tier,final_board_rank,dynasty_rank,current_score_or_value,current_score_basis,emergency_cross_asset_rank,emergency_cross_asset_value,emergency_overall_context_rank,cross_asset_candidate_rank,cross_asset_candidate_value,candidate_value_band,confidence_band,uncertainty_reasons,candidate_vs_frozen_note,candidate_vs_dynasty_note,candidate_action_summary,adp,adp_source_status,available_pool_adp_rank,available_pool_adp_range,current_pick_value_1_03,current_pick_value_1_04,current_pick_value_1_09,current_pick_value_2_04,current_pick_value_2_08,current_pick_value,current_pick_value_reason,outcome_applicable_summary,manual_review_flag,source_note
9488,Jaxon Smith-Njigba,WR,SEA,24.4,,Priority candidate,Not enough information,2,82.5714,nwr_dynasty_score,1,84.57,1,1,84.57,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+82.6; age_curve_component=+2.0; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 2 and score 82.5714.,Best-available review target,8.6,YELLOW_UNDOCUMENTED_ENDPOINT,8,Late 1st equivalent,Reach,Reach,Value,Steal,Steal,Reach,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9493,Puka Nacua,WR,LAR,25.1,,Priority candidate,Not enough information,1,83.0486,nwr_dynasty_score,2,83.55,2,2,83.55,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+83.0; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 1 and score 83.0486.,Best-available review target,5.9,YELLOW_UNDOCUMENTED_ENDPOINT,5,Mid 1st equivalent,Slight reach,Fair,Steal,Steal,Steal,Slight reach,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9509,Bijan Robinson,RB,ATL,24.4,,Priority candidate,Not enough information,3,78.4618,nwr_dynasty_score,3,79.96,3,3,79.96,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+78.5; age_curve_component=+0.5; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 3 and score 78.4618.,Best-available review target,1.6,YELLOW_UNDOCUMENTED_ENDPOINT,1,Early 1st equivalent,Steal,Steal,Steal,Steal,Steal,Steal,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
6813,Jonathan Taylor,RB,IND,27.4,,Priority candidate,Not enough information,4,74.308,nwr_dynasty_score,4,72.31,4,4,72.31,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+74.3; age_curve_component=-3.0; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 4 and score 74.308.,Best-available review target,16.1,YELLOW_UNDOCUMENTED_ENDPOINT,16,Mid/Late 2nd equivalent,Too early,Too early,Reach,Slight reach,Steal,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9221,Jahmyr Gibbs,RB,DET,24.3,,Priority candidate,Not enough information,5,70.7273,nwr_dynasty_score,5,72.23,5,5,72.23,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+70.7; age_curve_component=+0.5; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 5 and score 70.7273.,Best-available review target,2.5,YELLOW_UNDOCUMENTED_ENDPOINT,2,Early 1st equivalent,Value,Steal,Steal,Steal,Steal,Value,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
7564,Ja'Marr Chase,WR,CIN,26.3,,Priority candidate,Not enough information,6,70.5399,nwr_dynasty_score,6,71.04,6,6,71.04,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+70.5; age_curve_component=+0.5; position_scarcity_component=+1.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 6 and score 70.5399.,Best-available review target,3.7,YELLOW_UNDOCUMENTED_ENDPOINT,3,Early 1st equivalent,Fair,Value,Steal,Steal,Steal,Fair,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
7547,Amon-Ra St. Brown,WR,DET,26.7,,Priority candidate,Not enough information,7,65.9348,nwr_dynasty_score,7,65.63,7,7,65.63,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+65.9; age_curve_component=+0.5; position_scarcity_component=+1.5; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 7 and score 65.9348.,Best-available review target,12.7,YELLOW_UNDOCUMENTED_ENDPOINT,12,Early 2nd equivalent,Too early,Too early,Slight reach,Steal,Steal,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
9226,De'Von Achane,RB,MIA,24.7,,Priority candidate,Not enough information,9,61.3322,nwr_dynasty_score,8,62.83,8,8,62.83,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+61.3; age_curve_component=+0.5; position_scarcity_component=+2.5; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 9 and score 61.3322.,Best-available review target,10.6,YELLOW_UNDOCUMENTED_ENDPOINT,10,Late 1st equivalent,Reach,Reach,Fair,Steal,Steal,Reach,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
,Jeremiyah Love,RB,ARI,Not enough information,1,Tier 1 - Priority Draft Targets,1,Not enough information,96.00,rookie_score_from_frozen_rookie_rank_and_tier,1,61.70,9,1,61.70,Priority candidate,Medium,rookie_rank_tier_crosswalk_to_dynasty_scale; rookie_not_raw_score_compared_to_veteran_value; frozen_score_basis=rookie_score_from_frozen_rookie_rank_and_tier; no_full_dynasty_row; outcome=Not enough information; internal_value_anchor=+59.0; age_curve_component=-1.0; position_scarcity_component=+2.5; role_evidence_component=+5.5; uncertainty_penalty=+4.3,Generally aligned with frozen board review posture.,No approved full dynasty row; candidate relies on rookie/frozen crosswalk.,Best-available review target,7.9,YELLOW_UNDOCUMENTED_ENDPOINT,7,Late 1st equivalent,Reach,Slight reach,Steal,Steal,Steal,Reach,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
8130,Trey McBride,TE,ARI,26.6,,Priority candidate,Not enough information,8,62.2578,nwr_dynasty_score,10,61.56,10,10,61.56,Priority candidate,Medium-high,approved_full_dynasty_score_anchor; full_dynasty_anchor_available; outcome=Not enough information; internal_value_anchor=+62.3; position_scarcity_component=+0.8; role_evidence_component=+0.8; uncertainty_penalty=+2.3,Not in frozen board; review-only dynasty context.,Anchored to full dynasty rank 8 and score 62.2578.,Best-available review target,19.9,YELLOW_UNDOCUMENTED_ENDPOINT,19,Mid/Late 2nd equivalent,Too early,Too early,Too early,Reach,Fair,Too early,"Display-only price label from current pick, available-pool ADP rank, emergency candidate rank/value, and confidence. ADP does not drive value.",Not enough information,no,EMERGENCY_REVIEW_ONLY_CANDIDATE; does not replace final_board_rank or Dynasty Rank; ADP is display-only price context.
