item,status,classification,admission_state,production_use_allowed,reason,next_action,notes
"routes_run","not_obtained_in_admissible_form","BLOCKED_DENOMINATOR","not_admitted","no","No public-safe source cleared permission, export/API, reproducibility, identity, coverage, missingness, and provenance gates.","keep_closed_until_reopen_condition","Actual player-level routes_run remains the missing denominator."
"true YPRR","blocked","DERIVED_METRIC_BLOCKED","not_admitted","no","YPRR requires receiving_yards divided by admitted routes_run; no admitted routes_run denominator exists.","derive_only_after_source_admission","Do not calculate production YPRR."
"true TPRR","blocked","DERIVED_METRIC_BLOCKED","not_admitted","no","TPRR requires targets divided by admitted routes_run; no admitted routes_run denominator exists.","derive_only_after_source_admission","Do not calculate production TPRR."
"SumerSports","lead_preserved","YELLOW_ROUTE_DENOMINATOR_LEAD","not_admitted","no","Visible WR/TE route columns and route-like payload fields exist, but permission/export/API/license and identity crosswalk gates remain unresolved.","reopen_only_on_permission_or_supported_feed","Do not scrape or treat client payloads as admitted data."
"ESPN Receiver Scores / ESPN Analytics","lead_preserved","YELLOW_ROUTE_DENOMINATOR_LEAD","not_admitted","no","ESPN client data exposed route-like fields and stable IDs in prior probes, but the client object is undocumented and terms/permission gates remain unresolved.","reopen_only_on_permission_or_supported_feed","Identity signal is strong if permission is granted; still blocked now."
"PlayerProfiler","lead_only","YELLOW_OR_RED_BLOCKED_LEAD","not_admitted","no","Public pages display route metrics, including RB examples, but no licensed reproducible aggregate export was found and paid/export surfaces remain blocked.","contract_or_permission_required","Do not copy public page rows or paid exports."
"PFF / SIS / Sportradar / FTN / FantasyPoints / ETR / Rotoviz / SportsDataIO / NGS access","contractable_or_proprietary_leads_only","RED_OR_CONTRACT_ONLY","not_admitted","no","These are potential paid or official feed paths, not public-safe admitted sources.","contract_review_required","Do not use proprietary feeds without a separate license and admission lane."
"nflverse participation","proxy_or_non_denominator","PROXY_ONLY_NOT_TRUE_ROUTES","not_admitted_as_routes_run","no","Participation data is public and ID-safe but route labels are not full eligible-player routes-run denominators.","preserve_as_proxy_only","Do not relabel primary receiver route labels as true routes_run."
"snaps and participation rates","proxy_only","PROXY_ONLY_NOT_TRUE_ROUTES","not_admitted_as_routes_run","no","Snaps and participation can describe opportunity but do not count actual route denominators.","preserve_as_proxy_only","Do not use as true routes_run."
"team pass attempts","proxy_only","PROXY_ONLY_NOT_TRUE_ROUTES","not_admitted_as_routes_run","no","Team pass attempts can normalize opportunity but do not provide player-level route counts.","preserve_as_proxy_only","Do not use as true routes_run."
"outreach status","no_confirmed_send","NO_CONFIRMED_OUTREACH_SENT","not_applicable","no","No outreach sent status is confirmed in the closeout state unless separately supplied by the user.","manual_evidence_required_to_change","Do not mark sent without explicit user confirmation."
"provider response status","no_confirmed_response","NO_CONFIRMED_PROVIDER_RESPONSE_CAPTURED","not_applicable","no","No provider response is confirmed in the closeout state unless separately supplied by the user.","response_review_required_if_received","A response is not source admission."
