output_name,output_type,claimed_meaning,source_files,target_label,label_type,training_allowed,sensitivity_allowed,leakage_risk,missing_data_risk,notes
Veteran model private/current value scores,formula_score,"Deterministic NWR estimate of current dynasty/private football value for veterans, separate from market value and official league rank.",src/models/veteran_scores.py; src/services/veteran_model_service.py; local_exports/model_v4/current_value/latest/full_player_board_value_review_rows.csv; MODEL_SPEC.md,veteran_base_value; private_score; nwr_dynasty_score; current_player_value/checkpoint_review_score,UNKNOWN,no,yes,Medium: score can be mistaken for learned truth; local_exports rows include market_rank display columns that must remain blocked from private value.,High: missing route/target/snap/lifecycle evidence can cap confidence but may still look like a precise score.,"This is a model output, not an observed label. Use for review only unless a later approved training target maps it to actual future outcomes."
Veteran keeper/drop/trade/recommendation outputs,formula_decision_label,"Review-only keep, bubble, shop, or release posture based on keeper_score, drop_candidate_score, trade_value, confidence, and format constraints.",src/models/veteran_scores.py; src/services/veteran_model_service.py; src/services/legacy_label_quarantine_service.py; src/services/model_recalibration_service.py,keeper_score; drop_candidate_score; trade_value; recommendation; warning_status; risk_flags,UNKNOWN,no,yes,Medium: legacy action labels can look like final recommendations even while model_v4 rebuild freeze is active.,High: missing evidence reduces confidence but action labels may still appear decisive if not quarantined.,Legacy Core Hold/Bubble/Shop/Release labels are quarantined/review-only during rebuild freeze.
Rookie final decision score and board rank,formula_score_and_rank,"Pre-draft rookie ranking score using draft capital, production/efficiency profile, age, league fit, veteran opportunity benchmark, confidence, and format gates.",src/models/rookie_scores.py; src/services/rookie_model_service.py; sample_data/rookie_model_v1/*.csv; templates/real_data_inputs/rookie_model/*.csv,final_decision_score; board_rank; recommended_range_label; do_not_draft_before_pick,UNKNOWN,no,yes,Medium: post_draft_only fields and future labels must stay out of pre-draft features.,High: feature_score(None)=50 neutralizes missing fields before missing_data_penalty; missing data can be read as average talent if warnings are ignored.,"Rookie HQ final kit was frozen as manual-use input only, not production/app ranking or hidden sort approval."
Rookie historical outcome labels,future_outcome_label,"Observed post-draft rookie outcomes from future fantasy production windows: best 3-year PPG, starter seasons, and miss/usable/starter/difference-maker labels.",src/services/model_v4_rookie_outcome_label_service.py; templates/real_data_inputs/historical_rookie_replay/post_draft_outcomes.csv; local_exports/model_v4/rotowire_intake/latest/rotowire_player_stats_clean_rows.csv,best_3yr_ppg; starter_level_seasons; outcome_label; hit_label; top24_seasons,ACTUAL,yes,yes,High: labels are future outcomes and must never join into feature rows before the simulated draft date.,Medium: rookie_year_only/partial_two_year_window/not_loaded labels are incomplete and should be excluded or separately flagged.,Valid only as supervised labels when features are as-of safe and source/license policy allows; partial/too_early labels require filtering.
Backtest V0/V1 next-season NWR scoring labels,future_outcome_label,Actual next-season NWR fantasy scoring labels and top positional finish flags built from season stats for model evaluation.,scripts/build_backtest_dataset_v0.py; scripts/build_backtest_dataset_v1.py; scripts/run_backtest_v0.py; scripts/run_backtest_v1.py; tests/test_backtest_leakage_guards_v0.py; tests/test_backtest_feature_cleanup_v1.py; docs/hq/parallel_lanes/NWR_BACKTEST_AS_OF_AND_LEAKAGE_RULES_V1.md,next_nwr_points; next_nwr_ppg; qb_t12; rb_t12; rb_t24; wr_t12; wr_t24; wr_t36; te_t12,ACTUAL,yes,yes,"High: target-season final totals are labels only; fantasy_points, ADP, market, EPA, and future data are blocked as features.",Medium: labels depend on games played and source coverage; missing players/positions can bias evaluation.,"Safest current training target class, provided all features carry as-of timing and blocked-field scans pass."
Outcome Columns app props,display_probability_context,"Display-only outcome evidence for approved columns QB T12, RB T12/T24, WR T12/T24/T36, TE T12 joined to frozen board rows.",docs/draft_day_exports/final_board_v1_20260622/app_props/outcome_columns/*; C:\NWR\Niners-War-Room-outcome\app\generated\outcome_probability\numeric_outcome_display_v1.csv,QB T12; RB T12; RB T24; WR T12; WR T24; WR T36; TE T12,DISPLAY_ONLY,no,yes,Medium: probability display can be mistaken for model input or rank override; only 12/66 rows matched.,"High: 54/66 unmatched rows must mean Not enough information, not zero probability or low value.","Explicit rules say no private value, no sort, no rank override, no final_board_rank override."
Frozen Final Draft Board V1 ranks,approved_board_baseline,Frozen source-truth baseline rank/tier/visible score and availability context for draft-day display and comparison.,C:\NWR_SHARED_DATA\draft_day_exports\nwr_final_draft_board_v1_frozen_20260622\FINAL_DRAFT_BOARD_V1_FROZEN.csv; docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv,final_board_rank; visible_score; tier; asset_type; availability_status,ACTUAL,no,yes,"Medium: frozen board is human-approved/current board truth, not an observed outcome target.",Medium: visible board fields can hide unsupported Outcome/role/injury gaps unless caveats stay adjacent.,"Use as display/source-truth baseline, not model training truth or evidence a rank was correct historically."
Drop Decision 2026 dropped veterans package,availability_drop_context,Current approved local-live-test availability/dropped-veteran context for draft pool validation.,C:\NWR_SHARED_DATA\lane_exchange\drop_decision\dropped_veterans\20260620_131511_identity_normalized_live_test\dropped_veterans.csv; latest_approved.json; docs/hq/data_sources/historical_drop_lists/*.csv,release_status=dropped; protected_status=dropped; legal_draftable=true; ACTUAL_DROP rows for 2026 reconstruction,ACTUAL,no,yes,Medium: current availability can be mistaken for historical bad-cut truth or value target.,Medium: unknown/free-agent team identity repairs require caveats and manual review.,"Approved for local live-test/mock validation only; not final draft-day approval, private value, ranking, or bad-cut proof."
Historical drop-list ACTUAL rows,historical_availability_label,Explicit observed dropped/cut rows from 2025 PDF CUT labels and 2026 approved drop package.,docs/hq/data_sources/historical_drop_lists/NWR_HISTORICAL_DROP_LIST_RECONSTRUCTION_2010_2026.csv; NWR_RECENT_ACTUAL_OR_INFERRED_DROP_LISTS_2021_2026.csv; NWR_HISTORICAL_DROP_LIST_RECONSTRUCTION_METHOD_20260623.md,source_class=ACTUAL_DROP; confidence=HIGH,ACTUAL,no,yes,"Medium: actual drop does not mean bad cut, poor player, or future low outcome.",Medium: 2025 transaction matching was not independently completed; 2026 is current availability context.,"Could become availability/drop-classification training after separate approval, but not value/outcome/rank training truth."
Historical drop-list INFERRED rows,historical_availability_inference,Near-actual unprotected/top-5 PDF cut-list rows where no transaction was matched in this pass.,docs/hq/data_sources/historical_drop_lists/NWR_HISTORICAL_DROP_LIST_RECONSTRUCTION_2010_2026.csv; NWR_RECENT_ACTUAL_OR_INFERRED_DROP_LISTS_2021_2026.csv,source_class=INFERRED_DROP; confidence=MEDIUM,INFERRED,no,yes,Medium: unprotected/cut-list context may not equal completed dropped transaction.,High: missing transaction proof can overstate certainty.,Analyze separately and down-weight; upgrade only with transaction/commissioner evidence.
