state_or_case,fixture_class,fixture_or_route,viewport_or_test,evidence,result,notes
"Two valid players selected","REAL","/player-compare","1440x1000","rendered_evidence/real_player_compare_1440x1000_two_players.jpg","PASS","Desktop two-column behavior retained"
"Two valid players selected","REAL","/player-compare","768x1024","rendered_evidence/real_player_compare_768x1024_two_players.jpg","PASS","Selectors stack; context follows"
"Two valid players selected","REAL","/player-compare","375x812","rendered_evidence/real_player_compare_375x812_two_players.jpg","PASS","No overflow or clipping"
"Two valid players selected","REAL","/player-compare","320x700","rendered_evidence/real_player_compare_320x700_two_players.jpg","PASS","No overflow or clipping"
"Only Player A selected","SYNTHETIC","tests/fixtures/player_compare_accessibility_fixture.py?scenario=partial","375x812","rendered_evidence/synthetic_partial_selection_375x812.jpg","PASS","Clearly labeled; production minimum-two-player behavior unchanged"
"Only Player B selected","SYNTHETIC_UNIT","selected_player_context_rows('', 'Bravo')","pytest","tests/test_player_compare_accessibility_compact.py","PASS","Explicit Player A not selected text"
"Neither player selected","SYNTHETIC_UNIT","selected_player_context_rows('', '')","pytest","tests/test_player_compare_accessibility_compact.py","PASS","Both slots explicit"
"Same-player or invalid combination","SOURCE_CONTRACT","_non_duplicate_options","pytest","tests/test_player_compare_accessibility_compact.py","PASS","Player B/extra options exclude prior selections; behavior unchanged"
"Missing evidence","SYNTHETIC","fixture scenario=states","375x812","rendered_evidence/synthetic_missing_gated_states_375x812.jpg","PASS","Missing remains distinct"
"Stale evidence","SYNTHETIC","fixture scenario=states","375x812 and pytest","YELLOW_STALE maps to Stale","PASS","Canonical mapping unchanged"
"Gated evidence","SYNTHETIC","fixture scenario=states","375x812","Gated state visible in expanded trust table","PASS","Not converted to unavailable or zero"
"Unavailable evidence","SYNTHETIC","fixture scenario=states","375x812 and pytest","Unavailable state preserved","PASS","Distinct from gated/missing"
"Identity exception","SYNTHETIC","fixture scenario=states","375x812","Identity exception text visible","PASS","No identity fallback"
"Source exception","SYNTHETIC","fixture scenario=states","375x812","Source exception text visible","PASS","No source admission change"
"Not enough information","REAL_AND_SYNTHETIC","/player-compare and state unit test","all real widths","Real trust summary and semantic snapshot","PASS","Missingness semantics unchanged"
"Long player/display text","SYNTHETIC","fixture scenario=long","320x700","rendered_evidence/synthetic_long_label_large_table_320x700.jpg","PASS","Full label preserved; wraps"
"Large comparison table","SYNTHETIC","fixture scenario=long","320x700","rendered_evidence/synthetic_large_table_320x700.jpg","PASS","320/320 document width; table outer width 278px; internal scroll"
"Compact disclosure expansion","REAL","/player-compare","375x812","rendered_evidence/real_player_compare_375x812_expanded_evidence.jpg","PASS","Expanded trust table remains contained"
