board_version,candidate_mode,player_id,player_name,position,component_name,receipt_class,raw_value,normalized_value,weight_transformation,source_file_function,source_data_artifact,source_gate_status,production_review_display_blocked_classification,identity_caveat_flags,leakage_caveat_flags,missingness_flag,receipt_hash_or_build_id,receipt_status,caveat
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,allowed_use_policy_stamp,observed_final_board_field_not_upstream_component,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,row-level policy stamp,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:193e1dcb44174ab6a46da0a678fc068af2d8f75b7fa1cfa6e657875071fd4ba3,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,candidate_mode_stamp,observed_final_board_field_not_upstream_component,wr_qb_v2_candidate,wr_qb_v2_candidate,row-level candidate mode stamp,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:390022dfea5550f985e2c24f9d29aa43384c3e4f4d21aeaa21af79fbacb04931,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,candidate_nwr_rank,observed_final_board_field_not_upstream_component,1,1,candidate rank assigned after candidate score sort,src/services/model_v4_wr_qb_v2_candidate_service.py::_assign_candidate_ranks,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:f2e88c1df056119838af094e339f26264f3008731bc479fb75f6202476ef5892,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,candidate_nwr_dynasty_score,observed_final_board_field_not_upstream_component,83.0486,83.0486,observed final candidate score,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:6dbf9cb2d3f323094509e67581385ad8474313e82dac73bb0180904bad6c9e62,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,base_nwr_rank,observed_final_board_field_not_upstream_component,1,1,observed base rank copied into final candidate board,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:b25ad172144aeb36c543814d5b4748b3a03cf311354e15b4264241786e46ac16,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,base_nwr_dynasty_score,observed_final_board_field_not_upstream_component,83.0486,83.0486,observed base score copied into final candidate board,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:8b465820202fa9d9907a039d608b4d7a6c881a3ee7e6050f87202dd59f68e55c,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,candidate_adjustment,observed_final_board_field_not_upstream_component,0.0,0.0,observed score delta equals candidate score minus base score,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:7b761c4375a9166e5be64ff57d638be9917eb9a85b4d960658dfe5a2514b7da5,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,candidate_reason_codes,observed_final_board_field_not_upstream_component,elite_wr_already_supported_no_extra_lift,elite_wr_already_supported_no_extra_lift,observed candidate reason code string,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:05d6ad2ef9834308251aad151dbcec8ae580d21857e7b5070c162c8b095edae5,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9493,Puka Nacua,WR,upstream_checkpoint_pointer,observed_final_board_field_not_upstream_component,local_exports\model_v4\current_value\latest\current_player_value_full_board_review_rows.csv,local_exports\model_v4\current_value\latest\current_player_value_full_board_review_rows.csv,observed upstream checkpoint file pointer,src/services/full_player_board_value_service.py::_full_board_row,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:05545ab8f5344f23cd3f0cf4be0f901ed947ce941728dfd4e00b564954a0d2e0,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
model_v4_full_player_board_value_0.1.0,wr_qb_v2_candidate,9488,Jaxon Smith-Njigba,WR,allowed_use_policy_stamp,observed_final_board_field_not_upstream_component,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,row-level policy stamp,src/services/model_v4_wr_qb_v2_candidate_service.py::_candidate_rows,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_review_only_not_active_rankings,candidate_review_only_not_active_rankings,identity_not_revalidated_in_this_lane,current_only_not_historical_replay_safe,value_present,ebdbe8644394d623bb77dd17ed00f1691fe62d9c39a628606d8de6c6a22636e7:6428d28db73f6c3165c7c602900384eaa1ea81881292284a868a974771d8d245,observed_only,This records a value already present in the final board; it does not reconstruct checkpoint/component math.
