path,change_type,purpose,contains_player_values,protected_or_frozen,source_packet_modified
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/HQ_ADOPTION_AND_MERGE_REVIEW.md,ADDED,Adoption verdict and merge-review record,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/SOURCE_COMMIT_INVENTORY.csv,ADDED,Exact 22-file source commit and hash inventory,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/AUTHORITY_FIELD_NORMALIZATION_CONTRACT.md,ADDED,Closed machine-readable authority field contract,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/AUTHORITY_CANONICALITY_NORMALIZED.csv,ADDED,Fail-closed normalization of all 23 authority rows,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/LOCAL_AND_RESTRICTED_LOCATOR_CONTRACT.md,ADDED,Live local restricted and off-HQ locator interpretation lock,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/SCAFFOLD_ENTRY_AND_POPULATION_LOCK.md,ADDED,Immediate lane population lock and corrected scaffold prompt,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/SOURCE_USE_DECISION_FAIL_CLOSED_REVIEW.md,ADDED,Exact purpose decision and missing-decision behavior,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/DESIGN_CONSISTENCY_REVIEW.md,ADDED,Design cross-contract consistency review,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/PRIVACY_AND_RIGHTS_REVIEW.md,ADDED,Privacy and provider rights boundary review,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/PROTECTED_AND_FROZEN_PATH_VALIDATION.md,ADDED,Protected scope and immutable freeze validation,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/VALIDATION_RESULTS.md,ADDED,Machine and diff validation results,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/FILES_CREATED_OR_CHANGED.csv,ADDED,Canonicalization packet file ledger,false,false,false
docs/hq/master/rookie_evidence_workspace_design_canonicalization_v1_20260711/MANIFEST.json,ADDED,Packet manifest with non-self hashes,false,false,false
