surface,current_authority,current_state,fail_closed_requirement,phase_7_disposition
Rankings,Finished V1,PRODUCTION_EXISTING,Retain governed source labels,Audit and complete or formally close
Unified Dynasty Board,None,NOT_BUILT_COMMON_SCALE_REJECTED,Do not create blended ranks,Formally closed unless later authority passes
Player Compare,Existing Finished V1 paths,UNCHANGED,Reject invalid source rows,Audit governed consumption
Trading Lab,240 current players plus 54 picks,UNCHANGED_MANUAL_DESCRIPTIVE_ONLY,No rookie union or opaque recommendation,Audit governed asset registry
Draft Board,Existing product authority,UNCHANGED,Exact identity and source labels,Audit and complete or formally close
Draft Cockpit,Existing product authority,UNCHANGED,Exact identity and source labels,Audit and complete or formally close
Live Draft,Existing product authority,UNCHANGED,Exact identity and source labels,Audit and complete or formally close
Mock Draft,Existing product authority,UNCHANGED,Exact identity and source labels,Audit and complete or formally close
Draft Analyzer,Existing product authority,UNCHANGED,Exact identity and source labels,Audit and complete or formally close
Roster and team-window planning,Existing product authority,UNCHANGED_NO_HIDDEN_LOGIC,No hidden Team Window recommendation,Audit and complete or formally close
Data Health,Existing passive authority,UNCHANGED,Truthful passive reads and invalid-source status,Audit final source and model reporting
