requested_player,matched_player,match_status,position,nfl_team,lifecycle,overall_rank,position_rank,dynasty_asset_value,confidence,confidence_label,component_scores,component_contributions,top_positive_receipt_drivers,top_negative_receipt_drivers,warnings,unavailable_sections,review_notes
De'Von Achane,De'Von Achane,matched,RB,MIA,year_three_nfl_bridge,5,4,62.55,76.50,usable,Age Dropoff=95.00 | First Down Scoring Fit=67.00 | Production=65.97 | Projection=71.60 | Snap Proxy Role=62.41 | Usage Opportunity=55.97 | Young Player Prior=73.00,Age Dropoff=11.40 | First Down Scoring Fit=9.38 | Production=15.83 | Projection=7.16 | Snap Proxy Role=4.99 | Usage Opportunity=13.43 | Young Player Prior=0.36,Production +15.83 | Usage Opportunity +13.43 | Age Dropoff +11.40 | First Down Scoring Fit +9.38 | Projection +7.16 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Confidence +0.00 (projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_sourced_injury_context|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +0.36 (young_player_prior_review_only) | Snap Proxy Role +4.99 (snap_share_proxy_only_not_route_participation) | Projection +7.16 (missing_first_down_projection|supplied_projection_points_ignored),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_sourced_injury_context|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
Lamar Jackson,Lamar Jackson,matched,QB,BAL,established_veteran,9,2,56.59,76.50,usable,Age Dropoff=92.00 | First Down Scoring Fit=30.67 | Production=100.00 | Projection=84.99 | Snap Proxy Role=96.53 | Usage Opportunity=23.17 | Young Player Prior=0.00,Age Dropoff=9.20 | First Down Scoring Fit=2.45 | Production=24.00 | Projection=11.90 | Snap Proxy Role=5.79 | Usage Opportunity=3.24 | Young Player Prior=0.00,Production +24.00 | Projection +11.90 (missing_first_down_projection|supplied_projection_points_ignored) | Age Dropoff +9.20 | Snap Proxy Role +5.79 (snap_share_proxy_only_not_route_participation) | Usage Opportunity +3.24,No negative component contributions; caution rows: Young Player Prior +0.00 (young_player_prior_not_applicable) | Confidence +0.00 (projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview) | Snap Proxy Role +5.79 (snap_share_proxy_only_not_route_participation) | Projection +11.90 (missing_first_down_projection|supplied_projection_points_ignored),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_not_applicable|projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview,young_player_prior,Route metrics remain unavailable/proxy-only. Young-player prior is not applicable for established veterans.
Chase Brown,Chase Brown,matched,RB,CIN,year_three_nfl_bridge,6,5,59.89,76.50,usable,Age Dropoff=82.00 | First Down Scoring Fit=72.00 | Production=59.33 | Projection=62.60 | Snap Proxy Role=62.75 | Usage Opportunity=59.32 | Young Player Prior=44.00,Age Dropoff=9.84 | First Down Scoring Fit=10.08 | Production=14.24 | Projection=6.26 | Snap Proxy Role=5.02 | Usage Opportunity=14.24 | Young Player Prior=0.21,Production +14.24 | Usage Opportunity +14.24 | First Down Scoring Fit +10.08 | Age Dropoff +9.84 (age_mild_decline_window) | Projection +6.26 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Confidence +0.00 (age_mild_decline_window|projection_first_downs_missing|rb_age_injury_workload_fragility|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +0.21 (young_player_prior_review_only) | Snap Proxy Role +5.02 (snap_share_proxy_only_not_route_participation) | Projection +6.26 (missing_first_down_projection|supplied_projection_points_ignored) | Age Dropoff +9.84 (age_mild_decline_window),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|age_mild_decline_window|young_player_prior_review_only|projection_first_downs_missing|rb_age_injury_workload_fragility|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
Luther Burden,Luther Burden,matched,WR,CHI,year_one_nfl_bridge,37,21,17.63,36.00,weak,Age Dropoff=90.00 | First Down Scoring Fit=0.00 | Production=0.00 | Projection=39.60 | Snap Proxy Role=0.00 | Usage Opportunity=0.00 | Young Player Prior=82.00,Age Dropoff=10.80 | First Down Scoring Fit=0.00 | Production=0.00 | Projection=3.96 | Snap Proxy Role=0.00 | Usage Opportunity=0.00 | Young Player Prior=2.87,Age Dropoff +10.80 | Projection +3.96 (missing_first_down_projection|supplied_projection_points_ignored) | Young Player Prior +2.87 (young_player_prior_review_only),No negative component contributions; caution rows: Production +0.00 (missing_production_data) | First Down Scoring Fit +0.00 (missing_first_down_data) | Usage Opportunity +0.00 (missing_usage_opportunity_data) | Snap Proxy Role +0.00 (missing_snap_share_data) | Confidence +0.00 (missing_lve_scoring_history|missing_participation_proxy|no_injury_report_rows|projection_first_downs_missing|route_data_unavailable_free_public|v3_projection_recompute_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active),missing_production_data|missing_first_down_data|missing_usage_opportunity_data|missing_snap_share_data|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|missing_lve_scoring_history|missing_participation_proxy|no_injury_report_rows|projection_first_downs_missing|route_data_unavailable_free_public|v3_projection_recompute_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,production|first_down_scoring_fit|usage_opportunity|snap_proxy_role,"Weak confidence; treat as review finding. Unavailable sections: production, first_down_scoring_fit, usage_opportunity, snap_proxy_role Route metrics remain unavailable/proxy-only."
Brian Thomas Jr.,Brian Thomas Jr.,matched,WR,JAX,year_two_nfl_bridge,14,5,51.12,76.50,usable,Age Dropoff=94.00 | First Down Scoring Fit=56.00 | Production=57.67 | Projection=36.10 | Snap Proxy Role=79.35 | Usage Opportunity=34.79 | Young Player Prior=90.00,Age Dropoff=11.28 | First Down Scoring Fit=6.72 | Production=14.99 | Projection=3.61 | Snap Proxy Role=4.76 | Usage Opportunity=8.35 | Young Player Prior=1.40,Production +14.99 | Age Dropoff +11.28 | Usage Opportunity +8.35 | First Down Scoring Fit +6.72 | Snap Proxy Role +4.76 (snap_share_proxy_only_not_route_participation),No negative component contributions; caution rows: Confidence +0.00 (projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +1.40 (young_player_prior_review_only) | Projection +3.61 (missing_first_down_projection|supplied_projection_points_ignored) | Snap Proxy Role +4.76 (snap_share_proxy_only_not_route_participation),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
Kaleb Johnson,Kaleb Johnson,matched,RB,PIT,year_one_nfl_bridge,39,10,13.56,36.00,weak,Age Dropoff=95.00 | First Down Scoring Fit=0.00 | Production=0.00 | Projection=1.20 | Snap Proxy Role=0.00 | Usage Opportunity=0.00 | Young Player Prior=73.00,Age Dropoff=11.40 | First Down Scoring Fit=0.00 | Production=0.00 | Projection=0.12 | Snap Proxy Role=0.00 | Usage Opportunity=0.00 | Young Player Prior=2.04,Age Dropoff +11.40 | Young Player Prior +2.04 (young_player_prior_review_only) | Projection +0.12 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Production +0.00 (missing_production_data) | First Down Scoring Fit +0.00 (missing_first_down_data) | Usage Opportunity +0.00 (missing_usage_opportunity_data) | Snap Proxy Role +0.00 (missing_snap_share_data) | Confidence +0.00 (missing_lve_scoring_history|missing_participation_proxy|no_injury_report_rows|projection_first_downs_missing|v3_projection_recompute_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active),missing_production_data|missing_first_down_data|missing_usage_opportunity_data|missing_snap_share_data|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|missing_lve_scoring_history|missing_participation_proxy|no_injury_report_rows|projection_first_downs_missing|v3_projection_recompute_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,production|first_down_scoring_fit|usage_opportunity|snap_proxy_role,"Weak confidence; treat as review finding. Unavailable sections: production, first_down_scoring_fit, usage_opportunity, snap_proxy_role"
Jaxon Smith-Njigba,Jaxon Smith-Njigba,matched,WR,SEA,year_three_nfl_bridge,15,6,49.93,76.50,usable,Age Dropoff=94.00 | First Down Scoring Fit=56.00 | Production=46.92 | Projection=65.13 | Snap Proxy Role=86.41 | Usage Opportunity=31.17 | Young Player Prior=90.00,Age Dropoff=11.28 | First Down Scoring Fit=6.72 | Production=12.20 | Projection=6.51 | Snap Proxy Role=5.18 | Usage Opportunity=7.48 | Young Player Prior=0.55,Production +12.20 | Age Dropoff +11.28 | Usage Opportunity +7.48 | First Down Scoring Fit +6.72 | Projection +6.51 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Confidence +0.00 (projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +0.55 (young_player_prior_review_only) | Snap Proxy Role +5.18 (snap_share_proxy_only_not_route_participation) | Projection +6.51 (missing_first_down_projection|supplied_projection_points_ignored),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
Tee Higgins,Tee Higgins,matched,WR,CIN,established_veteran,17,8,46.62,76.50,usable,Age Dropoff=94.00 | First Down Scoring Fit=48.00 | Production=43.37 | Projection=42.50 | Snap Proxy Role=79.08 | Usage Opportunity=38.78 | Young Player Prior=0.00,Age Dropoff=11.28 | First Down Scoring Fit=5.76 | Production=11.28 | Projection=4.25 | Snap Proxy Role=4.75 | Usage Opportunity=9.31 | Young Player Prior=0.00,Age Dropoff +11.28 | Production +11.28 | Usage Opportunity +9.31 | First Down Scoring Fit +5.76 | Snap Proxy Role +4.75 (snap_share_proxy_only_not_route_participation),No negative component contributions; caution rows: Young Player Prior +0.00 (young_player_prior_not_applicable) | Confidence +0.00 (projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview) | Projection +4.25 (missing_first_down_projection|supplied_projection_points_ignored) | Snap Proxy Role +4.75 (snap_share_proxy_only_not_route_participation),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_not_applicable|projection_first_downs_missing|route_data_unavailable_free_public|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview,young_player_prior,Route metrics remain unavailable/proxy-only. Young-player prior is not applicable for established veterans.
Bijan Robinson,Bijan Robinson,matched,RB,ATL,year_three_nfl_bridge,1,1,75.24,76.50,usable,Age Dropoff=95.00 | First Down Scoring Fit=100.00 | Production=82.90 | Projection=84.17 | Snap Proxy Role=75.35 | Usage Opportunity=62.61 | Young Player Prior=97.00,Age Dropoff=11.40 | First Down Scoring Fit=14.00 | Production=19.90 | Projection=8.42 | Snap Proxy Role=6.03 | Usage Opportunity=15.03 | Young Player Prior=0.47,Production +19.90 | Usage Opportunity +15.03 | First Down Scoring Fit +14.00 | Age Dropoff +11.40 | Projection +8.42 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Confidence +0.00 (projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +0.47 (young_player_prior_review_only) | Snap Proxy Role +6.03 (snap_share_proxy_only_not_route_participation) | Projection +8.42 (missing_first_down_projection|supplied_projection_points_ignored),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
Jahmyr Gibbs,Jahmyr Gibbs,matched,RB,DET,year_three_nfl_bridge,2,2,73.98,76.50,usable,Age Dropoff=95.00 | First Down Scoring Fit=95.00 | Production=88.63 | Projection=85.20 | Snap Proxy Role=55.29 | Usage Opportunity=60.92 | Young Player Prior=91.00,Age Dropoff=11.40 | First Down Scoring Fit=13.30 | Production=21.27 | Projection=8.52 | Snap Proxy Role=4.42 | Usage Opportunity=14.62 | Young Player Prior=0.44,Production +21.27 | Usage Opportunity +14.62 | First Down Scoring Fit +13.30 | Age Dropoff +11.40 | Projection +8.52 (missing_first_down_projection|supplied_projection_points_ignored),No negative component contributions; caution rows: Confidence +0.00 (projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active) | Young Player Prior +0.44 (young_player_prior_review_only) | Snap Proxy Role +4.42 (snap_share_proxy_only_not_route_participation) | Projection +8.52 (missing_first_down_projection|supplied_projection_points_ignored),snap_share_proxy_only_not_route_participation|missing_first_down_projection|supplied_projection_points_ignored|young_player_prior_review_only|projection_first_downs_missing|v3_native_nflverse_production_preview|v3_projection_recompute_preview|v3_snap_share_preview|v3_young_bridge_prior_preview|young_nfl_bridge_prior_active,,Route metrics remain unavailable/proxy-only.
