board_row_key,safe_visible_identifier,final_board_rank,player,position,nfl_team,asset_type,final_tier,review_card_type,manual_review_trigger,warning_severity_display_only,risk_notes,posture_note,source_status,guardrail_status,display_only,allowed_use,forbidden_use
rank_10|antonio_williams|wr|was,antonio_williams|wr|was,10,Antonio Williams,WR,WAS,rookie,Tier 1 - Priority Draft Targets,manual_review_card,needs_manual_review_true,critical_trap_guard,"rookie_warning=critical_trap_guard; manual_question=Does Antonio Williams's NFL draft capital/role (round=3; pick=71; needs_data: nfl_depth_chart_target_earning_role) actually support rank 10, or is this production profile a trap?",uses repaired WR safe_no_snap_no_depth_rank research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_11|jonah_coleman|rb|den,jonah_coleman|rb|den,11,Jonah Coleman,RB,DEN,rookie,Tier 1 - Priority Draft Targets,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Is Jonah Coleman's feature-driven rank move (+24) supported by NFL team, role, and draft-capital context?",uses audited RB role_usage_core research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_12|skyler_bell|wr|buf,skyler_bell|wr|buf,12,Skyler Bell,WR,BUF,rookie,Tier 1 - Priority Draft Targets,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Skyler Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",uses repaired WR safe_no_snap_no_depth_rank research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_13|brenen_thompson|wr|lac,brenen_thompson|wr|lac,13,Brenen Thompson,WR,LAC,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Brenen Thompson have a credible target-earning path on his NFL depth chart, including route/separation evidence?",uses repaired WR safe_no_snap_no_depth_rank research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_14|elijah_sarratt|wr|bal,elijah_sarratt|wr|bal,14,Elijah Sarratt,WR,BAL,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Elijah Sarratt have a credible target-earning path on his NFL depth chart, including route/separation evidence?",uses repaired WR safe_no_snap_no_depth_rank research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_15|emmett_johnson|rb|kc,emmett_johnson|rb|kc,15,Emmett Johnson,RB,KC,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Emmett Johnson have a credible early-down, goal-line, or first-down role path?",uses audited RB role_usage_core research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_16|kaytron_allen|rb|was,kaytron_allen|rb|was,16,Kaytron Allen,RB,WAS,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Kaytron Allen have a credible early-down, goal-line, or first-down role path?",uses audited RB role_usage_core research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_17|adam_randall|rb|bal,adam_randall|rb|bal,17,Adam Randall,RB,BAL,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Adam Randall have a credible early-down, goal-line, or first-down role path?",uses audited RB role_usage_core research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_18|josh_cameron|wr|jax,josh_cameron|wr|jax,18,Josh Cameron,WR,JAX,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Josh Cameron have a credible target-earning path on his NFL depth chart, including route/separation evidence?",uses repaired WR safe_no_snap_no_depth_rank research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
rank_19|nicholas_singleton|rb|ten,nicholas_singleton|rb|ten,19,Nicholas Singleton,RB,TEN,rookie,Tier 2 - Strong Draft Considers,manual_review_card,needs_manual_review_true,manual_review,"rookie_warning=manual_review; manual_question=Does Nicholas Singleton have a credible early-down, goal-line, or first-down role path?",uses audited RB role_usage_core research evidence,pinned_rookie_pool; final_board_candidate_only,FINAL_BOARD_CANDIDATE_ONLY; NOT_LATEST_APPROVED; NOT_PRIVATE_VALUE_APPROVED; NOT_RANKINGS_APPROVED; NOT_MOCK_DRAFT_APPROVED; NOT_FINAL_ADVICE,true,streamlit_display_only_manual_review_card,automatic_recommendations|rank_overrides|hidden_sort|private_value|final_draft_advice
