gate,candidate_0_baseline,candidate_1_hq2,candidate_2_gauntlet_081,candidate_3,blocking
zero_leakage,RETAINED,PASS_REVIEW_ONLY,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
exact_documented_inputs,RETAINED,PASS_DEFINITION,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
adequate_coverage,RETAINED,PASS_REVIEW_ONLY_4764,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
adequate_sample_sizes,RETAINED,PASS_REVIEW_ONLY,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
material_ranking_aligned_improvement,RETAINED,PASS_PROXY_ONLY,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
uncertainty_survival,RETAINED,NOT_TESTABLE_WITH_EXACT_EVIDENCE,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,TRUE
no_pooled_score_regression,RETAINED,PASS_PROXY_ONLY,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
no_position_regression,RETAINED,PASS_PROXY_ONLY_TE_TIE,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
no_top_tier_false_positive_regression,RETAINED,NOT_TESTABLE_WITH_EXACT_EVIDENCE,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,TRUE
no_productive_veteran_false_negative_regression,RETAINED,NOT_TESTABLE_WITH_EXACT_EVIDENCE,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,TRUE
low_games_stability,RETAINED,FAIL_PLUS_12_VS_PRIOR_YEAR,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,TRUE
no_one_season_or_position_dependency,RETAINED,PASS_REVIEW_ONLY,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
fail_closed_missing_predictions,RETAINED,PASS_DEFINITION,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
monotonic_interpretable_behavior,RETAINED,PASS_DEFINITION,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
current_board_unchanged,RETAINED,PASS,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
frozen_comparator_unchanged,RETAINED,PASS,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
independent_reproduction,RETAINED,PASS_SEMANTIC_REGENERATION,NOT_RUN_NO_EXACT_EVIDENCE,PROHIBITED,FALSE
