player_name,position,team,candidate_id,recommended_decision,confidence,blocker_reason,safe_display_action,requires_human_review,review_only,model_use_allowed,training_allowed,source_truth_allowed
Jeremiyah Love,RB,ARI,LOV121782,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Makai Lemon,WR,PHI,LEM694125,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Carnell Tate,WR,TEN,TAT143045,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
KC Concepcion,WR,CLE,CON046719,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Jadarian Price,RB,SEA,PRI206342,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Denzel Boston,WR,CLE,BOS677861,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Germie Bernard,WR,PIT,BER218265,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Chris Bell,WR,MIA,BEL267684,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Zachariah Branch,WR,ATL,BRA531428,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Antonio Williams,WR,WAS,WIL143106,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Jonah Coleman,RB,DEN,COL293648,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
Skyler Bell,WR,BUF,BEL597603,RECOMMEND_APPROVE_REVIEW_ONLY,high,Human approval required before rewriting any active artifact or exposing row-level context.,display_with_review_only_identity_caveat,true,true,false,false,false
