purpose,path,sha256,admitted_fields,excluded_fields,source_status
historical and 2026 draft-day facts,C:\NWR_SHARED_DATA\source_snapshots\nflverse\draft_picks\20260730T072407Z-24ff3f7171ed\raw\draft_picks.parquet,7b41d3437d8172ed619f4fb8de2536eaefb8aa09e901ae53f45e9605509abf0f,season|round|pick|team|gsis_id|pfr_player_id|pfr_player_name|position|college|age,all career outcome columns in draft_picks,PUBLIC_LOCAL_SNAPSHOT
exact identity and current factual team/status/position,C:\NWR_SHARED_DATA\source_snapshots\nflverse\players\20260730T072407Z-42af9666ac84\raw\players.parquet,b10b2d1759c77c02c8c87ab23924a060a59c05e1d89dfc5f9f7ddaba1a2b175c,gsis_id|display_name|pfr_id|position|latest_team|status|rookie_season|last_season,all ranking or projection fields (none present),PUBLIC_LOCAL_SNAPSHOT
immutable approved 530-veteran merge input,docs\hq\model\nwr_redraft_2026_projection_admission_v1_20260808\GOVERNED_PROJECTION_SNAPSHOT.csv,6ee6dbff41e238fb925c8d8d4b5e5079f48de71b132888e5c75fea34e9831c63,entire exact approved projection frame,none,OWNER_GOVERNED
2012 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2012.parquet,ac0d4e6d43f65d00ce0ceb16b1e3fb12d7603f840f4abe8dd3db5bd1077297e5,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2013 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2013.parquet,10181f55c4a82c35e70319d2d9afc649a83be2a7ac6b0b2d38c34943503e3304,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2014 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2014.parquet,3a36b4edd8a7a72c8405d4744113db2f85b311c37a71f08b4b19c48e903c949b,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2015 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2015.parquet,3a94516e054bf601fe39e3bce5d29d4d23d8f029b3ef16280373fe7bdb6afb6a,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2016 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2016.parquet,9a1a49ad1fbd79cfb6d95df2d7e70e7661db0fcdd981ec4d738a76ce751b26c9,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2017 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2017.parquet,1acd7c37295f2a5200855d3f43a7c445225726e3f5b2826231319e0298af4177,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2018 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2018.parquet,cb23e4e5c3ea89b8d0c7314f5d11cdb296ae2f7c6ec002a3f2bab1366a26a86d,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2019 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2019.parquet,ed7b02ff2116e2ee8e6fe05711dbf65e7e91fd87de5fda9b5aef108dae14f965,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2020 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2020.parquet,eaa25a7648f0c8b883677faf1e757d115b2c8c32ea2ce91557db6507b0892dd3,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2021 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2021.parquet,e1659e1d2eeb0c2f1b0583dafec1407397e69966ef3d904e1ae689bd5a2bcd73,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
2022 rookie-year regular-season outcomes,C:\NWR_SHARED_DATA\source_snapshots\nflverse\player_stats_seasonal\20260730T072407Z-a5b2304f0132\raw\player_stats_seasonal_2022.parquet,3cbcffcf0da25f0bcd3b0e506e2e1e6770e0543ac24ae614a5f87521bb35619d,identity plus granular QB/RB/WR/TE scoring components,future seasons; non-REG rows; non-model columns,PUBLIC_LOCAL_SNAPSHOT
