proxy_metric_name,formula,required_inputs,source_family,why_proxy_not_true_route_metric,source_status,identity_status,future_test_owner,notes
"targets per team pass attempt","player_targets / team_pass_attempts","player targets; team pass attempts","nflverse player stats; nflverse team stats; play-by-play","Team pass attempts are team environment, not player routes run.","GREEN_PUBLIC_FOUNDATION_WITH_FIELD_GATE","GSIS/team/season join required","Future frozen validation lane after HQ2 boundary review","Proxy only; do not label as TPRR."
"receiving yards per team pass attempt","player_receiving_yards / team_pass_attempts","receiving yards; team pass attempts","nflverse player stats; nflverse team stats; play-by-play","Team pass attempts do not count player route participation.","GREEN_PUBLIC_FOUNDATION_WITH_FIELD_GATE","GSIS/team/season join required","Future frozen validation lane after HQ2 boundary review","Proxy only; do not label as YPRR."
"first downs per target","receiving_first_downs / targets","receiving first downs; targets","nflverse player stats or play-by-play-derived first downs","Targets are opportunities, not routes, and exclude untargeted routes.","GREEN_PUBLIC_FOUNDATION_WITH_FIRST_DOWN_FIELD_GATE","GSIS/player-season join required","Future source-safe first-down review lane if not owned by HQ2","Keep outside HQ2 immediate scoring unless assigned later."
"first downs per team pass attempt","receiving_first_downs / team_pass_attempts","receiving first downs; team pass attempts","nflverse player stats; nflverse team stats; play-by-play","Team pass attempts are a pass-environment denominator, not player routes.","GREEN_PUBLIC_FOUNDATION_WITH_FIRST_DOWN_FIELD_GATE","GSIS/team/season join required","Future frozen validation lane after HQ2 context","Proxy only."
"air yards per team pass attempt","player_air_yards / team_pass_attempts","player air yards; team pass attempts","nflverse play-by-play or player receiving aggregates where field is admitted","Air yards are target depth/opportunity, not route count.","YELLOW_REVIEW_ONLY_FIELD_GATE_NEEDED","GSIS/team/season join required","Future air-yards source hardening lane","Requires coverage and missingness audit."
"targets per offensive snap","player_targets / player_offensive_snaps","targets; offensive snaps","nflverse player stats plus PFR/nflverse snap counts if admitted","Offensive snaps are on-field exposure, not routes; blockers/non-routes included.","YELLOW_PARTIAL_COVERAGE_SNAP_GATE_NEEDED","PFR to GSIS crosswalk required unless source exposes GSIS","Future snap-source admission lane","Proxy only if snap source is separately admitted."
"receiving yards per offensive snap","player_receiving_yards / player_offensive_snaps","receiving yards; offensive snaps","nflverse player stats plus PFR/nflverse snap counts if admitted","Snaps are not routes and include non-route assignments.","YELLOW_PARTIAL_COVERAGE_SNAP_GATE_NEEDED","PFR to GSIS crosswalk required unless source exposes GSIS","Future snap-source admission lane","Proxy only."
"receiving first downs per offensive snap","receiving_first_downs / player_offensive_snaps","receiving first downs; offensive snaps","nflverse first-down fields plus PFR/nflverse snap counts if admitted","Snap denominator is exposure proxy, not routes-run denominator.","YELLOW_PARTIAL_COVERAGE_SNAP_AND_FIRST_DOWN_GATES_NEEDED","PFR to GSIS crosswalk and first-down field gate required","Future snap-source and first-down field lane","Proxy only."
"target share","player_targets / team_targets","player targets; team targets","nflverse player stats; play-by-play team totals","Target share measures passing-game usage, not routes run or route participation.","GREEN_PUBLIC_FOUNDATION_WITH_DENOMINATOR_GATE","GSIS/team/season join required","Future frozen validation lane","Established proxy family."
"air-yards share","player_air_yards / team_air_yards","player air yards; team air yards","nflverse play-by-play or receiving aggregates where field is admitted","Air-yards share measures target depth allocation, not routes.","YELLOW_REVIEW_ONLY_FIELD_GATE_NEEDED","GSIS/team/season join required","Future air-yards source hardening lane","Proxy only."
"WOPR","weighted target share + weighted air-yards share","target share; air-yards share; frozen WOPR weights","nflverse player stats; play-by-play air yards if admitted","WOPR combines target/air-yard shares and does not include routes run.","YELLOW_REVIEW_ONLY_AIR_YARDS_GATE_NEEDED","GSIS/team/season join required","Future WOPR formula-card validation design lane","Formula weights must be frozen before scoring."
"Chain-Mover Score","weighted blend of first downs per target and first downs per team pass attempt","receiving first downs; targets; team pass attempts; frozen weights","nflverse player stats; play-by-play; team stats","Chain movement is target/pass-volume proxy, not route efficiency.","GREEN_PUBLIC_FOUNDATION_WITH_FIRST_DOWN_FIELD_GATE","GSIS/team/season join required","Future chain-moving validation design lane after HQ2 context","Review-only concept until separate scoring lane."
