"metric_id","metric_name","position_group","parked_reason","blocked_dependencies","reopen_condition","hq_owner","future_lane_owner","notes"
"wr_wopr_review","WOPR","WR","Air-yards partial coverage","air-yards continuity; frozen coefficients","Air-yards audit and formula freeze complete","HQ1","Air-yards source audit lane","Remains parked."
"wr_air_yards_share","Air-Yards Share","WR","Air-yards partial coverage","player/team air yards continuity","Air-yards source continuity proven","HQ1","Air-yards source audit lane","Remains parked."
"wr_true_yprr","True Yards per Route Run","WR","Blocked route denominator","safe full routes-run source","Route source admitted separately","HQ1","Route source admission lane","True YPRR blocked."
"wr_true_tprr","True Targets per Route Run","WR","Blocked route denominator","safe full routes-run source","Route source admitted separately","HQ1","Route source admission lane","True TPRR blocked."
"te_role_aware_route_access","TE Role-Aware Route Access","TE","Blocked route denominator","safe full routes-run source; safe snaps","Routes and snaps admitted separately","HQ1","Route/snap source admission lane","Route access blocked."
"rb_targets_per_game","RB Targets per Game","RB receiving","Availability denominator partial coverage","games active as-of denominator","Availability governance completed","HQ1","Availability denominator lane","Remains parked."
"rb_snap_share_active","Snap Share While Active","RB role","PFR snaps and availability partial coverage","safe snaps; games active","Snap and availability gates completed","HQ1","Snap and availability source lane","Remains parked."
"rb_rush_yards_over_expected_per_attempt","Rush Yards Over Expected per Attempt","RB rushing","NGS display-only gate","NGS RYOE; identity bridge","NGS governance completed","HQ1","NGS governance lane","Remains parked."
"rb_box_team_context","RB Box/Team Context","RB context","Box context source gate","safe box counts if included","Public team context split or box source admitted","HQ1","RB context source lane","Remains parked."
"qb_cpoe","Completion Percentage Over Expected","QB passing","NGS display-only gate","expected completion probability","NGS CPOE governance completed","HQ1","NGS governance lane","Remains parked."
"qb_sack_pressure_behavior","QB Sack/Pressure Behavior","QB passing","Pressure source gate","safe pressure source; dropback definition","Metric split or pressure source admitted","HQ1","QB pressure source lane","Remains parked."
"qb_pfr_passing_heuristic","PFR QB Passing Heuristic","QB passing","PFR heuristic/warning gate","PFR field semantics; PFR ID bridge","PFR QB heuristic use gate approved for review-only","HQ1","PFR consolidation lane","Remains parked."
"dynasty_market_gap","Dynasty Market Gap","cross-position dynasty/meta","Display-only market source gate","market licensing; snapshots; identity bridge","Display-only market governance completed","HQ1","Market governance lane","Not a model input."
"role_stability_index","Role Stability Index","role/availability/stability","Composite snap/availability gate plus HQ2 context","snap source; active games; HQ2 role-stability context","HQ2 context returns and components admitted","HQ1 registry; HQ2 active dependency","Role stability methodology lane","Remains parked."
"availability_adjusted_games","Availability-Adjusted Production","role/availability/stability","Availability leakage gate plus HQ2 sparse-history context","as-of injury/status; active games; HQ2 context","Availability governance and HQ2 sparse-history context complete","HQ1 registry; HQ2 active dependency","Availability denominator lane","Remains parked."
"multi_year_production_trend","Multi-Year Production Trend","cross-position production","HQ2 active multi-year stability context","three_year_missingness_aware; sparse-history guardrails","HQ2 returns multi-year stability context","HQ1 registry; HQ2 active dependency","Multi-year trend lane after HQ2","Moved from review-ready to parked."
"td_rate_residual_context","Touchdown Rate Residual Context","cross-position context","Method and volatility gate","expected/opportunity method; red-zone field audit","TD context method frozen","HQ1","TD context methodology lane","Remains parked."
