source_family,v1_status,v2_status,change_type,reason,impact,needs_master_review
"nflverse core play-by-play","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","V1 foundation language mapped to explicit public-foundation taxonomy.","Clearer future planning; no source promotion.","no"
"nflverse player stats","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","V1 foundation language mapped to explicit public-foundation taxonomy.","Clearer future planning; no source promotion.","no"
"nflverse team stats","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","V1 foundation language mapped to explicit public-foundation taxonomy.","Clearer denominator planning; no source promotion.","no"
"nflverse player/ID crosswalk","identity_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","Identity foundation clarified while preserving no-name-only rule.","Future joins should prefer durable IDs; no source promotion.","no"
"PFR advanced stats general family","partial_review_only","YELLOW_REVIEW_ONLY","clarified_gate","V2 reconciles user-provided current state: provenance hardened, feature signal not production-approved.","Future lanes can separate provenance from feature approval.","yes_for_future_use_gate"
"PFR advanced rushing/receiving safe review subsets","partial_review_only","GREEN_REVIEW_CANDIDATE","split_from_v1","V2 separates safe review-only rush/rec identity subsets from the broader PFR family.","Allows future review planning without approving model use.","yes_for_future_use_gate"
"PFR QB passing heuristic/warning-gated","partial_review_only","YELLOW_REVIEW_ONLY","split_from_v1","V2 separates QB passing as heuristic/warning-gated rather than clean feature source.","Prevents one-stat QB usage and preserves warning labels.","yes_for_future_use_gate"
"PFR snap counts","partial_review_only","YELLOW_PARTIAL_COVERAGE","clarified_gate","Snap counts remain promising but require row-grain, coverage, parser, and ID proof.","Snap proxies remain conditional, not admitted.","yes_for_source_admission"
"NGS public aggregates","display_or_review_only","YELLOW_DISPLAY_ONLY","clarified_gate","Existing NGS gates say review/display-only context, not model/source-truth approved.","Future display/review lanes must show thresholded missingness and gate language.","no"
"FTN public charting subset","partial_review_only","YELLOW_SOURCE_PROVENANCE_LIMITED","clarified_gate","Public subset is distinct from commercial FTN but lacks stable provenance and semantics.","Future lane must prove public-source governance before review scoring.","yes_for_source_admission"
"participation data","partial_review_only","YELLOW_REVIEW_ONLY","clarified_route_boundary","Participation is useful context but not a full routes-run denominator.","Prevents accidental YPRR/TPRR admission.","no"
"injuries","partial_review_only","YELLOW_PARTIAL_COVERAGE","clarified_gate","Timing/status semantics and future-leakage risk remain key blockers.","Future availability work needs as-of source receipts.","yes_for_source_admission"
"rosters","identity_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","Roster identity/context foundation preserved with existing gates.","No new approval; clearer identity planning.","no"
"depth charts","partial_review_only","YELLOW_SOURCE_PROVENANCE_LIMITED","clarified_gate","Depth charts are public but staleness-prone and source-change-prone.","Future role context must retain timestamps and source priority.","yes_for_source_admission"
"draft/combine","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","Completed factual draft/combine sources remain public foundation context.","No new approval; preserves completed-fact versus projection boundary.","no"
"schedules and team context","public_foundation_review_safe","GREEN_PUBLIC_FOUNDATION","normalized_label","Team/schedule source foundation preserved with field-level gates.","No new approval; clearer denominator/context planning.","no"
"air yards and receiving context","partial_review_only","YELLOW_PARTIAL_COVERAGE","clarified_gate","Air-yards fields are source/field-specific and need coverage/timing proof.","Future WOPR work must freeze field source and missingness.","yes_for_source_admission"
"SumerSports route surfaces","unapproved_review_surface","RED_BLOCKED_NO_SAFE_PUBLIC_SOURCE","hardened_block","Public visibility is not enough for a feed; route denominator not admitted.","Cannot be used for route metrics or scoring.","yes_for_source_admission_search"
"PFF","blocked","RED_BLOCKED_PROPRIETARY","normalized_block","Commercial/proprietary status and exact PFF Elusive block preserved.","PFF remains unavailable for model/source-truth/review scoring unless later licensed and admitted.","no"
"SIS","blocked","RED_BLOCKED_PROPRIETARY","normalized_block","Commercial/proprietary status preserved.","SIS remains unavailable unless later licensed and admitted.","no"
"Sportradar","blocked","RED_BLOCKED_PROPRIETARY","normalized_block","Commercial API/proprietary status preserved.","Sportradar remains unavailable unless later licensed and admitted.","no"
"commercial FTN","blocked","RED_BLOCKED_PROPRIETARY","normalized_block","Commercial FTN separated from public FTN subset.","Commercial FTN remains blocked.","no"
"public route/YPRR/TPRR web surfaces","review_only_fragmentary","RED_BLOCKED_NO_SAFE_PUBLIC_SOURCE","hardened_block","Open-web fragments are not approved reproducible feeds.","No route/YPRR/TPRR scoring from public fragments.","yes_for_source_admission_search"
"route/YPRR/TPRR true denominator sources","blocked_until_admitted","RED_ROUTE_DENOMINATOR_UNSAFE","clarified_route_boundary","True route denominator source remains absent.","True YPRR/TPRR remain blocked.","yes_for_source_admission_search"
"name-only join method","blocked_join_method","RED_IDENTITY_UNSAFE","normalized_block","Name-only joins remain barred as approved joins.","Name-only matching can create review queues only.","no"
