endpoint,visibility,width_375,width_768,width_1440,route_agreement,result
/,root,PASS,PASS,PASS,stays_root,PASS
/draft-cockpit,visible,PASS,PASS,PASS,exact,PASS
/mock-draft,visible,PASS,PASS,PASS,exact,PASS
/rankings,visible,PASS,PASS,PASS,exact,PASS
/player-compare,visible,PASS,PASS,PASS,exact,PASS
/trading-lab,visible,PASS,PASS,PASS,exact,PASS
/post-draft-mode,visible,PASS,PASS,PASS,exact,PASS
/development-lab,visible,PASS,PASS,PASS,exact,PASS
/roster-weakness-tracker,visible,PASS,PASS,PASS,exact,PASS
/future-pick-planning,visible,PASS,PASS,PASS,exact,PASS
/upcoming-draft-prep,visible,PASS,PASS,PASS,exact,PASS
/keeper-deadline-prep,visible,PASS,PASS,PASS,exact,PASS
/drop-deadline-prep,visible,PASS,PASS,PASS,exact,PASS
/trade-deadline-prep,visible,PASS,PASS,PASS,exact,PASS
/future-tools,visible,PASS,PASS,PASS,exact,PASS
/refresh-data,visible,PASS,PASS,PASS,exact,PASS
/evidence-integration-review,visible,PASS,PASS,PASS,exact,PASS
/evidence-review-hub,visible,PASS,PASS,PASS,exact,PASS
/settings-data-health,visible,PASS,PASS,PASS,exact,PASS
/draft-cockpit-root,hidden,PASS,PASS,PASS,exact,PASS
/drafting-mode,hidden,PASS,PASS,PASS,exact,PASS
/live-draft-room,hidden,PASS,PASS,PASS,exact,PASS
/drafting-mode-root,hidden,PASS,PASS,PASS,intentional_redirect_to_draft-cockpit,PASS
/home,hidden,PASS,PASS,PASS,exact,PASS
/draft-day-home,hidden,PASS,PASS,PASS,exact,PASS
/cheat-sheets,hidden,PASS,PASS,PASS,exact,PASS
/draft-room,hidden,PASS,PASS,PASS,exact,PASS
/draft-prep,hidden,PASS,PASS,PASS,exact,PASS
/outcome-columns,hidden,PASS,PASS,PASS,exact,PASS
/decision-board,hidden,PASS,PASS,PASS,exact,PASS
/nfl-usage-evidence-review,hidden,PASS,PASS,PASS,exact,PASS
/unified-universe-review,hidden,PASS,PASS,PASS,exact,PASS
/settings,hidden,PASS,PASS,PASS,exact,PASS
/post-draft,hidden,PASS,PASS,PASS,exact,PASS
/draft-analyzer,hidden,PASS,PASS,PASS,exact,PASS
/legacy-rankings,hidden,PASS,PASS,PASS,exact,PASS
/legacy-draft-room,hidden,PASS,PASS,PASS,exact,PASS
/legacy-live-draft-room,hidden,PASS,PASS,PASS,exact,PASS
/legacy-decision-board,hidden,PASS,PASS,PASS,exact,PASS
/legacy-external-asset-reviews,hidden,PASS,PASS,PASS,exact,PASS
/legacy-settings,hidden,PASS,PASS,PASS,exact,PASS
/review-workflow,hidden,PASS,PASS,PASS,exact,PASS
/command-center,hidden,PASS,PASS,PASS,exact,PASS
/trade-lab,hidden,PASS,PASS,PASS,exact,PASS
/model-tuning,hidden,PASS,PASS,PASS,exact,PASS
/import-refresh,hidden,PASS,PASS,PASS,exact,PASS
/war-board,hidden,PASS,PASS,PASS,exact,PASS
/my-team,hidden,PASS,PASS,PASS,exact,PASS
/league-targets,hidden,PASS,PASS,PASS,exact,PASS
/player-board,hidden,PASS,PASS,PASS,exact,PASS
/draft-board,hidden,PASS,PASS,PASS,exact,PASS
/june-15-review,hidden,PASS,PASS,PASS,exact,PASS
/model-lab,hidden,PASS,PASS,PASS,exact,PASS
/freeze,hidden,PASS,PASS,PASS,exact,PASS
/model-lab-sources,hidden,PASS,PASS,PASS,exact,PASS
/source_overrides,hidden,PASS,PASS,PASS,exact,PASS
/rookie-model-debug,hidden,PASS,PASS,PASS,exact,PASS
/rookie_model,hidden,PASS,PASS,PASS,exact,PASS
/historical-replay-debug,hidden,PASS,PASS,PASS,exact,PASS
/historical_replay,hidden,PASS,PASS,PASS,exact,PASS
