phase,status,source,evidence
NFLVerse phase,CLOSED,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701,YELLOW_CORE_USAGE_REVIEW_DATASET_BUILT_REVIEW_ONLY
Core Usage Dataset V1,MERGED_REVIEW_ONLY,docs/hq/data_sources/nflverse_core_usage_review_dataset_v1_20260701,YELLOW_CORE_USAGE_REVIEW_DATASET_BUILT_REVIEW_ONLY
Historical substrate V1,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_tuning_substrate_expansion_v1_20260701,TRACKED_ARTIFACT
Historical substrate V2,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_tuning_substrate_expansion_v2_20260701,TRACKED_ARTIFACT
Historical substrate V3,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_tuning_substrate_expansion_v3_source_semantics_audit_20260701,GREEN_HISTORICAL_TUNING_SUBSTRATE_V3_REVIEW_ONLY
Source Contract V1,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_tuning_source_contract_v1_20260701,GREEN_SOURCE_CONTRACT_V1_REVIEW_ONLY_FORMULA_TUNING_NOT_READY
Candidate Search,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_formula_candidate_search_v1_20260701,TRACKED_ARTIFACT
Candidate Review,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_formula_candidate_review_v1_20260701,TRACKED_ARTIFACT
Promotion Gate Prep,MERGED_HOLD,docs/hq/experiments/historical_formula_candidate_promotion_gate_prep_v1_20260701,TRACKED_ARTIFACT
Risk Rescue Sprint,MERGED_REVIEW_ONLY,docs/hq/experiments/historical_formula_candidate_risk_rescue_sprint_v1_20260701,TRACKED_ARTIFACT
Cutline Refinement,MERGED_PARTIAL_HOLD,docs/hq/experiments/historical_formula_candidate_cutline_safe_refinement_v1_20260701,YELLOW_CUTLINE_SAFE_REFINEMENT_PARTIAL_HOLD_REVIEW_ONLY
Targeted Redesign,MERGED_HUMAN_REVIEW_ONLY,docs/hq/experiments/historical_formula_candidate_targeted_redesign_v1_20260701,GREEN_TARGETED_REDESIGN_FOR_HUMAN_REVIEW_ONLY_REVIEW_ONLY
Shadow Review Gate,MERGED_REVIEW_ONLY_GO_PACKET,docs/hq/experiments/historical_formula_candidate_shadow_review_gate_v1_20260701,GREEN_SHADOW_REVIEW_GATE_GO_REVIEW_ONLY
Development Lab Review Upgrade,MERGED_REVIEW_ONLY,docs/hq/development_lab/development_lab_review_upgrade_v1_20260701,GREEN_REVIEW_ONLY_UI_UPGRADE
Current candidate status,usage_opportunity_volume HOLD,docs/hq/experiments/historical_formula_candidate_promotion_gate_prep_v1_20260701/advance_hold_reject_decision_card.md,Human review hold; no shadow review or production approval
