feature_family,feature_name,source,availability_status,approval_status,allowed_for_review_only_model_rd,allowed_for_display_context,model_use_allowed,training_allowed,review_only,leakage_risk,missingness_risk,blocker_reason,required_next_gate,notes
draft_capital,draft_round,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,draft_pick,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,overall_pick,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,draft_capital_bucket,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,draft_year,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,rookie_class_year,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,position,nflverse draft_picks / repaired review artifact,available_partial,allowed_review_only_model_rd,true,true,false,false,true,low,partial_current_rookie_coverage,Not enough information,Gate E refresh or Gate F rebuild.,Factual completed draft/position field; review-only.
draft_capital,draft_capital_value,Not enough information,missing,blocked,false,false,false,false,true,low,missing,No approved draft-value table in this runner.,Draft value source policy lane.,Do not derive opaque values.
draft_context,drafted_team,nflverse draft_picks,available_partial,review_only_context,false,true,false,false,true,medium,partial_current_rookie_coverage,Landing spot can leak if used as value input before separate approval.,Separate landing-spot feature gate.,Display context only.
draft_context,udfa_status,nflverse draft_picks absence,not_enough_information,blocked,false,false,false,false,true,medium,high,Absence from draft_picks is not enough to prove UDFA for every NWR row.,UDFA/free-agent source lane.,Keep missing rows as Not enough information.
combine_measurements,height,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
combine_measurements,weight,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
combine_measurements,BMI,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
combine_measurements,speed_score,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
combine_measurements,40_time,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
combine_measurements,vertical_broad_agility_bench,nflverse combine,available_partial,review_only_context,false,true,false,false,true,low,partial_current_and_historical_coverage,Needs separate historical validation before model R&D use.,Measurement model R&D validation lane.,Factual measurement display/review context only in this runner.
blocked_or_missing,ESPN_NFL_grades,Not enough information,blocked,blocked,false,false,false,false,true,high,high,License/provenance or separate approval missing.,Separate source-policy approval lane.,Not used in this runner.
blocked_or_missing,scouting_profile_text,Not enough information,blocked,blocked,false,false,false,false,true,high,high,License/provenance or separate approval missing.,Separate source-policy approval lane.,Not used in this runner.
blocked_or_missing,college_production,Not enough information,blocked,blocked,false,false,false,false,true,medium,high,License/provenance or separate approval missing.,Separate source-policy approval lane.,Not used in this runner.
blocked_or_missing,age_early_declare,Not enough information,blocked,blocked,false,false,false,false,true,medium,high,License/provenance or separate approval missing.,Separate source-policy approval lane.,Not used in this runner.
