variant_id,source_rule_family,window,reference_formula,reference_id,net_miss_reduction,misses_resolved,new_misses_created,false_positive_change,false_negative_change,severe_false_positive_change,severe_false_negative_change,spearman_delta,top12_precision_delta,top24_precision_delta,top36_precision_delta,position_level_impact,sparse_history_impact,non_sparse_collateral_damage,collateral_status,classification,pass_fail_status,pass_fail_reasons
REFINE_002_A_DEPTH_STARTER_025,RULE_002,full_history,PYF baseline,PYF_BASELINE,0,11,11,0,0,-1,-1,-0.000,0.002,0.003,0.000,QB:0; RB:2; TE:-2; WR:0,-7,-7,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_002_B_PRIMARY_STARTER_050,RULE_002,full_history,PYF baseline,PYF_BASELINE,2,37,35,-1,-1,-2,1,0.000,0.008,0.002,0.000,QB:-2; RB:2; TE:2; WR:0,-15,-17,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_002_C_LOW_PYF_STARTER_050,RULE_002,full_history,PYF baseline,PYF_BASELINE,2,4,2,-1,-1,1,0,-0.005,0.002,-0.001,0.000,QB:0; RB:0; TE:2; WR:0,0,-2,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike|spearman_decline
REFINE_002_D_RB_WR_TE_STARTER_025,RULE_002,full_history,PYF baseline,PYF_BASELINE,8,24,16,-4,-4,-2,-1,-0.002,0.008,0.001,0.002,QB:0; RB:4; TE:6; WR:-2,-5,-13,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_005_A_EARLY_ROLE_015,RULE_005,full_history,PYF baseline,PYF_BASELINE,2,15,13,-1,-1,-3,-2,0.001,0.002,0.003,-0.001,QB:0; RB:4; TE:-2; WR:0,-6,-8,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_005_B_EARLY_ROLE_025,RULE_005,full_history,PYF baseline,PYF_BASELINE,0,20,20,0,0,-2,0,0.001,0.010,0.003,0.000,QB:-2; RB:4; TE:0; WR:-2,-9,-9,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_005_C_YEAR2_YEAR3_ONLY_025,RULE_005,full_history,PYF baseline,PYF_BASELINE,0,15,15,0,0,-3,1,0.002,0.010,0.005,0.001,QB:-2; RB:2; TE:2; WR:-2,-7,-7,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_005_D_EARLY_CLEAN_AVAIL_025,RULE_005,full_history,PYF baseline,PYF_BASELINE,0,9,9,0,0,-1,-1,0.000,0.005,0.003,0.001,QB:0; RB:2; TE:-2; WR:0,-6,-6,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_005_E_EARLY_LOW_PYF_025,RULE_005,full_history,PYF baseline,PYF_BASELINE,0,0,0,0,0,0,0,-0.000,0.000,0.001,0.000,QB:0; RB:0; TE:0; WR:0,0,0,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_006_A_DRAFT_ROLE_025,RULE_006,full_history,PYF baseline,PYF_BASELINE,6,17,11,-3,-3,-1,0,0.002,0.010,0.004,0.001,QB:0; RB:2; TE:4; WR:0,4,-2,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_B_DRAFT_ROLE_050,RULE_006,full_history,PYF baseline,PYF_BASELINE,10,35,25,-5,-5,-7,0,0.004,0.018,0.006,0.002,QB:0; RB:0; TE:6; WR:4,-1,-11,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
