lane_id,closed_lane,status,reopen_rule
CLOSED_01,Exact Model V4 replay archaeology,CLOSED,Only genuinely new external authority
CLOSED_02,V2-2,CLOSED,Do not repeat
CLOSED_03,Dual-Lens W3/D1,CLOSED,Do not repeat
CLOSED_04,Broad rookie-feature search,CLOSED,Only genuinely new external authority
CLOSED_05,CFBD rookie feature additions,CLOSED,Only genuinely new external authority
CLOSED_06,Local combine/recruiting recovery,CLOSED,Only genuinely new external authority
CLOSED_07,Rookie opportunity-feature gauntlet,CLOSED,Only genuinely new external authority
CLOSED_08,Current ADP as historical football input,CLOSED,Prohibited as historical football input
CLOSED_09,Name-based identity resolution,CLOSED,Exact governed identity required
CLOSED_10,Hidden injury forecasting,CLOSED,Only transparent admitted availability work is allowed
CLOSED_11,Automated trade recommendations and unauthorized provider scraping,CLOSED,Manual descriptive behavior and permissioned sources only
CLOSED_12,Phase 3 role availability lifecycle feature families for formula use,CLOSED,Only genuinely new external authority and a new Golden Lane work order
CLOSED_13,Optional paid role or data pilot without a proven gap,CLOSED,Specific evidence-backed gap plus owner approval
CLOSED_14,Market-retention modeling without admitted retained authority,CLOSED,Separate source-rights and retention authority
