priority_rank,family_name,availability_classification,expected_accuracy_upside_beyond_0755,independence_from_prior_production,coverage_fit,join_feasibility,asof_leakage_risk,near_term_executable_value,recommended_lane_or_status
1,expected_fantasy_points_ffopportunity,PRESENT_READY_FOR_SCHEMA_REVIEW,high,high,2021|2022|2023|2024,yes_highest_priority_schema_sidecar,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,highest_value_immediately_executable,ffopportunity Expected Fantasy Points Formula Mart Sidecar V1
2,next_gen_stats,PRESENT_PARTIAL_COVERAGE,high,high,2021|2022|2023|2024,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,high_value_partial_local_plus_public_rebuildable,nflverse NGS Formula Mart Sidecar V1
3,player_season_week_epa_opportunity,MISSING_BUT_PUBLIC_NFLVERSE_REBUILDABLE,high,medium,missing_or_not_detected,no_requires_prep,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,high_value_public_rebuild_needed,nflverse EPA / Opportunity Formula Mart Sidecar V1
4,receiving_opportunity_air_yards,PRESENT_PARTIAL_COVERAGE,medium_high,medium,2018|2019|2020|2021|2022|2023|2024|2025,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,medium_high_value_wr_te_context,nflverse Receiving Opportunity Formula Mart Sidecar V1
5,ftn_charting,PRESENT_READY_FOR_SCHEMA_REVIEW,medium_high,high,2022|2023|2024,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,medium_high_but_2022plus_partial,FTN charting sidecar later
6,snap_counts,MISSING_BUT_PUBLIC_NFLVERSE_REBUILDABLE,medium,medium,missing_or_not_detected,no_requires_prep,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,role_validation_value,nflverse Snap Counts / Depth Chart Role Sidecar V1
7,depth_charts,PRESENT_NEEDS_ASOF_REVIEW,medium,medium,missing_or_not_detected,no_requires_prep,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,role_change_value_but_asof_sensitive,nflverse Snap Counts / Depth Chart Role Sidecar V1
8,qb_passing_quality,PRESENT_PARTIAL_COVERAGE,medium,medium,2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,qb_specific_but_source_mixed,NGS/EPA first; ESPN/PFR parked
9,expected_yac_first_downs_over_expected,PRESENT_PARTIAL_COVERAGE,medium,medium,2021|2022|2023|2024,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,bundle_with_ngs_or_ffopportunity,Bundle with NGS/ffopportunity sidecar
10,participation_personnel_pressure,PRESENT_PARTIAL_COVERAGE,medium,medium,missing_or_not_detected,yes,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,partial_play_context,Park behind NGS/ffopportunity
11,injury_availability,PRESENT_NEEDS_ASOF_REVIEW,medium,medium,missing_or_not_detected,no_requires_prep,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,caution_context_not_prediction,Point-in-Time Injury Availability Data Mart Gate V1 later
12,historical_market_adp,PRESENT_NEEDS_ASOF_REVIEW,medium,medium,not_proven_by_this_audit,no_requires_prep,lag_N_to_Nplus1_required; current_only_rows_blocked; weekly rows need season aggregation with closed-season cutoff,high_future_value_but_non_nflverse_asof_gate,Historical Market / ADP Source Gate later
