issue_id,title,source_feedback,priority,mode,lane,user_impact,acceptance_criteria,dependencies,risk,status
V2-001,Persistent drafted-player state,"Reload lost all info on who was already drafted.",P0,Drafting,Persistent Draft State + Event Log,"Reload during draft destroys trust and forces manual reconstruction.","Assigned picks autosave locally and restore after reload; drafted players remain hidden/marked; draft board restores.",None,"Runtime write failure or accidental source mutation.",Implemented
V2-002,Draft event log,"Need to know and preserve what happened during the draft.",P0,Drafting,Persistent Draft State + Event Log,"No audit trail for picks/trades/undo/reset.","Every assign, undo, remove, edit, trade, reset is logged with timestamp and mode.",V2-001,"Event log bloat or stale state if not versioned.",Implemented
V2-003,Export draft log,"Need recoverable draft record.",P0,Drafting,Persistent Draft State + Event Log,"No fallback if app/session fails.","Export CSV/JSON/MD draft log from local runtime state.",V2-001,"Export may include local-only paths; keep safe.",Implemented
V2-004,Reset with confirmation,"Reset should not be accidental.",P0,Drafting,Persistent Draft State + Event Log,"Accidental reset could erase draft progress.","Reset requires explicit confirmation and writes reset event.",V2-001,"Bad confirmation UX can still be dangerous.",Implemented
V2-005,In-draft trade event entry,"Traded away 1.04 for 2028 1st + 2.03 and had no way to make that trade.",P0,Drafting,In-Draft Trade Events,"User had to draft for other teams after trade.","Trade form records gives/gets, current/future picks, teams, notes.",V2-001,"Trade entry could mutate source truth if scoped poorly.",Implemented
V2-006,Pick ownership update after trade,"Need draft board/model context to know who owns pick after trade.",P0,Drafting,In-Draft Trade Events,"Draft board becomes wrong after trades.","Current-year traded picks update owner/current pick display immediately.",V2-005,"Future pick ownership ambiguity.",Implemented
V2-007,Future pick ledger,"Trade received 2028 1st and needs to be remembered.",P1,Drafting,In-Draft Trade Events,"Future value disappears during draft.","Future picks are stored in event log and Your Team sidebar.",V2-005,"Future pick labels may be incomplete.",Partial
V2-008,Drafting Mode entry,"Need Drafting Mode separate from normal/post-draft mode.",P1,Drafting,Drafting Mode Shell / Navigation,"Draft tools feel buried in normal app.","Enter Draft Room button near top left; user chooses Live Draft or Mock Draft.",V2-001,"Navigation clutter.",Implemented
V2-009,Live/Mock draft choice,"Enter draft room should choose live or mock.",P1,Drafting,Drafting Mode Shell / Navigation,"Mock and live workflows can be confused.","Mode selector creates separate runtime namespaces.",V2-001,"Cross-contamination between mock/live state.",Implemented
V2-010,Pick-by-pick draft room,"Should look similar for every pick whether mine or other team's.",P0,Drafting,Drafting Mode Shell / Navigation,"Hard to track other teams' picks.","Current pick panel works for any owner and supports manual picked-player search/selection.",V2-001,"Too much UI variation between owners.",Implemented
V2-011,Draft room top tabs,"Likes tabs: Cheat Sheets, Draft Board, Trade Lab, Player Compare.",P1,Drafting,Drafting Mode Shell / Navigation,"Draft tools are scattered.","Top tab layout inside Drafting Mode.",V2-008,"Tab clutter if too many diagnostics included.",Implemented
V2-012,Player Compare decision summary,"Compare had useful data but was super confusing.",P1,Drafting,Player Compare Decision Summary,"Hard to decide under pressure.","Compare starts with concise verdict, reasons, risks, confidence; details behind expanders.",None,"Oversimplification may hide important caveats.",Implemented
V2-013,Jameson vs Brian compare proof,"User specifically compared Jameson Williams vs Brian Thomas Jr.",P1,Drafting,Player Compare Decision Summary,"Need real example acceptance.","Browser proof with that pair if both are available in source data.",V2-012,"Player availability may differ by source.",Pending browser proof
V2-014,Injury model transparency,"Concern: per-game output vs injured yearly totals vs recovery risk.",P1,Drafting,Injury + Per-Game Risk Modeling Audit,"User cannot tell if injury is handled correctly.","Document/display separate per-game, annual total, injury-shortened year, recovery risk, chronic risk.",None,"Data may be missing; must not fabricate.",Deferred
V2-015,Injury history penalty contract,"Bad injury history should lower trust/value or show warning.",P1,Drafting,Injury + Per-Game Risk Modeling Audit,"Risky players may look too clean.","Audit source availability and define confidence cap/warning before any scoring.",V2-014,"Unsupported injury source could create false confidence.",Deferred
V2-016,Trade Finder trade-back tool,"I don't like this pick; find trade-back options.",P1,Drafting,Trade Finder / Trade For,"User lacks action when board tier is bad.","Trade Finder suggests conservative trade-back ranges/packages and tier-drop risk.",V2-001; V2-005,"May be mistaken for final trade advice.",Implemented basic
V2-017,Trade For falling-player tool,"A player is falling; cheapest way to trade for that pick?",P1,Drafting,Trade Finder / Trade For,"User cannot capitalize on falling player.","Trade For suggests cheapest internal packages and warnings for target pick/player.",V2-001; V2-005,"External trade calculator leakage.",Implemented basic
V2-018,Global draft search,"Need search when another team picks a player not top five.",P0,Drafting,Drafting Mode Shell / Navigation,"Cannot quickly mark off-table picks.","Search can find any draftable player and assign to current/selected pick.",V2-001,"Search misses aliases/unmatched players.",Partial
V2-019,Your Team sidebar,"User likes Your Team on left.",P1,Drafting,Drafting Mode Shell / Navigation,"Owned picks/roster/trades not visible enough.","Left sidebar shows roster, owned picks, future picks, drafted players, trade events.",V2-001; V2-005,"Team needs should not override best player value.",Partial
V2-020,Configurable info density,"Likes dropdowns to decide variation/amount of information.",P1,Drafting,Cheat Sheet / Tiered Board,"Too much or too little info under pressure.","Controls for number of players and summary/detailed/expert-style notes where supported.",None,"Unsupported note styles could become fluff.",Implemented
V2-021,Overall cheat sheet first,"Most likely to use overall, not per-position.",P1,Drafting,Cheat Sheet / Tiered Board,"Per-position view is less useful on clock.","Cheat Sheet defaults to overall ranking with position filters secondary.",None,"Overall rank must remain review-labeled if candidate-based.",Implemented
V2-022,Tier separation,"Tiers separated like cheat sheet would be nice.",P1,Drafting,Cheat Sheet / Tiered Board,"Hard to see value cliffs.","Visual tier separators or clear tier headers.",V2-021,"Streamlit table limitations.",Implemented
V2-023,Normal/Post-Draft Mode,"Wants drafting mode and another post-draft/normal mode.",P2,Normal/Post-Draft,Post-Draft Mode,"App modes blur together.","Normal Mode and Post-Draft Mode are separate from Drafting Mode.",V2-001,"Mode complexity.",Implemented
V2-024,Post-draft recap,"Post-draft mode all about afterwards.",P2,Post-Draft,Post-Draft Mode,"Need review after draft.","Draft log recap, picks made, trades made, passed players, next actions.",V2-002; V2-003,"Could imply final roster advice without review.",Implemented
V2-025,Settings data health for runtime state,"Need know autosave/runtime health.",P1,Drafting,Final Integration + Browser Acceptance,"Silent save failure would be catastrophic.","Settings shows runtime path, active draft id, autosave status, last save, event count.",V2-001,"False green if not actually writing.",Partial
V2-026,Final V2 browser acceptance,"Do not call GREEN unless human workflow works.",P0,Drafting,Final Integration + Browser Acceptance,"Tech tests are insufficient.","Browser proof: reload restore, trade example, compare summary, trade tools, cheat sheet, search, modes.",All prior lanes,"Late integration conflict.",Partial
