source_name,status,reason,what_would_unblock,source_owner,identity_risk,licensing_risk,coverage_risk,notes
"True full routes-run denominators","blocked","No broad public reproducible join-safe full routes-run feed was found.","Separate route source-admission lane with license review, source contract, identity audit, field dictionary, coverage matrix, and leakage audit.","HQ1 future source discovery","high","high","high","Required for true YPRR, TPRR, route share, and routes per dropback."
"nflverse participation primary-receiver route labels","partial_review_only","Primary-receiver route labels are not full player routes-run denominators.","Can remain a context source, but cannot unblock true route metrics without full route denominators.","HQ1 future source discovery","medium","low","medium","Useful for route-like context only. Do not label as YPRR or TPRR input."
"Public route/YPRR webpages","review_only_fragmentary","Open-web surfaces may exist but are not approved reproducible feeds.","Documented source contract, stable access, clear license, historical coverage, and ID joins beyond names.","HQ1 future source discovery","high","medium_to_high","high","May inform source scouting but not scoring."
"SumerSports public route surfaces","unapproved_review_surface","Public surface may expose route-like information, but reproducible feed, licensing, coverage, and IDs are not admitted.","Future source-admission packet proving access, fields, coverage, identity, as-of dates, and missingness.","HQ1 future source discovery","high","medium","high","Track as a candidate source only."
"PFF charting and route metrics","blocked","Commercial/proprietary source with grade/projection/route-field contamination risk.","Explicit license, factual-field isolation, source contract, identity audit, and blocked-field scan.","future source-admission lane","medium_to_high","high","medium","Exact PFF Elusive Rating remains forbidden."
"SIS charting","blocked","Commercial/proprietary charting source not available as public source-safe feed.","Explicit license, field dictionary, reproducible export, identity audit, and coverage report.","future source-admission lane","medium_to_high","high","medium","Potential research value does not equal source admission."
"Sportradar API","blocked","Commercial API source not available as public source-safe feed.","Contracted access, source contract, endpoint field dictionary, ID crosswalk, and as-of audit.","future source-admission lane","medium","high","medium","Not used by this packet."
"Commercial FTN products","blocked","Premium/commercial source distinct from public FTN surfaces.","License review, factual-field isolation, reproducible export, identity audit, and coverage report.","future source-admission lane","medium_to_high","high","medium","Commercial FTN remains blocked."
"FTN public charting subset","partial_review_only","Public subset may be useful but coverage, field semantics, and reproducibility are not established.","Future public-source semantics lane with source snapshots, field dictionary, coverage matrix, and identity audit.","HQ1 future source discovery","high","medium","high","Do not infer that public subset admits commercial FTN."
"NGS public aggregates","display_or_review_only","Useful public metrics are limited and coverage can be metric-specific.","Data-health lane confirming fields, season coverage, row grain, IDs, missingness, and as-of rules.","HQ1 future source discovery","medium","low_to_medium","medium_to_high","Display-only gates remain binding unless changed by future lane."
"PFR advanced stats","partial_review_only","Public and promising, but ingestion stability, field definitions, historical coverage, and IDs need proof.","PFR source-admission review with parser contract, pfr_id joins, coverage matrix, and missingness audit.","HQ1 future source discovery","medium","low_to_medium","medium","Worth tracking for public advanced context."
"PFR snap counts","partial_review_only","Public and promising, but snap row grain, coverage, and ID stability need proof.","PFR snap source-admission review with parser contract, pfr_id joins, coverage matrix, and staleness audit.","HQ1 future source discovery","medium","low_to_medium","medium","Snap denominators can support proxies only after admission."
"Depth charts","partial_review_only","Public depth charts can be stale or ambiguous without timestamps.","Timestamped source contract, as-of policy, source priority rules, and missingness/staleness reporting.","HQ1 future source discovery","medium","low","high","Use first as review-only role context."
"Injury/status surfaces","partial_review_only","Timing and status semantics can leak future availability if mishandled.","As-of audit, report-date retention, status dictionary, and zero/missing policy.","HQ1 future source discovery","medium","low","medium","Useful for availability controls after timing gate."
"Name-only joins","blocked_join_method","Name-only joins are not approved joins for source admission or model features.","Durable ID bridge through GSIS, PFR IDs, nflverse crosswalks, or manually approved identity mapping.","all future lanes","high","low","medium","Name-only matching may only create human review queues, not approved joins."
