assetId,rank,playerId,player,position,team,rookieTier,draftRange,nflDraftCapital,boardScore,reviewScore,authority,blockedReason,warnings,confidence,age,collegeProduction,athleticContext,researchTier,floor,expected,ceiling,actual_draft_capital_check,public_rookie_consensus,disagreement_explainable,classification
rookie:LOV121782,1,LOV121782,Jeremiyah Love,RB,ARI,Tier 1 · Cornerstone range,Early 1st range (1.01–1.04),NFL Round 1 · Pick 3,67.343,81.1362,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",20.895706,86.0 / 100 normalized,Not enough information,Research neighborhood 1,Downside signal: 56.0%,Research neighborhood 1,Ceiling signal: 59.5%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:TYS405541,2,TYS405541,Jordyn Tyson,WR,NOR,Tier 1 · Cornerstone range,Early 1st range (1.01–1.04),NFL Round 1 · Pick 8,63.6383,76.6727,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",21.695175,83.2 / 100 normalized,Not enough information,Research neighborhood 2,Downside signal: 64.2%,Research neighborhood 2,Ceiling signal: 41.1%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:LEM694125,3,LEM694125,Makai Lemon,WR,PHI,Tier 1 · Cornerstone range,Early 1st range (1.01–1.04),NFL Round 1 · Pick 20,61.0297,73.5297,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",21.889567,73.1 / 100 normalized,Not enough information,Research neighborhood 2,Downside signal: 65.7%,Research neighborhood 2,Ceiling signal: 36.3%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:COL293648,4,COL293648,Jonah Coleman,RB,DEN,Tier 1 · Cornerstone range,Early 1st range (1.01–1.04),NFL Round 4 · Pick 108,56.8169,68.4541,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",22.680822,95.4 / 100 normalized,Not enough information,Research neighborhood 4,Downside signal: 71.6%,Research neighborhood 4,Ceiling signal: 15.0%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:BEL597603,5,BEL597603,Skyler Bell,WR,BUF,Tier 2 · First-round target,Mid/late 1st range (1.05–1.10),NFL Round 4 · Pick 125,56.3409,67.8806,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",23.806101,89.8 / 100 normalized,Not enough information,Research neighborhood 5,Downside signal: 81.3%,Research neighborhood 5,Ceiling signal: 6.4%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:TAT143045,8,TAT143045,Carnell Tate,WR,TEN,Tier 2 · First-round target,Mid/late 1st range (1.05–1.10),NFL Round 1 · Pick 4,53.871,64.9048,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",21.25711,54.9 / 100 normalized,Not enough information,Research neighborhood 1,Downside signal: 62.4%,Research neighborhood 1,Ceiling signal: 47.3%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:BEL267684,9,BEL267684,Chris Bell,WR,MIA,Tier 2 · First-round target,Mid/late 1st range (1.05–1.10),NFL Round 3 · Pick 94,53.745,64.753,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",21.878615,75.4 / 100 normalized,Not enough information,Research neighborhood 3,Downside signal: 74.8%,Research neighborhood 3,Ceiling signal: 14.3%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:CON046719,14,CON046719,KC Concepcion,WR,CLE,Tier 3 · Second-round target,2nd-round range,NFL Round 1 · Pick 24,50.0,69.9799,Rookie Review — decision context only,,Missing recruiting prior. Missing combine evidence.,Capped Review Required,21.577445,81.3 / 100 normalized,Not enough information,Research neighborhood 2,Downside signal: 64.9%,Research neighborhood 2,Ceiling signal: 39.1%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:SAR527100,25,SAR527100,Elijah Sarratt,WR,BAL,Tier 4 · Third-round target,3rd-round range,NFL Round 4 · Pick 115,42.3632,51.04,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",22.910806,86.3 / 100 normalized,Not enough information,Research neighborhood 4,Downside signal: 78.7%,Research neighborhood 4,Ceiling signal: 8.9%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
rookie:KOZ404039,40,KOZ404039,Tanner Koziol,TE,JAX,Tier 5 · Later-round swing,Later-round target,NFL Round 5 · Pick 164,38.3891,49.28,Rookie Review — decision context only,,Missing recruiting prior. Combine percentile normalization not governed.,"Usable, with evidence cap",22.240019,100.0 / 100 normalized,95.0 / 100 normalized,Research neighborhood 4,Downside signal: 71.4%,Research neighborhood 4,Ceiling signal: 4.3%,OFFICIAL_DRAFT_CONTEXT_REVIEWED,OFFICIAL_DRAFT_CONTEXT_REVIEWED,PLAUSIBLE_WITH_EVIDENCE_CAP,PLAUSIBLE_WITH_EVIDENCE_CAP
