field_name,field_type_or_example,source_dataset,required_for_sidecar,allowed_for_review,label_truth_allowed,model_use_allowed,training_allowed,source_truth_allowed,missingness_rule,notes
air_yards_share,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
attempts,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
carries,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
completions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,stat_context
def_fumbles,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_fumbles_forced,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_interception_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_interceptions,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_pass_defended,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_qb_hits,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_sack_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_sacks,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_safeties,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tackle_assists,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tackles_for_loss,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tackles_for_loss_yards,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tackles_solo,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tackles_with_assist,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
def_tds,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fantasy_points,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
fantasy_points_ppr,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,false,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,quarantined_by_runner_policy
fg_att,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_blocked,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_blocked_distance,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_blocked_list,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_long,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
fg_made,present_in_source_schema,player_stats_weekly|player_stats_seasonal,false,true,false,false,false,false,Missing data remains Not enough information; missing stat is not zero unless source row explicitly records zero.,review-only schema field; not approved for model/training/source truth
