surface,path,purpose,data_authority,value_source,persistence,state,missing_evidence,dual_lens_value,tests_ux,recommended_action,path_exists
Rankings / Finished V1,app/pages/20_final_board_v1.py,Canonical 240-player Finished V1 decision board,Pinned Finished V1; market and Outcome contexts display-only,nwr_rank and nwr_dynasty_score from immutable board,read-only board load; UI filters in session state,production canonical,No admitted Win Now or Dynasty dual-lens source,high if both lanes pass,release-quality V1 baseline; no dual-lens change in this mission,NO_CHANGE_GATES_FAILED,True
Player Compare,app/pages/22_player_compare_v1.py,Read-only side-by-side player context,Frozen rank primary; Outcome V3 and injury/NGS display-only,draft_day_app_v1_service + compare decision service,selection/session state only; no rank write,manual review-only comparison,No admitted lens scores/disagreement contract,very high,accessible comparison baseline; explicit no-recommendation copy,DESIGN_READY_NO_INTEGRATION,True
Trading Lab,app/pages/23_trading_lab_v1.py,Manual two-sided trade-package context,Frozen board rank/tier and display-only NFLVerse context,manual package rows; no package valuation or winner,Streamlit session state only,manual/review-only,"No admitted Win Now, Dynasty, Team Window, multi-year, scarcity, rookie/pick uncertainty totals",highest priority,safe no-winner baseline; no page-open writes,DESIGN_READY_NO_INTEGRATION,True
Draft Cockpit,app/pages/21_live_draft_room_v1.py,Primary live pick-by-pick execution surface,Frozen baseline plus review-only lane props,Finished V1/frozen ranks and manual draft state,explicit local untracked autosave runtime,stateful only after explicit draft action,No admitted draft lens routing,medium/high,live runtime guardrails and reload safety present,NO_CHANGE_GATES_FAILED,True
Live Draft,app/pages/21_live_draft_room_v1.py,Live Draft Cockpit execution and context,Same frozen/manual authorities as Draft Cockpit,manual picks/trades plus frozen board,local untracked runtime; explicit actions,gated stateful,No admitted dual-lens toggle,medium,no page-open mutation contract,NO_CHANGE_GATES_FAILED,True
Mock Draft,app/pages/24_mock_draft_v1.py,Manual practice drafts isolated from live state,Frozen board and mock lane props,manual practice selection; no simulator/model input,explicit local mock session/runtime,manual stateful,No admitted draft lens toggle,medium,mock/live isolation and destructive confirmation present,NO_CHANGE_GATES_FAILED,True
Draft Analyzer,app/pages/29_post_draft_mode_v2.py,Post-draft review of manual outcomes,Draft runtime and frozen/contextual values,descriptive post-draft evidence,reads local runtime; no ranking write,review-only,No admitted lens-at-pick comparison,medium,existing post-draft route baseline,NO_CHANGE_GATES_FAILED,True
Roster / Planning,app/pages/36_roster_weakness_tracker_v1.py|app/pages/37_future_pick_planning_v1.py,"Human planning notes, weakness and future-pick context",Manual/display-only planning evidence,manual roster and pick ledger; no automatic team-state label,manual development-lab/local planning state,manual/review-only,No owner-authored team window and no admitted lens scores,high after owner selects weights,no automated contender/rebuilder classification,NO_CHANGE_GATES_FAILED,True
Data Health,app/pages/28_settings_data_health_v1.py,Source/runtime/refresh status and trust semantics,Typed health services and source registry,status only; explicitly no rank/model promotion,session summary and durable refresh receipts,status plus explicit safe loader actions,Would need dual-lens model status registry if admitted,high for transparency,typed fail-closed status baseline,DOCUMENT_RESEARCH_BLOCKED_STATUS_ONLY,True
Refresh Data,app/pages/24_refresh_data_v1.py,Explicit safe refresh/checklist controls,Source registry and refresh orchestrator,refresh receipts only; no automatic ranking change,durable receipts after explicit button action,gated mutation,Dual-lens regeneration must remain separate and owner-approved,status-only,no page-open mutation; protected sources remain manual,NO_CHANGE_NEVER_AUTO_REGENERATE_MODEL,True
