source_family,provider,public_status,historical_coverage,row_grain,identity_keys,source_status,nwr_current_gate,usable_for_future_review,blocked_reason,notes
"nflverse core play-by-play","nflverse","public open-source data package","broad modern NFL seasons; exact season range must be checked by future lane","play","game_id; play_id; season; week; team; gsis_id where player-specific","public_foundation_review_safe","existing NWR source gates only; no promotion from this lane","yes","none for review context","Best public foundation for play-level factual opportunity, first downs, EPA, pass environment, rushing context, and team context."
"nflverse player stats","nflverse","public open-source data package","weekly and seasonal historical coverage; future lane must confirm field-level availability","player-week; player-season","gsis_id; nflverse player ids; season; week; team","public_foundation_review_safe","existing NWR source gates only; no promotion from this lane","yes","none for review context","Core source for targets, carries, yards, touchdowns, first downs where fields are present, and position-level production context."
"nflverse team stats","nflverse","public open-source data package","weekly and seasonal historical coverage; exact fields vary by release","team-week; team-season","team; season; week","public_foundation_review_safe","existing NWR source gates only; no promotion from this lane","yes","none for review context","Useful for team pass attempts, team rushing volume, pace, scoring environment, and denominator construction."
"nflverse player/ID crosswalk","nflverse; nflverse ids; public crosswalks","public open-source identity infrastructure","broad modern player identity coverage; gaps remain for edge cases","player identity row","gsis_id; pfr_id; espn_id; sleeper_id where available; nflverse_id","identity_foundation_review_safe","identity gates remain binding; no name-only joins","yes","none for review context","ID joins should prefer GSIS, PFR IDs, and nflverse crosswalks. Name-only joins are not approved joins."
"PFR advanced stats","Pro Football Reference","public web tables","historical coverage varies by stat, season, and position","player-season; team-season depending table","pfr_id when available; player name; team; season","partial_review_only","future source-admission and parser stability lane required","yes_with_caveats","not blocked, but not admitted here","Worth review for public advanced context. Requires field dictionary, reproducible ingestion, identity audit, and missingness matrix."
"PFR snap counts","Pro Football Reference","public web tables","historical coverage varies; future lane must confirm game and season range","player-game; player-season summary depending table","pfr_id when available; player name; team; season; week","partial_review_only","future source-admission and parser stability lane required","yes_with_caveats","not blocked, but not admitted here","Worth review for offensive snap denominators and role stability. Snap-based metrics remain conditional on safe ingestion and joins."
"NGS public aggregates","NFL Next Gen Stats public site","public limited aggregate surface","recent seasons and metric-specific coverage; historical continuity must be checked","player-season; player-week or leaderboard row depending surface","gsis/nfl ids when exposed; player name; team; season","display_or_review_only","existing display-only gates remain binding; no model approval","yes_with_caveats","limited public fields and coverage","Useful for QB CPOE, passing EPA-style context, rushing expected yards, receiver separation-style context if fields are public and source-safe."
"FTN public charting subset","FTN public articles/tables/surfaces","public partial surface","metric-specific and likely incomplete historical coverage","player-season; team-season; leaderboard row depending surface","player name; team; season unless IDs exposed","partial_review_only","future semantics, licensing, reproducibility, and identity lane required","yes_with_caveats","public subset only; commercial FTN remains blocked","Potentially useful for public charting context, but field semantics and coverage must be proven before any review-only scoring."
"participation data","nflverse participation","public open-source data package","recent historical coverage; future lane must confirm field and season availability","player-play; participation row","game_id; play_id; gsis_id; team; season; week","partial_review_only","existing source gates; route denominator not admitted","yes_with_caveats","not full routes-run denominator","Primary-receiver route labels are not full route denominators and cannot unlock true YPRR or TPRR."
"injuries","nflverse; public injury reports","public data package or public reports","historical coverage varies by source and season","player-week; report row","gsis_id when available; player name; team; season; week","partial_review_only","availability and as-of gates required; no promotion here","yes_with_caveats","timing, status semantics, and coverage gaps","Useful for availability controls, active-game filters, and missingness flags. Must avoid future injury leakage."
"rosters","nflverse rosters","public open-source data package","broad historical roster coverage; field availability varies","player-season; player-week depending file","gsis_id; pfr_id; player name; team; season","identity_foundation_review_safe","identity gates remain binding; no source promotion here","yes","none for review context","Useful for positions, teams, ages, IDs, and joining public stat surfaces."
"depth charts","nflverse depth charts; team/public depth chart surfaces","public but staleness-prone","recent or source-dependent historical coverage","team-week; player-depth-chart row","gsis_id when available; player name; team; week; position","partial_review_only","future staleness and timestamp gate required","yes_with_caveats","staleness and role ambiguity","Useful for review-only role context if source dates and as-of rules are explicit."
"draft/combine","nflverse; official NFL draft/combine facts","public factual sources","historical draft and combine coverage; future lane must confirm completeness","prospect row; draft pick row; combine row","gsis_id when available; pfr_id; college id; player name; draft year","public_foundation_review_safe","completed facts only; no pre-draft mock or big-board leakage","yes","none for completed factual review context","Useful for rookie priors and athletic context. Completed NFL draft facts are different from projections or market rankings."
"schedules and team context","nflverse schedules; public schedule data","public open-source data package","broad historical schedule coverage","game; team-game","game_id; team; season; week","public_foundation_review_safe","existing NWR source gates only; no promotion from this lane","yes","none for review context","Useful for opponent, team environment, and season/week alignment in future validation."
"air yards and receiving context","nflverse where present; public receiver stat surfaces","public or partial depending field","field-specific coverage; future lane must confirm source and timing","player-week; player-season","gsis_id or pfr_id where available; season; week; team","partial_review_only","future field-level gate required","yes_with_caveats","field coverage and timing may vary","Useful for WOPR, air-yards share, and team-pass-denominator proxies if source-safe."
"SumerSports route surfaces","SumerSports public web surfaces","public surface but unapproved as feed","coverage unclear; reproducibility unclear","leaderboard or article/table row","usually player name; team; season unless IDs exposed","unapproved_review_surface","future source-admission lane required","no_for_scoring","not an approved reproducible join-safe feed","May be tracked as a source-discovery candidate only. Not admitted as a route/YPRR/TPRR feed."
"PFF","Pro Football Focus","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs and names; exact export dependent","blocked","blocked unless future license and source-admission lane exists","no","commercial/proprietary and field contamination risk","Grades, ranks, projections, and proprietary charting are blocked. Exact PFF Elusive Rating must not be calculated or displayed."
"SIS","Sports Info Solutions","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs and names; exact export dependent","blocked","blocked unless future license and source-admission lane exists","no","commercial/proprietary and charting license risk","Potentially valuable charting source, but not public or admitted."
"Sportradar","Sportradar","commercial API/proprietary","coverage depends on contract and product","API object; player-game; player-season depending endpoint","provider IDs; mapping required","blocked","blocked unless future license and source-admission lane exists","no","commercial API access and licensing risk","Not a public source-safe feed for this packet."
"commercial FTN","FTN premium/commercial products","commercial/proprietary","coverage depends on paid product and license","player-game; player-season; charting field depending product","vendor IDs or player names depending export","blocked","blocked unless future license and source-admission lane exists","no","commercial/proprietary; public subset is separate","Commercial FTN remains blocked even though limited public FTN surfaces may be reviewed separately."
"route/YPRR/TPRR sources","various public and commercial route surfaces","no approved broad public reproducible feed found","coverage fragmented or license-dependent","varies; often leaderboard or proprietary charting row","often name/team/season only unless vendor IDs exposed","blocked_until_admitted","future route source-admission lane required","no_for_true_route_metrics","full routes-run denominator not safely available","True YPRR and TPRR remain blocked. Public fragments may guide future source discovery but are not approved feeds."
