future_lane_name,source_family,purpose,current_status,required_inputs,expected_artifacts,priority,blocked_by,notes
"Route/YPRR/TPRR Source Admission Search","route/YPRR/TPRR true denominator sources","Find whether any safe full routes-run source can be admitted for review-only work.","RED_ROUTE_DENOMINATOR_UNSAFE","candidate sources; source snapshots; licensing notes; identity keys; coverage samples","source contract; field dictionary; identity audit; coverage matrix; missingness report; licensing review; leakage audit; use gate","P1","no admitted full routes-run denominator","Do not calculate YPRR/TPRR in this lane."
"Public Participation Source-Continuity Audit","participation data","Clarify participation coverage, field continuity, row grain, and route-label limits.","YELLOW_REVIEW_ONLY","nflverse participation release info; sample fields; seasons/weeks; play/player keys","continuity report; row-grain proof; missingness matrix; route-denominator boundary note","P1","field continuity and denominator ambiguity","Reinforces that primary-receiver route labels are not full routes run."
"NGS Review-Only Source Governance Hardening","NGS public aggregates","Harden NGS public aggregate governance for review/display contexts.","YELLOW_DISPLAY_ONLY","NGS public release receipts; GSIS joins; metric dictionaries; sample sizes","NGS source contract; missingness/threshold report; safe-row identity audit; display gate; data-health matrix","P1","thresholded public coverage and display-only gate","No model, source-truth, rank, or sort approval."
"PFR Advanced Review-Only Source/Family Use Gate Consolidation","PFR advanced stats general family","Consolidate PFR advanced provenance, rush/rec subsets, and QB warning gates.","YELLOW_REVIEW_ONLY","PFR public release receipts; pfr_id bridge; field dictionaries; family-specific rows","PFR use gate; subset matrix; identity audit; missingness report; QB heuristic warning gate","P1","feature signal not production-approved","Preserve rush/rec review path while keeping QB heuristic."
"PFR Snap Counts Source Admission Review","PFR snap counts","Determine whether PFR snap counts can support snap exposure proxies.","YELLOW_PARTIAL_COVERAGE","PFR snap source samples; pfr_id bridge; game/team/week keys; coverage samples","snap source contract; row-grain proof; identity audit; coverage matrix; staleness report; use gate","P2","row-grain and coverage uncertainty","Snap proxies only; snaps are not routes."
"FTN Public Subset Governance Audit","FTN public charting subset","Separate public FTN subset governance from blocked commercial FTN.","YELLOW_SOURCE_PROVENANCE_LIMITED","public FTN snapshots; field definitions; source dates; identity evidence","public subset source contract; license review; field dictionary; coverage matrix; identity audit","P2","provenance, semantics, and coverage not frozen","Commercial FTN remains blocked."
"Injury/Availability Current-Feed Status Review","injuries","Review injury/status timing, status semantics, and as-of requirements.","YELLOW_PARTIAL_COVERAGE","injury reports; report dates; status labels; GSIS joins","as-of policy; status dictionary; coverage matrix; leakage audit; missingness rules","P2","current/future leakage risk","Availability use requires point-in-time discipline."
"Depth Chart Source-Change Review","depth charts","Review depth chart source stability, timestamps, and role ambiguity.","YELLOW_SOURCE_PROVENANCE_LIMITED","depth chart source samples; timestamps; source priorities; identity keys","source-change report; staleness audit; row-grain proof; identity audit; use gate","P2","staleness and role ambiguity","Role context only until stronger gate."
"Air Yards Public Field Gate Review","air yards and receiving context","Determine which air-yards fields are source-safe for WOPR/proxy planning.","YELLOW_PARTIAL_COVERAGE","air-yards source candidates; field definitions; team denominators; identity keys","field dictionary; source receipt; coverage matrix; missingness policy; timing audit","P2","field-specific source and timing uncertainty","No WOPR scoring from this lane."
"Public Source Identity Join Hardening","name-only join method; public route surfaces; FTN public subset","Create safer identity requirements for public web surfaces and partial sources.","RED_IDENTITY_UNSAFE","candidate IDs; crosswalks; manual review evidence; ambiguous-row samples","identity decision matrix; approved/rejected join methods; unmatched/ambiguous queue; no-name-only policy","P1","name-only joins are unsafe","Supports future source-admission lanes without approving any source."
