index_id,item,evidence_paths,classification,required_treatment,blocker_or_guardrail
NR-001,CFBD review pull and caches,docs/hq/data_sources/cfbd_review_artifacts_20260624/,RETAIN_NO_RECREATE,Register metadata only; do not repull or copy raw.,source/rights/identity gate
NR-002,CFBD candidate matching queues,docs/hq/data_sources/cfbd_identity_matching_v1_20260624/,RETAIN_NO_RECREATE,Reuse assertions and queues; no new fuzzy/name matcher.,identity unresolved
NR-003,CFBD human review decision,docs/hq/rookie_outcomes/cfbd_rookie_identity_approval_v1_20260629/,RETAIN_NO_RECREATE,Preserve decisions and duplicate occurrences.,key review
NR-004,Historical entry-status snapshot,docs/hq/rookie_model/rookie_entry_status_hygiene_v1_20260630/,RETAIN_NO_RECREATE,Do not recreate absent builder; record failed lineage.,builder/input receipts missing
NR-005,Historical entry QA,docs/hq/rookie_model/rookie_entry_status_hygiene_qa_v1_20260630/,RETAIN_NO_RECREATE,Append new duplicate findings separately.,collision propagation
NR-006,Historical UDFA policy pilot,docs/hq/rookie_model/rookie_udfa_source_policy_confirmation_pilot_v1_20260630/,RETAIN_NO_RECREATE,Keep zero-confirmation outcome and policy.,no admitted source
NR-007,Current UDFA review/application,docs/hq/rookie_outcomes/current_rookie_udfa_unknown_review_packet_v1_20260630/ | docs/hq/rookie_outcomes/udfa_review_application_v1_20260630/,RETAIN_NO_RECREATE,Preserve review history; do not infer verified truth.,semantic/proof review
NR-008,Draft-capital review V1,docs/hq/rookie_outcomes/rookie_draft_capital_review_v1_20260629/,SUPERSEDED_RETAIN,Keep conflicting predecessor.,seven draft-round conflicts
NR-009,Draft-capital repair V2,docs/hq/rookie_outcomes/rookie_draft_capital_coverage_repair_v2_20260630/,RETAIN_NO_RECREATE,Reuse review evidence; no name-based promotion.,duplicate/identity caveats
NR-010,Positive drafted admission manifest,docs/hq/rookie_outcomes/rookie_pre_draft_asof_coverage_builder_v1_20260630/rookie_drafted_admission_manifest.csv,RETAIN_NO_RECREATE,"Reference existing 1,999 rows.",102 missing IDs
NR-011,Historical GSIS bridge builder,scripts/build_rookie_draft_class_gsis_bridge_v1_20260630.py,RETAIN_NO_RECREATE,Do not rerun during consolidation.,local raw receipt incomplete
NR-012,Historical GSIS bridge local output,C:/NWR_SHARED_DATA/rookie_outcomes/draft_class_gsis_bridge_v1/,RETAIN_NO_RECREATE,Register hash/locator only.,local-only
NR-013,Historical rookie label builder,scripts/build_rookie_historical_label_builder_v1_20260630.py,RETAIN_NO_RECREATE,Do not regenerate 919 labels.,formula work parked
NR-014,Historical rookie labels local output,C:/NWR_SHARED_DATA/rookie_outcomes/historical_labels_v1/,RETAIN_NO_RECREATE,Reference by hash; no raw copy yet.,receipt/retention decision
NR-015,Gate D feature policy,docs/hq/rookie_outcomes/rookie_gate_d_feature_policy_v1_20260630/,RETAIN_NO_RECREATE,Reuse policy.,all use remains review-only
NR-016,Gate E model R&D,docs/hq/rookie_outcomes/rookie_gate_e_model_rd_v1_20260630/ | C:/NWR_SHARED_DATA/rookie_outcomes/model_rd_v1/,RETAIN_PARKED,"No rerun, tuning, or activation.",formula research paused
NR-017,Gate F display V1-V5,docs/hq/rookie_outcomes/rookie_gate_f_display_artifact_v1_20260630/ | C:/NWR_SHARED_DATA/rookie_outcomes/display_artifact_v1..v5/,SUPERSEDED_RETAIN,Keep version chain; V5 latest review snapshot.,duplicate-inflated counts
NR-018,Combine measurement review artifact,C:/NWR_SHARED_DATA/rookie_outcomes/combine_measurements_v1/,RETAIN_NO_RECREATE,Reference only.,partial coverage/duplicates
NR-019,Drafted safe-upgrade policies,docs/hq/rookie_outcomes/rookie_outcomes_drafted_only_feature_policy_safe_upgrade_20260630/,RETAIN_NO_RECREATE,Reuse strict missing/source/use policies.,no production gate
NR-020,NFLVerse green rerun,docs/hq/rookie_outcomes/rookie_outcomes_drafted_only_feature_policy_nflverse_green_rerun_20260630/,RETAIN_NO_RECREATE,Reuse receipts and policy; no source promotion.,review-only
NR-021,Draft-capital Formula Data Mart sidecar,docs/hq/model/rookie_draft_capital_data_mart_join_component_test_v1_20260709/,RETAIN_PARKED,No component rerun or formula activation.,formula research paused
NR-022,Sparse-history research,docs/hq/model/sparse_history_*/ | docs/hq/master/sparse_history_*/,RETAIN_PARKED,Preserve results and stop decisions.,formula/ranking work parked
NR-023,Off-HQ ranking simulation,git:82384338db5a6f6ca73942e67ae82e469be4ddb5:docs/hq/model/review_only_position_specific_formula_overlay_ranking_simulation_v1_20260709/,LOCAL_ONLY_BLOCKED,Index existence only; do not canonicalize.,source/identity/authority conflicts
NR-024,Legacy historical replay fixtures,sample_data/historical_rookie_replay/,SUPERSEDED_RETAIN,Keep fixture tool; not evidence truth.,synthetic IDs/no receipts
NR-025,Legacy rookie outcome label service,src/services/model_v4_rookie_outcome_label_service.py,SUPERSEDED_DO_NOT_RUN,Do not recreate absent output.,restricted source/name join
NR-026,Legacy historical rookie tuning service,src/services/model_v4_historical_rookie_tuning_service.py,SUPERSEDED_DO_NOT_RUN,Do not rerun formula tuning.,formula paused/source blocked
NR-027,Restricted prospect matrix copies,LOCAL_ONLY_RESTRICTED://historical_rookie_backtest_feature_matrix/be1194/,LOCAL_ONLY_RESTRICTED,Keep locator/hash only; no raw copy.,provider rights and identity
