season,platform_team_name,canonical_team_name,owner_label,sleeper_roster_id,email_alias,confidence,source_status,notes
2026,Niners,Niners,Tim,,Niners,REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,WhoDat,WhoDat,,,WhoDat,REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Rabid Monkeys,Rabid Monkeys,,,"Rabid Monkeys",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Golden Boy Productions,Golden Boy Productions,,,"Golden Boy Productions",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Dirt Devils,Dirt Devils,,,"Dirt Devils",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Super Chargers,Super Chargers,,,"Super Chargers",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Mighty Canucks,Mighty Canucks,,,"Mighty Canucks",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Rocky Mountain High,Rocky Mountain High,,,"Rocky Mountain High",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Practice Squad,Practice Squad,,,"Practice Squad",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
2026,Precise Guesswork,Precise Guesswork,,,"Precise Guesswork",REVIEW_NEEDED,TEMPLATE,"Confirm exact Sleeper roster ID and owner/team label."
