player_id,player_name,position,feature_season,target_season,baseline_error,candidate_error,error_delta,baseline_score_or_rank_proxy,candidate_score_or_rank_proxy,actual_target,startable_bucket,top_bucket,archetype_label,short_review_note,substrate_row_id,feature_team,target_team,prior_nwr_points,prior_targets,prior_carries,prior_receptions,prior_opportunities,baseline_prediction,candidate_prediction,baseline_prediction_rank,candidate_prediction_rank,actual_position_finish,split
00-0033873,P.Mahomes,QB,2021,2022,39.0,123.09,84.09,score=316.600;rank=3,score=232.510;rank=3,355.6,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_d3bd55cb2a9a,KC,KC,316.6,0,66,0,66,316.6,232.51,3,3,2,validation
00-0034857,J.Allen,QB,2021,2022,4.633333,84.916667,80.283333,score=365.600;rank=1,score=276.050;rank=1,360.966667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_0a0263439d99,BUF,BUF,365.6,0,122,0,122,365.6,276.05,1,1,1,validation
00-0036442,J.Burrow,QB,2021,2022,34.166667,107.816667,73.65,score=267.500;rank=9,score=193.850;rank=10,301.666667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_2f0ca09a7013,CIN,CIN,267.5,0,40,0,40,267.5,193.85,9,10,4,validation
00-0029604,K.Cousins,QB,2021,2022,0.133333,70.261667,70.128333,score=250.600;rank=11,score=180.205;rank=12,250.466667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_77e6147790b2,MIN,MIN,250.6,0,29,0,29,250.6,180.20499999999998,11,12,9,validation
00-0034796,L.Jackson,QB,2023,2024,76.466667,144.236667,67.77,score=307.300;rank=3,score=239.530;rank=3,383.766667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_f2a229733d78,BAL,BAL,307.3,0,148,0,148,307.3,239.52999999999997,3,3,1,holdout
00-0033106,J.Goff,QB,2023,2024,26.2,93.94,67.74,score=243.400;rank=8,score=175.660;rank=11,269.6,QB_TOP12,QB_TOP12,qb_prior_points_and_passing_context,Regression: candidate error materially worse; inspect before shadow prep.,nwr_hts_v2_10900aeac078,DET,DET,243.4,0,32,0,32,243.4,175.66,8,11,6,holdout
00-0034857,J.Allen,QB,2022,2023,10.433333,77.396667,66.963333,score=360.967;rank=1,score=273.137;rank=1,350.533333,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_7954b11c6465,BUF,BUF,360.9666666666667,0,124,0,124,360.9666666666667,273.13666666666666,1,1,1,validation
00-0033106,J.Goff,QB,2022,2023,4.866667,71.371667,66.505,score=238.533;rank=11,score=172.028;rank=12,243.4,QB_TOP12,QB_TOP12,qb_prior_points_and_passing_context,Regression: candidate error materially worse; inspect before shadow prep.,nwr_hts_v2_f0abe0c4ff89,DET,DET,238.53333333333336,1,29,1,30,238.53333333333336,172.02833333333334,11,12,8,validation
00-0034857,J.Allen,QB,2024,2025,8.0,73.74,65.74,score=328.567;rank=2,score=246.827;rank=3,320.566667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_cc47850945b5,BUF,BUF,328.56666666666666,0,102,0,102,328.56666666666666,246.82666666666665,2,3,1,holdout
00-0036389,J.Hurts,QB,2021,2022,51.966667,116.106667,64.14,score=290.600;rank=5,score=226.460;rank=4,342.566667,QB_TOP12,QB_TOP12,elite_qb_prior_scoring_usage_proxy_drag_risk,Regression: usage proxy drags an elite prior-scoring QB below baseline; human review required.,nwr_hts_v2_b60d4477623b,PHI,PHI,290.6,1,139,0,140,290.6,226.46,5,4,3,validation
