"ingredient","final_status","canonical_use","blocked_use","production_model_use","ranking_integration"
"snap/depth role","BROAD_WINDOW_ADDITIVE_SIGNAL","review-only broad-window additive signal and role context","production input; direct ranking input; hidden sort","blocked","blocked"
"ffopportunity","PARTIAL_WINDOW_PROMISING","modern-window review-only combo context","full-history plateau claim; production input","blocked","blocked"
"NGS","PARTIAL_WINDOW_PROMISING","modern-window review-only combo context","full-history plateau claim; production input","blocked","blocked"
"age/lifecycle","ADDITIVE_SIGNAL","review-only formula-family and miss-taxonomy context","automatic boost or penalty; production ranking input","blocked","blocked"
"EPA/opportunity","INTERACTION_CONTEXT","bounded review-only interaction context","EPA-only formula branch; production input","blocked","blocked"
"receiving opportunity","INTERACTION_CONTEXT","bounded review-only interaction context","receiving-only formula branch; production input","blocked","blocked"
"injury availability","GUARDRAIL_CONTEXT","availability caveat and guardrail context","injury prediction; production input","blocked","blocked"
"rookie/draft capital","GUARDRAIL_CONTEXT","rookie and sparse-history context","production input; CFBD/prospect use without gate","blocked","blocked"
"role archetype","GUARDRAIL_CONTEXT","miss taxonomy and slice reporting","formula weight; ranking input","blocked","blocked"
"confidence cap","GUARDRAIL_CONTEXT","coverage caution context","formula feature; ranking input","blocked","blocked"
"market/ADP","BLOCKED_FOR_HISTORICAL","display-only current context until as-of proof exists","historical formula input from current-only data","blocked","blocked"
"PFR RB broken tackles","FAILED_NO_INCREMENTAL_SIGNAL","descriptive RB slice context only","PFR-specific formula branch; broad PFR promotion","blocked","blocked"
"team offensive environment","NO_MATERIAL_INCREMENTAL_SIGNAL_WITH_TEAM_CHANGE_CAVEAT","prior-team review-only context only","production input; target-team projection; ranking input","blocked","blocked"
