action,initial_state,baseline_callback,source_callback,callback_arguments,state_keys_changed,baseline_result,source_result,equivalence
assign_one_player,"assignments=[]",assign_player_to_pick,assign_player_to_pick,"state; same board; same pick_frame; same player_key; overall_pick=1",assignments,"Player 1 at 1.01; current pick 2","Player 1 at 1.01; current pick 2",PASS
auto_advance,"pick 1 assigned",current_pick_number,current_pick_number,"same pick_frame; same workflow state",none,"2","2",PASS
undo_assignment,"one assignment",undo_last_pick,undo_last_pick,"same workflow state",assignments,"assignments=[]; Undid Player 1 from 1.01","assignments=[]; Undid Player 1 from 1.01",PASS
reassign_player,"assignments=[] after undo",assign_player_to_pick,assign_player_to_pick,"same board; same player_key; overall_pick=1",assignments,"same assignment restored","same assignment restored",PASS
remove_assignment,"Player 1 at pick 1",remove_pick_assignment,remove_pick_assignment,"same state; overall_pick=1",assignments,"assignments=[]; Removed the selected pick assignment","assignments=[]; Removed the selected pick assignment",PASS
toggle_drafted_visibility,"one assignment",available_board_frame_or_with_workflow_columns,available_board_frame_or_with_workflow_columns,"same board and state; existing show_drafted flag",none,"2 hidden rows available; 3 rows with context","2 hidden rows available; 3 rows with context",PASS
complete_small_sequence,"assignments=[]",assign_player_to_pick_three_times,assign_player_to_pick_three_times,"same players and picks 1 through 3",assignments,"3 assignments; current pick null","3 assignments; current pick null",PASS
persist_and_reload,"one assignment",save_runtime_state_then_load_runtime_state_with_status,save_runtime_state_then_load_runtime_state_with_status,"same mode draft_id and tmp runtime root",runtime_file_and_runtime_metadata,"round trip restored workflow","round trip restored workflow",PASS
reset_mock_session,"mock assignments present",reset_mock_or_reset_runtime_state_if_confirmed,reset_mock_or_reset_runtime_state_if_confirmed,"same confirmation and selected mock scope",mock_assignments_and_mock_reset_event,"available pool restored and first pick current","available pool restored and first pick current",PASS
live_mock_isolation,"separate live and mock scopes",runtime_paths_and_load_save_services,runtime_paths_and_load_save_services,"mode=live versus mode=mock; distinct draft_id/session_key",selected_scope_only,"live actions absent from mock and mock actions absent from live","live actions absent from mock and mock actions absent from live",PASS
filter_players,"existing search/position/tier/asset/manual/toggle state",available_board_frame_and_existing_predicates,available_board_frame_and_existing_predicates,"same keys values and predicate order",none,"same filtered frame","same filtered frame",PASS
sort_players,"existing view and sort selection",sort_workflow_frame,sort_workflow_frame,"same frame sort_by and ascending",none,"same ordered frame","same ordered frame",PASS
mock_create_rename_duplicate_delete,"saved mock manifest state",existing_mock_draft_room_service_callbacks,existing_mock_draft_room_service_callbacks,"same draft_id names confirmation and active-session key",mock_manifest_and_active_mock_key,"same session result","same session result",PASS
