player,position,nfl_team,lifecycle,dynasty_asset_value,value_basis,scored_component_weight,missing_component_weight,missing_value_components,confidence_label,missing_sections,not_applicable_sections,root_cause,action_taken,review_status
Lamar Jackson,QB,BAL,established_veteran,57.318,complete_applicable_evidence_weighted_sum,76.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Jakobi Meyers,WR,JAX,established_veteran,42.829,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
David Montgomery,RB,HOU,established_veteran,52.152,complete_applicable_evidence_weighted_sum,92.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Brandon Aiyuk,WR,SF,established_veteran,28.721,evidence_adjusted_missing_not_zero,80.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Jake Ferguson,TE,DAL,established_veteran,29.44,complete_applicable_evidence_weighted_sum,84.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Wan'Dale Robinson,WR,TEN,established_veteran,37.604,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Jerry Jeudy,WR,CLE,established_veteran,45.807,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Romeo Doubs,WR,NE,established_veteran,34.606,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
T.J. Hockenson,TE,MIN,established_veteran,30.262,complete_applicable_evidence_weighted_sum,84.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Daniel Jones,QB,IND,established_veteran,38.086,complete_applicable_evidence_weighted_sum,76.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Devin Singletary,RB,NYG,established_veteran,26.753,complete_applicable_evidence_weighted_sum,92.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Christian McCaffrey,RB,SF,established_veteran,32.781,complete_applicable_evidence_weighted_sum,92.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Kyren Williams,RB,LA,established_veteran,70.583,complete_applicable_evidence_weighted_sum,92.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Breece Hall,RB,NYJ,established_veteran,60.695,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Saquon Barkley,RB,PHI,established_veteran,78.234,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Jonathan Taylor,RB,IND,established_veteran,71.912,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Josh Jacobs,RB,GB,established_veteran,72.006,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
James Cook,RB,BUF,established_veteran,63.649,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Kenneth Walker III,RB,SEA,established_veteran,52.543,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Derrick Henry,RB,BAL,established_veteran,73.223,evidence_adjusted_missing_not_zero,82.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Ja'Marr Chase,WR,CIN,established_veteran,67.083,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Justin Jefferson,WR,MIN,established_veteran,56.63,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Amon-Ra St. Brown,WR,DET,established_veteran,57.928,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
CeeDee Lamb,WR,DAL,established_veteran,50.511,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Tee Higgins,WR,CIN,established_veteran,47.274,complete_applicable_evidence_weighted_sum,90.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
Nico Collins,WR,HOU,established_veteran,49.186,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Garrett Wilson,WR,NYJ,established_veteran,55.909,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Drake London,WR,ATL,established_veteran,60.09,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
George Pickens,WR,DAL,established_veteran,44.751,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Chris Olave,WR,NO,established_veteran,30.378,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Jaylen Waddle,WR,MIA,established_veteran,41.195,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Keenan Allen,WR,LAC,established_veteran,40.925,evidence_adjusted_missing_not_zero,80.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Davante Adams,WR,LA,established_veteran,50.456,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Tyreek Hill,WR,MIA,established_veteran,46.576,evidence_adjusted_missing_not_zero,80.0,10.0,projection,weak,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Mike Evans,WR,TB,established_veteran,48.135,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Stefon Diggs,WR,NE,established_veteran,31.869,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Cooper Kupp,WR,SEA,established_veteran,37.188,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Terry McLaurin,WR,WAS,established_veteran,54.432,evidence_adjusted_missing_not_zero,80.0,10.0,projection,review,projection,young_player_prior,truth_set_projection_coverage_gap,Missing projection excluded from established-veteran value denominator; confidence remains review/weak.,review_only
Josh Allen,QB,BUF,established_veteran,59.34,complete_applicable_evidence_weighted_sum,76.0,0.0,,usable,,young_player_prior,not_applicable_data_no_longer_counted_as_missing,Not-applicable young-player prior is displayed separately from missing data.,review_only
