feature_family,source_artifact,current_display_status,current_safe_rows,gated_rows,outcome_policy_classification,rookie_policy_classification,allowed_for_display_now,allowed_for_model_now,allowed_for_training_now,allowed_for_source_truth_now,leakage_risk,missingness_rule,required_next_gate,notes
roster status,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,240,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,medium,Not enough information; not clean roster certainty,Outcome/Rookie feature policy gate before any model use,Current roster context can be shown for safe rows but cannot project availability or rank.
weekly roster status,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,240,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,medium,Not enough information; not clean roster certainty,As-of/leakage gate before any model use,Weekly roster context is display/review only and needs anchor timing before replay.
injury report status,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,76,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,high,Not enough information; not healthy or clean,No-medical-projection source policy gate,Review-only caveat; no injury risk score or comeback/recovery projection.
practice status,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,220,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,high,Not enough information; not healthy or clean,No-medical-projection source policy gate,Practice status can explain context but cannot change probabilities.
schedule next game/opponent/bye context,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,240,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,high,Not enough information; not easy/tough schedule signal,NEEDS_LEAKAGE_GATE,Schedule is now populated for safe rows but must stay display-only and not become a strength-of-schedule model input without an as-of gate.
depth chart role,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,240,13,DISPLAY_ONLY_SAFE_NOW,NEEDS_LEAKAGE_GATE,true,false,false,false,high,Not enough information; not no-role,NEEDS_HISTORICAL_REPLAY_GATE,Current role context only; not a pre-draft feature and not UDFA proof.
snap recency,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,223,13,DISPLAY_ONLY_SAFE_NOW,NEEDS_HISTORICAL_REPLAY_GATE,true,false,false,false,high,Not enough information; not zero snaps,NEEDS_HISTORICAL_REPLAY_GATE,Future production/usage leakage risk; model use requires anchor-aligned replay.
last active season/week,nflverse_player_context_display_artifact.csv,SAFE_NOW_DISPLAY_ONLY,240,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,medium,Not enough information; not inactive by default,NEEDS_LEAKAGE_GATE,Factual material-activity context; not a health state.
draft capital,nflverse_player_context_display_artifact.csv and rookie drafted-only gate contract,SAFE_NOW_REVIEW_DISPLAY,75,13,DISPLAY_ONLY_SAFE_NOW,REVIEW_ONLY_CANDIDATE_LATER,true,false,false,false,medium,Missing draft is Not enough information; not UDFA proof,Rookie Gate E/F/G policy gate,Positive draft evidence can support drafted-only review admission only.
combine,nflverse refresh-health and rookie policy docs,SAFE_REVIEW_ONLY,Not enough information,13,REVIEW_ONLY_CANDIDATE_LATER,REVIEW_ONLY_CANDIDATE_LATER,false,false,false,false,medium,Not enough information; not zero athleticism,Rookie feature policy and schema review gate,Useful review candidate; no display artifact/model use approved here.
