prior_state,latest_evidence,latest_display,latest_successful_relationship,last_known_good_relationship,retained_data_display,fail_closed_result
"none","explicit successful refresh plus CURRENT/FRESH/GREEN","REFRESH_SUCCESS","latest receipt","blank","CURRENT_RETAINED_DATA","no"
"none","explicit successful refresh plus STALE","STALE_RETAINED_DATA","latest receipt","blank","STALE_RETAINED_DATA","no"
"none","mixed successful and incomplete results","PARTIAL_SUCCESS","per successful source","per source only if strict rule passes","per-source explicit states","no"
"validated matching success","latest failed plus explicit stale retained evidence","REFRESH_FAILED","prior receipt","prior receipt","STALE_RETAINED_DATA","no"
"validated matching success","latest failed without retained evidence","REFRESH_FAILED","prior receipt","blank","NOT_ENOUGH_INFORMATION","yes"
"none","latest failed","REFRESH_FAILED","blank","blank","NOT_ENOUGH_INFORMATION","yes"
"any","latest skipped","SOURCE_SKIPPED","prior success may remain historical","only with explicit retained evidence","explicit or NOT_ENOUGH_INFORMATION","yes when ambiguous"
"any","latest unavailable/not configured","SOURCE_UNAVAILABLE","prior success may remain historical","only with explicit retained evidence","explicit or NOT_ENOUGH_INFORMATION","yes when ambiguous"
"any","latest policy/manual gated","SOURCE_GATED","prior success may remain historical","only with explicit retained evidence","explicit or NOT_ENOUGH_INFORMATION","yes when ambiguous"
"any","unresolved/identity/source exception","NOT_ENOUGH_INFORMATION","not inferred","not inferred","NOT_ENOUGH_INFORMATION","yes"
"validated backup","latest missing","NOT_ENOUGH_INFORMATION","backup labeled prior only","not established by backup","NOT_ENOUGH_INFORMATION","yes"
"validated backup","latest corrupt/truncated/oversized","NOT_ENOUGH_INFORMATION","backup labeled prior only","not established by backup","NOT_ENOUGH_INFORMATION","yes"
"validated backup","latest unsupported schema","NOT_ENOUGH_INFORMATION","backup labeled prior only","not established by backup","NOT_ENOUGH_INFORMATION","yes"
"corrupt backup","latest corrupt","NOT_ENOUGH_INFORMATION","blank","blank","NOT_ENOUGH_INFORMATION","yes"
