issue_id,source_report,issue,classification,supported_patch,patch_applied,expected_effect,follow_up
phase3f_wr_elite_tier,PHASE_3_SANITY_FIXTURE_DRY_RUN,Elite WR tier fixture has JSN/Puka/CeeDee below the review threshold.,data issue / missing source,no,no formula change,Keep as review-only; do not tune WR weights until source/receipt evidence proves imbalance.,Inspect WR production usage projection and missing route evidence in Phase 4.
phase3f_jsn_top_tier,PHASE_3_SANITY_FIXTURE_DRY_RUN,JSN is just below the top-tier threshold.,data issue / missing source,no,no formula change,Keep as review-only; threshold disagreement is not enough to change weights.,Inspect JSN receipts and route/projection gaps before formula work.
phase3f_puka_core,PHASE_3_SANITY_FIXTURE_DRY_RUN,Puka is below the core-tier threshold.,data issue / missing source,no,no formula change,Keep as review-only; no receipt proves a formula bug yet.,Inspect Puka production/projection/route evidence before formula work.
phase3g_rb_wr_balance,PHASE_3_NAMED_PLAYER_REVIEW,Named RB/WR balance still shows some elite WRs below the v4 core threshold.,data issue / missing source,no,no formula change,No ranking effect; this remains a review finding.,Use receipt/source audit before any WR/RB formula adjustment.
phase3g_young_bridge,PHASE_3_NAMED_PLAYER_REVIEW,Luther Burden and Kaleb Johnson are weak-confidence rows due missing NFL production/usage/snap evidence.,missing source,no,no formula change,No ranking effect; weak confidence is expected because NFL evidence is unavailable.,Keep young-player prior secondary; do not boost rookies blindly.
phase3g_negative_driver_language,PHASE_3_NAMED_PLAYER_REVIEW,Named-player report labeled positive caution rows as top negative drivers when no component had a negative contribution.,receipt issue,yes,clarified top_negative_receipt_drivers output to say no negative component contributions and list caution/lowest rows,Report is less misleading; no player value changes.,Keep full receipts review-only and inspect actual contributions before formula work.
phase3g_qb_suppression,PHASE_3_NAMED_PLAYER_REVIEW,Lamar remains below the top named RB/WR benchmark in the 1QB preview.,acceptable model disagreement,no,no formula change,No action.,Continue monitoring QB controls in fixture dry runs.
phase3g_te_suppression,PHASE_3_NAMED_PLAYER_REVIEW,Brock Bowers remains below the top named RB/WR benchmark in no-TE-premium preview.,acceptable model disagreement,no,no formula change,No action.,Continue monitoring TE controls in fixture dry runs.
phase3g_age_veteran,PHASE_3_NAMED_PLAYER_REVIEW,Keenan Allen and CMC age/dropoff sanity is contained.,acceptable model disagreement,no,no formula change,No action.,Continue monitoring age/dropoff receipts.
phase3g_market_league_rank,PHASE_3_NAMED_PLAYER_REVIEW,No market/trade/liquidity/league-rank components appear in v4 private receipts.,acceptable model disagreement,no,no formula change,No action.,Keep separation tests active.
