check_area,current_status,evidence_found,metric_or_count,readiness_level,gate_decision,caveat
exact_current_board_rebuild,proven_current_only,"Current board hash exactly reproduced; checkpoint_review_score and nwr_dynasty_score reconciled","hash=263cc8aa050c4670bf5ed22701d7b04801d143480c5630b98e00dd08d2968ce4; field_diffs=0",current_board_rebuild_ready_only,allow_as_context_only,Does not prove historical accuracy or tournament readiness
exact_model_v4_historical_replay,blocked,"Historical component receipt backfill says exact replay is still blocked","exact replay rows=0; missing checkpoint/position/lifecycle/role/confidence/overlay receipts",not_ready,block_formula_tournaments,Formula Gauntlet must not treat Model v4 as historically replayed
historical_component_receipts,partial_review_only,"Review-only partial receipts backfilled from lagged V3 factual overlap panel","42,933 receipt rows; 2013-2025; QB/RB/WR/TE",component_signal_ingestion_only,allow_evidence_ingestion,Partial proxy/source-availability receipts only
partial_replay_benchmark,mixed_signal_review_only,"Partial benchmark tested allowed component-source signals without inventing a score","5,518 rows; 83 allowed signals; leakage errors=0",component_signal_ingestion_only,allow_guardrail_design,Not exact Model v4 accuracy
pyf_baseline,required_anchor,"Best non-PYF signal did not beat PYF in any position","QB 0.683<0.712; RB 0.628<0.633; WR 0.683<0.691; TE 0.691<0.701",anchor_required,require_for_future_comparison,Candidates that fail PYF remain review-only evidence only
label_quality,review_only_usable,"Labels available for partial benchmark","next_nwr_points; next_nwr_ppg; next_position_finish; startable_hit; startable_bucket",component_signal_ingestion_only,allow_component_tests,Labels do not solve missing exact formula receipts
input_quality,review_only_partial,"All benchmarked input receipts are partial_replay_proxy_only/review_only","83 input signals; no model-use approval",component_signal_ingestion_only,block_model_use,No source promotion
sparse_history_risk,material_blocker,"Partial replay miss-pattern packet identified sparse-history concentration","1,453 rows; 26.3%",guardrail_design_needed,require_sparse_history_gate,Formula tournaments would overfit without this gate
prior_production_decline_risk,material_blocker,"Partial replay miss-pattern packet identified decline false positives","572 rows; 10.4%",guardrail_design_needed,require_decline_false_positive_gate,PYF-heavy signals need decline controls before tournament use
full_formula_tournaments,not_ready,"No exact replay and no non-PYF component beat PYF","0 exact replay rows; no score invented",not_ready,blocked,Do not run full Formula Gauntlet
position_scoped_tournaments,not_ready,"Position rows exist but exact score chain and source approvals are missing","QB 754; RB 1429; WR 2124; TE 1211 benchmark rows",not_ready,blocked,Do not run candidate formulas by position yet
component_signal_ingestion,ready_review_only,"Enough evidence exists to ingest signal summaries and blockers","partial benchmark plus source/use gates",ready,allowed,No weights or formula candidates
guardrail_design,ready_review_only,"Failure modes and PYF requirements are clear","PYF anchor; sparse-history; decline false positives; leakage=0 in partial benchmark",ready,allowed,Guardrails only
