"lane_or_area","recommendation","reason","next_action"
"Data Hygiene Operating Charter","PARK_FOR_BATCH_CANONICALIZATION","Push-ready but held to avoid remote churn.","Batch canonicalize after Master HQ audit."
"Model v4 Historical Receipt Gap Plan","PARK_FOR_BATCH_CANONICALIZATION","Push-ready but held to avoid remote churn.","Batch canonicalize after Master HQ audit."
"Data Hygiene Label/Identity/Source Closure","PARK_FOR_BATCH_CANONICALIZATION","Clears component tests only; important gate packet not canonical.","Add to batch if accepted."
"Formula Gauntlet Data Readiness Gate","PARK_FOR_BATCH_CANONICALIZATION","Readiness decision is local-only.","Add to batch if accepted."
"Formula Gauntlet No-Code Scaffold","PARK_FOR_BATCH_CANONICALIZATION","Useful design contract but local-only.","Add to batch if accepted."
"Formula Gauntlet tournament execution","BLOCKED","Only component signal tests are cleared; no tournament approval.","Do not run."
"100-candidate Formula Gauntlet","BLOCKED","Data insufficient and exact replay blocked.","Do not run overnight."
"Champion refinement","BLOCKED","No approved champion or tournament output exists.","Do not run."
"Ranking integration","BLOCKED","No approved formula, benchmark, source gates, or rollback plan.","Do not change rankings."
"Route Recovery broad searching","STOP_NOW_CLEAN","Final closeout says no admitted route denominator and no broad search continuation.","Reopen only on provider/license/source event."
"Route provider response handling","CAN_CONTINUE_ONE_SMALL_STEP","Only if user provides a provider response or license evidence.","Open separate source-admission or response review lane."
"Model v4 Historical Receipt Locator and Ledger","CAN_CONTINUE_ONE_SMALL_STEP","Highest-priority Data Hygiene target; safe as ledger-only.","Run overnight if desired."
"PFR RB broken tackle design","STOP_NOW_CLEAN","Design is canonical and review-only; execution not cleared by system audit.","Do not run Gauntlet yet."
"PFR RB broken tackle execution readiness local lane","NEEDS_MASTER_REVIEW","Local lane exists but not inventoried fully in canonical audit.","Inspect before use."
"HQ1 governance","STOP_NOW_CLEAN","Closed governance foundation is canonical.","Use as standard; do not reopen."
"HQ2 / Formula Arena handoff","PARK_FOR_CONTEXT","Closed review-only challenger context; not a current execution lane.","Use as source trace only."
"Model v4 current board exact rebuild","PARK_FOR_BATCH_CANONICALIZATION","Important local evidence but not production approval.","Batch canonicalize as review evidence."
"Model v4 app-visible label implementation","NEEDS_MASTER_REVIEW","Implementation lane may touch app-visible wording; requires separate review.","Do not batch blindly with docs-only packets."
"Production Rankings Backtest V1","PARK_FOR_BATCH_CANONICALIZATION","Cold-water accuracy evidence important.","Canonicalize as review evidence."
"Dirty primary DynastyProcess docs","STOP_NOW_CLEAN","Unrelated local dirty state.","Do not touch."
