component_id,implementation_status,runtime_wiring,caveat,record_version
alias_registry_schema,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
artifact_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
authority_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
dataset_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
duplicate_conflict_relationships,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
evidence_observation_schema,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
evidence_state_dictionary,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
identity_assertion_schema,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
lifecycle_dictionary,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
no_recreate_relationships,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
player_registry_schema,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
read_only_loader_and_validator,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
receipt_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
sanitized_locator_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
source_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
source_use_decision_registry,IMPLEMENTED_METADATA_ONLY,NONE,"No player truth, source promotion, identity resolution, or production authority.",1.0.0
