phase,priority,task_id,title,source_agents,safe_now,blocked_by,target_area,recommended_action,acceptance_criteria,suggested_tests,do_not_touch
0_audit_intake_and_safety,P0,INTAKE-01,Archive six agent audit handoffs with manifest only,All six packets,YES,None,docs/hq/audits or docs/hq/review,"Store the consolidated HQ synthesis and source manifest in a review/audit folder. Treat raw agent zips as evidence only, not current Codex instructions.","All six uploaded zips are represented by filename, sha256, file count, and source inventory. No ranking/model/source-truth files are changed.",Run inventory/checksum validation; git diff confirms docs/test-only changes unless a later implementation lane is opened.,"Frozen board, final_board_rank, Dynasty Rank, tiers, latest_candidate/latest_approved, pinned snapshot, model/rank logic."
0_audit_intake_and_safety,P0,INTAKE-02,Flag malformed audit CSVs instead of blindly importing,Whole Project Agent 1; Whole Project Agent 2,YES,None,audit validation,Record that several whole-project CSVs have delimiter drift/unquoted commas. Use Markdown reports and consolidated HQ action matrix as authoritative for implementation planning; do not directly ingest malformed CSVs into repo dashboards without repair/validation.,Validation notes identify the malformed files; any imported CSV must parse with consistent field counts or be repaired in a new generated file with provenance.,csv.reader field-count test over audit CSVs; fail if malformed source CSV is used as app data without repair.,Do not rewrite original source zips; preserve as received.
0_audit_intake_and_safety,P0,GUARD-01,Review-only flag validation across CFBD outputs,CFBD Agent 1; CFBD Agent 2; CFBD Agent 3,YES,None,tests/evidence registry,"Add or extend tests ensuring CFBD agent outputs keep approved_by_human=false where present, model_use_allowed=false, training_allowed=false, review_only=true.","Agent1 rows=71, Agent2 rows=15, Agent3 final rows=15. No row has model/training/human approval true. Final Agent3 counts APPROVE=4, KEEP_BLOCKED=8, NEEDS_MORE_INFO=3.",pytest validation reading review-only CSVs; fail closed on true flags or unexpected decisions.,"No CFBD field becomes model input, source truth, rank logic, hidden sort, or draft-room logic."
0_audit_intake_and_safety,P0,GUARD-02,Blocked-field scanner for model/rank features,Whole Project Agent 2; Engineering Agent 3,YES,None,model/evidence guardrails,Add reusable static/data scanner for blocked tokens in model features and rank logic: market/adp/ecr/projection/vendor/DynastyProcess/value/true_routes/tprr/yprr/outcome-display fields.,"Scanner fails if blocked fields appear in feature lists, hidden sorts, model input manifests, training labels, or rank logic. Display-only UI files are allowed with explicit labels.",Blocked-token scanner test; model feature manifest test; app display labels test.,Do not promote DynastyProcess/ADP/market/Outcome/CFBD/NFL usage/vendor fields to model input.
0_audit_intake_and_safety,P0,GUARD-03,Missingness propagation tests,Whole Project Agent 2; App Agent 1,YES,None,data/model/display safety,"Assert missing age/status/injury/outcome/identity data propagates as Not enough information with explicit missingness flags; never coerces to zero, clean, or average.",Missing fields display as Not enough information and/or confidence-limited; feature pipeline creates companion missingness flags; tests cover age gaps and missing outcome rows.,"Unit tests for missing age, status, injury, outcome, player_id; UI tests that inactive filters hide when data absent.","Do not fabricate ages, IDs, outcomes, or production."
1_live_draft_v2_reliability,P0,LDV2-01,Atomic persistent runtime draft state with backups,App Agent 1; Engineering Agent 3,YES,None if runtime-only,Live Draft Room/runtime service,"Implement atomic writes, timestamped backups/checkpoints, corruption detection, safe recovery, and no-silent-reset behavior for runtime draft state.",Drafted/picked state survives reload; corrupt/missing state triggers warning and restore choices instead of empty reset; every write has a recoverable checkpoint; runtime state is explicitly not source truth/model input.,Corrupt JSON test; missing state test; reload persistence test; export/import round trip; checkpoint restore test.,No rank/model/source-truth mutation. Runtime state must remain separate from frozen/rank artifacts.
1_live_draft_v2_reliability,P0,LDV2-02,Draft event log schema and append-only audit trail,App Agent 1; Engineering Agent 3,YES,None if runtime-only,Live Draft Room/Post-Draft Mode,"Create a structured draft_event_log for picks, undos, trades, pick ownership changes, imports, restores, and manual corrections.","Each event has event_id, timestamp, draft_id, actor/source, event_type, payload, before/after hashes/checkpoints. Event log can rebuild current runtime state or explain divergence.",Event replay test; undo/remove/reassign test; backup hash continuity test; malformed event rejection test.,Event log is audit/runtime only; no model training or rank updates.
1_live_draft_v2_reliability,P0,LDV2-03,In-draft trade and pick ownership system,App Agent 1; Engineering Agent 3,YES,None if manual/runtime-only,Trading Lab/Live Draft Room,"Add manual trade event builder for assets given/received, future picks, current picks, multi-team support, pick owner changes, and draft-board update preview.",User can record a trade like 1.04 for 2028 1st + 2.03; pick ownership updates in draft board; event is reversible/auditable; no hidden value/rank changes occur.,Future-pick trade test; current-pick ownership change test; multi-team trade test; undo trade test; post-draft recap includes trade events.,No trade calculator as model truth; market sanity remains display-only.
1_live_draft_v2_reliability,P0,LDV2-04,Save/load/export/import with preview and confirmation,App Agent 1; Engineering Agent 3,YES,None if runtime-only,Live Draft Room/Post-Draft Mode,"Add user-controlled save/load/export/import flow with preview, confirmation checkbox, backup-before-import, and import validation.",Import cannot overwrite current state without preview + confirmation; bad imports fail safely; export/import round trip returns equivalent state; prior state can be restored.,Import preview test; bad schema test; backup-before-import test; export/import roundtrip test.,No protected artifacts overwritten.
1_live_draft_v2_reliability,P1,LDV2-05,Pick-order fallback/upload/edit,App Agent 1,YES,Pick-order schema confirmation if unknown,Live Draft Room,"If pick-order or NWR pick window files are missing, keep board visible with limited-accuracy banner and allow upload/edit/select fallback.",Live Draft Room renders even when pick props are missing; user can upload or edit pick order; warning is clear; fallback cannot change ranks.,Missing pick props smoke; upload CSV; edit owner; validation rejects malformed pick file.,No default sort/rank/model changes.
1_live_draft_v2_reliability,P1,LDV2-06,Post-Draft Mode audit recap,App Agent 1,YES,After event log exists,Post-Draft Mode,"Build post-draft recap from event log: picks made, trades, final roster/result, unfilled holes, lessons learned, and offseason action list.",Post-draft recap reads runtime event log; displays audit-only labels; does not evaluate/model-retrain automatically.,Post-draft recap fixture; trade/pick event display; missing event log gracefully handled.,No model audit auto-promotion; no source-truth rewrite.
2_app_ux_simplification,P1,UX-01,Player Compare on-the-clock summary view,App Agent 1,YES,After/parallel to LDV2 basics,Player Compare,"Default to concise summary: safer, upside, fit, scoring, timing, main risk, lean; hide advanced tabs behind Advanced toggle.",User can compare two players in one screen without tab-hopping; warnings remain but move to tooltips/expanders; no ranking logic changes.,Selection/summary smoke; advanced toggle; labels for review-only/display-only.,No candidate/model/rank mutation.
2_app_ux_simplification,P1,UX-02,Trading Lab guided workflow,App Agent 1,YES,Tie into LDV2 trade event schema,Trading Lab,"Convert Trading Lab to a stepper: select give/get, review context, optionally record event, export/undo. Add templates for common structures but no final model advice.",A novice can build a trade without reading long captions; display-only market block optional; trade event can be saved to event log.,Give/get builder tests; event save/undo; display-only labels.,No hidden trade value engine from market/ADP.
2_app_ux_simplification,P1,UX-03,Terminology standardization and inactive-filter hiding,App Agent 1; Model Agent 2,YES,None,Global app copy/rankings/cheat sheets,"Standardize labels: Frozen Baseline (checkpoint), Final Board Rank, Candidate (Review-Only), Display-Only ADP. Hide inactive filters like age when numeric data is unavailable.",No source-truth language for frozen board; no nonfunctional age filter when data absent; display-only scrape date shown for market baseline.,Text grep tests; UI smoke; age-filter conditional test.,No underlying ranking/sort changes.
2_app_ux_simplification,P1,UX-04,Refresh/Data Health summary and confirmation UX,App Agent 1; Engineering Agent 3,YES,None for UI copy; controller extraction separate,Refresh Data/Settings Data Health,"Add top-level status cards, group automatic/manual/blocked sources, and require confirmation for heavy refresh modes.",User can tell readiness in under 10 seconds; Quick vs Full refresh clearly distinguished; manual/blocked sources are not scraped.,Page smoke; confirmation prompt; registry status grouping.,No generic Gmail/vendor/RotoWire scrape.
3_data_evidence_governance,P0,DATA-01,CFBD Agent 3 final synthesis import as review-only evidence,CFBD Agent 3,YES,None,docs/hq/review/cfbd_agent3_final_synthesis_20260626,Store final Agent3 files and validation; expose only in hidden/read-only evidence review page if desired.,"Final counts preserved: APPROVE=4, KEEP_BLOCKED=8, NEEDS_MORE_INFO=3. approved_by_human=false/model_use_allowed=false/training_allowed=false/review_only=true. No app/model/rank wiring.",CSV flag/count test; evidence page label test if displayed.,No CFBD promotion to model input or source truth.
