draft_year,prospect_id,nfl_team,nfl_draft_pick,rookie_year_lve_ppg,year2_lve_ppg,year3_lve_ppg,best_lve_ppg,top24_seasons,hit_label,outcome_notes
2022,breece_hall_2022,NYJ,36,11.1,12.6,12.3,12.6,2,hit_with_injury_context,Outcome label is post-rank review only.
2022,garrett_wilson_2022,NYJ,10,10.7,10.4,11.6,11.6,2,hit,Outcome label is post-rank review only.
2022,drake_london_2022,ATL,8,9.0,10.2,12.0,12.0,2,hit,Outcome label is post-rank review only.
2022,kenneth_walker_2022,SEA,41,10.3,11.5,12.0,12.0,2,hit,Outcome label is post-rank review only.
2022,chris_olave_2022,NO,11,9.8,10.1,8.8,10.1,1,useful_hold,Outcome label is post-rank review only.
2022,jameson_williams_2022,DET,12,1.8,5.9,9.3,9.3,0,slow_start,Outcome label is post-rank review only.
2022,treylon_burks_2022,TEN,18,5.4,3.6,1.0,5.4,0,miss,Outcome label is post-rank review only.
2022,george_pickens_2022,PIT,52,8.1,10.5,12.4,12.4,2,hit,Outcome label is post-rank review only.
2022,christian_watson_2022,GB,34,8.2,7.0,6.5,8.2,0,volatile,Outcome label is post-rank review only.
2022,jahan_dotson_2022,WAS,16,7.4,5.8,4.2,7.4,0,miss,Outcome label is post-rank review only.
2022,skyy_moore_2022,KC,54,1.5,2.0,0.6,2.0,0,miss,Outcome label is post-rank review only.
2022,rachaad_white_2022,TB,91,5.8,11.5,12.0,12.0,2,hit,Outcome label is post-rank review only.
2022,dameon_pierce_2022,HOU,107,10.0,3.5,1.9,10.0,1,short_term_hit,Outcome label is post-rank review only.
2022,brian_robinson_2022,WAS,98,6.4,8.2,7.8,8.2,0,useful_depth,Outcome label is post-rank review only.
2022,tyler_allgeier_2022,ATL,151,8.1,4.7,6.9,8.1,0,useful_depth,Outcome label is post-rank review only.
2022,isaiah_spiller_2022,LAC,123,0.8,0.6,0.0,0.8,0,miss,Outcome label is post-rank review only.
2022,trey_mcbride_2022,ARI,55,3.7,7.7,9.8,9.8,1,delayed_te_hit,Outcome label is post-rank review only.
2022,kenny_pickett_2022,PIT,20,8.8,9.2,0.9,9.2,0,replaceable_qb,Outcome label is post-rank review only.
2022,malik_willis_2022,TEN,86,1.9,0.1,3.7,3.7,0,miss,Outcome label is post-rank review only.
2022,desmond_ridder_2022,ATL,74,0.5,9.4,1.4,9.4,0,replaceable_qb,Outcome label is post-rank review only.
2023,bijan_robinson_2023,ATL,8,11.5,14.3,,14.3,2,hit,Outcome label is post-rank review only.
2023,jahmyr_gibbs_2023,DET,12,12.1,15.8,,15.8,2,hit,Outcome label is post-rank review only.
2023,jaxon_smith_njigba_2023,SEA,20,5.9,11.8,,11.8,1,ascending_hit,Outcome label is post-rank review only.
2023,zay_flowers_2023,BAL,22,8.5,10.0,,10.0,1,useful_hit,Outcome label is post-rank review only.
2023,jordan_addison_2023,MIN,23,10.3,9.2,,10.3,1,useful_hit,Outcome label is post-rank review only.
2023,anthony_richardson_2023,IND,4,17.0,12.1,,17.0,1,volatile_qb_hit,Outcome label is post-rank review only.
2023,cj_stroud_2023,HOU,2,15.0,13.9,,15.0,1,qb_hit_but_1qb_context,Outcome label is post-rank review only.
2023,bryce_young_2023,CAR,1,8.6,12.3,,12.3,0,developmental_qb,Outcome label is post-rank review only.
2023,devon_achane_2023,MIA,84,12.9,12.5,,12.9,2,explosive_hit,Outcome label is post-rank review only.
2023,zach_charbonnet_2023,SEA,52,4.8,7.2,,7.2,0,role_limited,Outcome label is post-rank review only.
2023,quentin_johnston_2023,LAC,21,3.0,7.0,,7.0,0,miss_to_date,Outcome label is post-rank review only.
2023,rashee_rice_2023,KC,55,8.0,0.0,,8.0,1,hit_with_offfield_context,Outcome label is post-rank review only.
2023,tank_dell_2023,HOU,69,9.8,8.4,,9.8,0,useful_hit,Outcome label is post-rank review only.
2023,jayden_reed_2023,GB,50,9.2,10.8,,10.8,1,useful_hit,Outcome label is post-rank review only.
2023,dalton_kincaid_2023,BUF,25,5.7,6.9,,6.9,0,useful_te,Outcome label is post-rank review only.
2023,michael_mayer_2023,LV,35,2.7,2.4,,2.7,0,miss_to_date,Outcome label is post-rank review only.
2023,kendre_miller_2023,NO,71,2.3,2.1,,2.3,0,miss_to_date,Outcome label is post-rank review only.
2023,jonathan_mingo_2023,CAR,39,3.4,1.0,,3.4,0,miss_to_date,Outcome label is post-rank review only.
2023,roshon_johnson_2023,CHI,115,4.4,5.5,,5.5,0,depth,Outcome label is post-rank review only.
2023,will_levis_2023,TEN,33,8.6,9.6,,9.6,0,replaceable_qb,Outcome label is post-rank review only.
2024,marvin_harrison_jr_2024,ARI,4,9.7,,,9.7,1,too_early_to_close,Outcome label is post-rank review only.
2024,malik_nabers_2024,NYG,6,12.9,,,12.9,1,early_hit,Outcome label is post-rank review only.
2024,rome_odunze_2024,CHI,9,6.8,,,6.8,0,too_early_to_close,Outcome label is post-rank review only.
2024,brock_bowers_2024,LV,13,10.9,,,10.9,1,early_te_hit,Outcome label is post-rank review only.
2024,jayden_daniels_2024,WAS,2,19.5,,,19.5,1,elite_qb_exception,Outcome label is post-rank review only.
2024,caleb_williams_2024,CHI,1,12.2,,,12.2,0,too_early_to_close,Outcome label is post-rank review only.
2024,drake_maye_2024,NE,3,12.0,,,12.0,0,too_early_to_close,Outcome label is post-rank review only.
2024,brian_thomas_jr_2024,JAX,23,12.7,,,12.7,1,early_hit,Outcome label is post-rank review only.
2024,ladd_mcconkey_2024,LAC,34,11.0,,,11.0,1,early_hit,Outcome label is post-rank review only.
2024,xavier_worthy_2024,KC,28,7.6,,,7.6,0,too_early_to_close,Outcome label is post-rank review only.
2024,jonathon_brooks_2024,CAR,46,1.8,,,1.8,0,injury_delayed,Outcome label is post-rank review only.
2024,trey_benson_2024,ARI,66,2.3,,,2.3,0,role_limited,Outcome label is post-rank review only.
2024,keon_coleman_2024,BUF,33,5.5,,,5.5,0,too_early_to_close,Outcome label is post-rank review only.
2024,ricky_pearsall_2024,SF,31,4.8,,,4.8,0,too_early_to_close,Outcome label is post-rank review only.
2024,xavier_legette_2024,CAR,32,5.6,,,5.6,0,too_early_to_close,Outcome label is post-rank review only.
2024,bo_nix_2024,DEN,12,15.5,,,15.5,1,qb_hit_but_1qb_context,Outcome label is post-rank review only.
2024,michael_penix_jr_2024,ATL,8,1.2,,,1.2,0,too_early_to_close,Outcome label is post-rank review only.
2024,blake_corum_2024,LAR,83,1.6,,,1.6,0,role_limited,Outcome label is post-rank review only.
2024,jalynn_polk_2024,NE,37,2.1,,,2.1,0,miss_to_date,Outcome label is post-rank review only.
2024,troy_franklin_2024,DEN,102,3.2,,,3.2,0,too_early_to_close,Outcome label is post-rank review only.
