current_label,current_status,underlying_state,latest_receipt,last_known_good_receipt,freshness_status,missingness,source_status,wording_truthful_before,corrected_wording,logic_owner,permitted_next_action
"Last manual Refresh Data run","GREEN","REFRESH_SUCCESS","valid latest","not required","CURRENT/FRESH/GREEN from existing fields","present","explicit refresh success","partly","Latest refresh attempt: REFRESH_SUCCESS; receipt validation is separate","data_health_dashboard_service.py","Existing explicit refresh controls only"
"Last manual Refresh Data run","YELLOW","STALE_RETAINED_DATA","valid latest","optional matching prior","STALE from existing fields","present","successful attempt but stale retained evidence","no","Latest attempt succeeded, but retained data is stale under existing policy","data_health_dashboard_service.py","Review existing freshness evidence"
"Last manual Refresh Data run","YELLOW","PARTIAL_SUCCESS","valid latest","per-source only","mixed existing states","present","successful and incomplete portions","no","Partial success with successful and incomplete counts visible","data_health_dashboard_service.py","Review incomplete rows or choose an existing control"
"Failed sources","RED","REFRESH_FAILED","valid latest failed","validated matching prior only","separately stale/current/unknown","present","failed","yes after correction","Latest failed; prior retained-data evidence is labeled separately","data_health_dashboard_service.py","Review existing failure context"
"Last-known-good retained-data links","YELLOW","REFRESH_FAILED","valid latest failed","none","NOT_ENOUGH_INFORMATION","prior absent","failed","no","No last-known-good established","refresh_receipt_store_service.py","Review only"
"Sources skipped","YELLOW","SOURCE_SKIPPED","valid latest","not inferred","existing only","present","skipped","no","Skipped remains separate from unavailable, gated, and failed","data_health_dashboard_service.py","Review policy or use an existing explicit control"
"Sources unavailable","YELLOW","SOURCE_UNAVAILABLE","valid latest","not inferred","existing only","present","not configured/unavailable","no","Unavailable remains separate from gated, missing, and failed","data_health_dashboard_service.py","Review availability/configuration"
"Sources gated","YELLOW","SOURCE_GATED","valid latest","not inferred","existing only","present","blocked by policy/manual gate","no","Gated remains separate from unavailable and failed","data_health_dashboard_service.py","Review gate; no automatic bypass"
"Receipt storage status","YELLOW","NOT_ENOUGH_INFORMATION","missing","none","not available","missing","unknown","no","Latest refresh receipt is missing; no current outcome is inferred","refresh_receipt_store_service.py","Run an existing explicit refresh if appropriate"
"Receipt storage status","RED","NOT_ENOUGH_INFORMATION","corrupt/oversized","validated backup labeled prior only","not trusted","invalid","unknown","no","Invalid latest is not current truth; validated backup is prior evidence only","refresh_receipt_store_service.py","Review quarantined metadata"
"Receipt storage status","RED","NOT_ENOUGH_INFORMATION","unsupported schema","validated backup labeled prior only","not trusted","unsupported","unknown","no","Unsupported schema fails closed and is preserved","refresh_receipt_store_service.py","Explicit future migration/review"
"Not-enough-information sources","YELLOW","NOT_ENOUGH_INFORMATION","valid latest","not inferred","unknown","present","unresolved","no","Not enough information; never upgraded to healthy","data_health_dashboard_service.py","Review existing evidence"
"Identity exception metadata","YELLOW","NOT_ENOUGH_INFORMATION","valid latest preserves field","not inferred","existing only","present","identity exception","yes","Identity exception remains preserved and unresolved","refresh_receipt_store_service.py","Existing identity-review lane only"
"Source exception metadata","YELLOW","NOT_ENOUGH_INFORMATION","valid latest preserves field","not inferred","existing only","present","source exception","yes","Source exception remains preserved and unresolved","refresh_receipt_store_service.py","Existing source-governance review only"
"DynastyProcess latest refresh outcome","evidence-dependent","canonical refresh state","valid latest matching source","per-source only","existing result fields","present or missing","matching source result","no","Latest refresh outcome; current only with explicit successful current evidence","data_health_dashboard_service.py","Review or use existing explicit refresh"
"NFLVerse canonical dataset coverage","coverage-only","per-dataset canonical states","valid latest dataset rows","per-dataset only","existing dataset fields","present or missing","25 canonical identifiers checked","no","Coverage count does not assert dataset health","data_health_dashboard_service.py","Review individual dataset rows"
