Candidate Rank,Final Board Rank,Player,Pos,NFL Team,Age,Candidate Value,Confidence,ADP Range,Current Pick Value,Human Review Note,Source
1,1,Jeremiyah Love,RB,ARI,Not enough information,62.86,Medium-low,Early 1st equivalent,Value,Confidence: Medium-low; manual_review_penalty,Frozen Board
2,31,Zay Flowers,WR,BAL,25.8,59.26,Medium-low,Late 1st equivalent,Value,Confidence: Medium-low; manual_review_penalty,Frozen Board
3,34,Chris Olave,WR,NO,26.0,56.99,Medium-low,Early 1st equivalent,Value,Confidence: Medium-low; manual_review_penalty,Frozen Board
4,2,Makai Lemon,WR,PHI,Not enough information,54.66,Medium-low,Early 2nd equivalent,Fair,Confidence: Medium-low; manual_review_penalty,Frozen Board
5,3,Carnell Tate,WR,TEN,Not enough information,52.84,Medium-low,Mid 1st equivalent,Fair,Confidence: Medium-low; manual_review_penalty,Frozen Board
6,42,Jameson Williams,WR,DET,25.2,52.73,Medium-low,Late 1st equivalent,Fair,Confidence: Medium-low; manual_review_penalty,Frozen Board
7,4,KC Concepcion,WR,CLE,Not enough information,51.01,Medium-low,Early 2nd equivalent,Fair,Confidence: Medium-low; manual_review_penalty,Frozen Board
8,6,Denzel Boston,WR,CLE,Not enough information,49.74,Medium-low,Mid/Late 2nd equivalent,Slight reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
9,5,Jadarian Price,RB,SEA,Not enough information,49.19,Medium-low,Late 1st equivalent,Slight reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
10,7,Germie Bernard,WR,PIT,Not enough information,47.91,Medium-low,Depth / later,Slight reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
11,8,Chris Bell,WR,MIA,Not enough information,46.09,Medium-low,Depth / later,Slight reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
12,9,Zachariah Branch,WR,ATL,Not enough information,44.26,Medium-low,Depth / later,Slight reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
13,Not on frozen board,Tyreek Hill,WR,MIA,32.3,43.51,Low,Depth / later,Not enough information,PDF Free Agent / Draftable; candidate value is review-only.,LVE PDF Free Agent
14,47,Alec Pierce,WR,IND,26.1,42.38,Medium-low,Mid/Late 2nd equivalent,Reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
15,11,Jonah Coleman,RB,DEN,Not enough information,40.61,Medium-low,Mid/Late 2nd equivalent,Reach,Confidence: Medium-low; manual_review_penalty,Frozen Board
