"lane_name","verdict","local_commit","artifact_path","remote_hq_verified","status","local_only_vs_remote_b125","canonicalization_recommended","production_ranking_app_source_gates_blocked","notes"
"Formula Data Mart / Feature Availability Audit V1","YELLOW_FORMULA_DATA_MART_PARTIAL_COMPONENT_ONLY","4e923ae790086189909d2e3769e7039cd0d2fb73","C:\NWR\Niners-War-Room-formula-data-mart-feature-availability-audit-v1-20260709\docs\hq\data_hygiene\formula_data_mart_feature_availability_audit_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Established 5518 row review-only Formula Data Mart and partial component readiness."
"Small Review-Only Formula Pilot V1","GREEN_SMALL_FORMULA_PILOT_FOUND_PROMISING_REVIEW_ONLY_CANDIDATES","8be8825bd6f1c32794b452c23545200f3a5262dd","C:\NWR\Niners-War-Room-small-review-only-formula-pilot-v1-20260709\docs\hq\model\small_review_only_formula_pilot_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","15 fixed candidates; multi-year production beat PYF in review-only testing."
"Medium Review-Only Formula Pilot V1","GREEN_MEDIUM_FORMULA_PILOT_FOUND_STRONG_REVIEW_ONLY_CANDIDATES","bd0331d17a0bccee2c5d73d28d3a013822ddbee2","C:\NWR\Niners-War-Room-medium-review-only-formula-pilot-v1-20260709\docs\hq\model\medium_review_only_formula_pilot_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","40 fixed candidates; best medium Spearman 0.754; 25 beat PYF overall."
"Full Review-Only Formula Gauntlet Candidate Arena V1","GREEN_REVIEW_ONLY_GAUNTLET_FOUND_STRONG_CANDIDATE_NEIGHBORHOODS","8f57c3b758606204f39787c7ff86e69ee514ed39","C:\NWR\Niners-War-Room-full-review-only-formula-gauntlet-candidate-arena-v1-20260709\docs\hq\model\full_review_only_formula_gauntlet_candidate_arena_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","120 registered and 114 scored review-only candidates; best around 0.755."
"Gauntlet Candidate Diversity / Clustering Audit V1","GREEN_GAUNTLET_HAS_DIVERSE_PROMISING_NEIGHBORHOODS","c66e983f0f43f79bc5f2e55f9431f7d390e99c65","C:\NWR\Niners-War-Room-gauntlet-candidate-diversity-clustering-audit-v1-20260709\docs\hq\model\gauntlet_candidate_diversity_clustering_audit_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","90 PYF beating formulas collapsed to 7 clusters and 6 genuinely distinct promising clusters."
"Diverse Champion Refinement V1","YELLOW_DIVERSE_CHAMPION_REFINEMENT_MIXED_RESULTS","5c9efdacc7356579e2751bdfd4269e5010ad7f87","C:\NWR\Niners-War-Room-diverse-champion-refinement-predeclared-execution-v1-20260709\docs\hq\model\diverse_champion_refinement_predeclared_execution_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","136 predeclared refinement candidates all beat PYF but none beat prior Gauntlet best."
"Formula Results Master Review / Data Upgrade Pivot V1","GREEN_FORMULA_RESULTS_PLATEAU_CONFIRMED_DATA_UPGRADE_NEXT","31ccd04dc1921da67008acfc1e9605722a065ab6","C:\NWR\Niners-War-Room-formula-results-master-review-data-upgrade-pivot-v1-20260709\docs\hq\master\formula_results_master_review_data_upgrade_pivot_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Declared same-ingredient formula plateau and pivoted to data upgrades."
"High-Value Signal Data Locator Audit V1","GREEN_HIGH_VALUE_SIGNAL_DATA_FOUND_WITH_EXECUTABLE_NEXT_LANE","2807ef342cf8d69db4d84ee809cb8f353adaf843","C:\NWR\Niners-War-Room-high-value-signal-data-locator-audit-v1-20260709\docs\hq\data_hygiene\high_value_signal_data_locator_audit_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Ledgered 1247 candidate artifacts and selected PFR RB broken tackle as next executable lane."
"PFR RB Broken Tackle Data Mart Join / Component Test V1","RED_PFR_RB_BROKEN_TACKLE_NO_INCREMENTAL_SIGNAL","843c17838caa020f5f123e6df5cd1fdd45d5b9c6","C:\NWR\Niners-War-Room-pfr-rb-broken-tackle-data-mart-join-component-test-v1-20260709\docs\hq\data_hygiene\pfr_rb_broken_tackle_data_mart_join_component_test_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","PFR RB broken tackles found but trailed PYF and lacked incremental signal."
"nflverse Advanced Ingredient Availability / Formula Mart Gap Audit V1","GREEN_NFLVERSE_ADVANCED_INGREDIENTS_FOUND_WITH_EXECUTABLE_SIDECARE_LANE","067111f031a1a20a2411157c54860d4864c79950","C:\NWR\Niners-War-Room-nflverse-advanced-ingredient-availability-formula-mart-gap-audit-v1-20260709\docs\hq\data_hygiene\nflverse_advanced_ingredient_availability_formula_mart_gap_audit_v1_20260709","b125be9ee73f1adc3487c1fa69ae954e8e49790f","accepted","yes","yes","yes","Selected ffopportunity as highest value immediately executable ingredient."
