player_id,player_name,position,class_year,model_mode,source_snapshot_id,source_name,source_date,data_completeness_status,draft_capital,rushing_profile,passing_efficiency,sack_avoidance,age_trajectory,workload_earning,rush_efficiency,receiving_impact,goal_line_power,target_earning,efficiency_dominance,chain_moving,receiving_efficiency,route_role,production_volume,athletic_size,rookie_opportunity_score
rookie_qb_elite,Elite Rushing QB,QB,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,92,95,86,72,82,,,,,,,,,,,,85
rookie_qb_pocket,Good Pocket QB,QB,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,88,25,84,80,75,,,,,,,,,,,,90
rookie_rb_three_down,High Capital Three-Down RB,RB,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,90,,,,82,88,84,76,85,,,,,,,,87
rookie_rb_satellite,Satellite Receiving RB,RB,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,62,,,,76,54,62,86,30,,,,,,,,50
rookie_wr_elite,Elite WR Profile,WR,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,93,,,,84,,,,,92,90,86,,,,,82
rookie_wr_older,Older Raw WR,WR,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,58,,,,32,,,,,38,62,44,,,,,55
rookie_te_elite,Elite TE Exception,TE,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,88,,,,80,,,,,,,,90,87,82,81,78
rookie_te_day3,Day 3 TE Suppressed,TE,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,38,,,,70,,,,,,,,68,55,62,77,42
rookie_wr_vet_drag,Rookie Loses To Veteran,WR,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,66,,,,72,,,,,58,64,58,,,,,52
rookie_rb_beats_vet,Rookie Beats Veteran,RB,2026,post_draft,lve_v1_fixture,manual_fixture,2026-05-05,complete,86,,,,80,82,80,68,78,,,,,,,,80
