source_path,source_family,raw_vs_derived,row_grain,seasons_covered,team_id_fields,team_abbreviation_fields,player_team_join_fields,team_offensive_columns,source_hash,file_size,row_count,regular_season_rows,team_season_rows,duplicate_keys,missingness,source_use_gate_status,asof_leakage_status,lag_safe
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2012.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2012,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,447b90789104aac70427ec9d3b51df7247234029d0ecabd269279369b1cc6278,19322039,47834,43507,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2013.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2013,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,f454605a1983b3946baf0ffadf3a0b9f5e04735c4b84732e0483f2049a780d00,19521610,48158,43914,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2014.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2014,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,54c01408d8f0ff9e013a4ea51428b91d610101f72545d082e932f5710e2fb4f7,19360792,47629,43422,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2015.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2015,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,01b5ae7d06633a2e66b418404461a3d4ff055ad2f3a87d453cebcc8d3fda7ed9,19545842,48122,43799,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2016.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2016,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,95eba04e2145e3c1c8ca502f2a3a76cfb0a5990680c3fb480f02a74a45f54a3b,19344382,47651,43395,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2017.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2017,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,84eacd963c1fdd45965f6222c62e9329a7f3412f029d92c1ac5e34a1bb4d3710,19050401,47245,42929,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2018.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2018,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,2e6f2dce7c7ebd46e985cabe0c17eb72b39a77f98cb4478409294f50b5820150,19072097,47109,42697,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2019.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2019,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,60c3067017db2d28a78f66a79b657268be8578d9a5288e6a827efdcd7fe42540,19119729,47260,43012,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2020.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2020,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,73b7dbf66fa8cb9356f58bf6b1f15a0fee197ecc10cf4983b640cb9679b15cb4,19311336,47705,43004,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
C:\NWR_REVIEW\nflverse_epa_opportunity_source_cache_20260709\play_by_play_2021.parquet,nflfastR_public_play_by_play,raw_public_parquet_aggregated_to_review_sidecar,play_by_play_raw_to_team_season_derived,2021,posteam,posteam,prior player-season team derived from lagged player sidecars,season|week|season_type|game_id|posteam|play_type|pass_attempt|rush_attempt|yards_gained|first_down|touchdown|pass_touchdown|rush_touchdown|posteam_score|epa|success|interception|fumble_lost|sack,333ad34378e5339d5172717cc83378e908daf02c8699416ab3e17c2ec10f78d8,20249925,49922,45049,32,0,team rows with no posteam excluded,PUBLIC_NFLVERSE_NO_KEY_REVIEW_ONLY_NOT_MODEL_USE,PASS_LAGGED_CLOSED_FEATURE_SEASON_N_TO_TARGET_N_PLUS_1,yes
