source_name,source_artifact,row_count,coverage_years,timestamp_fields_present,as_of_fields_present,season_fields_present,week_fields_present,date_fields_present,extraction_time_known,publication_time_known,point_in_time_snapshot_available,current_only_risk,backfill_risk,replay_ready,experiment_ready,model_use_allowed,training_allowed,source_truth_allowed,blocker_reason,notes
rosters,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,Not enough information,partial_status_snapshot_only,false,false,false,false,false,false,false,high,high,false,false,false,false,false,Current roster status in display artifact lacks roster event/as-of timestamp.,dataset_policy=identity_only; coverage_check=player/team/season coverage; missing stays Not enough information; builder did not read raw/shared data.
weekly_rosters,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,Not enough information,partial_week_context_only,false,false,partial,false,false,false,false,high,high,false,false,false,false,false,Weekly roster status lacks frozen season-week extraction/as-of proof.,dataset_policy=identity_only; coverage_check=player/team/week coverage; missing stays Not enough information; builder did not read raw/shared data.
injuries,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2024-2025,partial_report_week_and_modified_values,false,partial,true,partial,false,false,false,high,high,false,false,false,false,false,Injury report publication/as-of timing is not proven; missing injury is not healthy.,dataset_policy=transparency_only; coverage_check=team/week/status coverage; missing stays Not enough information; builder did not read raw/shared data.
practice_status,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2024-2025,partial_report_week_only,false,partial,partial,false,false,false,false,high,high,false,false,false,false,false,Practice status can leak late-week health/role information without publication timing.,dataset_policy=transparency_only; coverage_check=team/week/status coverage; missing stays Not enough information; builder did not read raw/shared data.
depth_charts,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,Not enough information,false,false,false,false,false,false,false,false,high,high,false,false,false,false,false,Depth chart publication timestamp and team/week context are not tracked.,dataset_policy=review_only; coverage_check=team/week/position coverage; missing stays Not enough information; builder did not read raw/shared data.
schedules,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2026,game_date_and_week_present,false,true,true,true,false,false,false,medium,medium,false,false,false,false,false,Schedule release/update timestamp and reschedule history are not tracked.,dataset_policy=display_only; coverage_check=unique game/team/week coverage; missing stays Not enough information; builder did not read raw/shared data.
snap_counts,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2024-2025,season_week_present_only,false,false,true,false,false,false,false,high,high,false,false,false,false,false,Completed-game cutoff and lag policy are not tracked; missing snaps are not zero.,dataset_policy=safe_review; coverage_check=player/game snap coverage; missing stays Not enough information; builder did not read raw/shared data.
player_stats,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2024-2025,season_week_present_only,false,false,true,false,false,false,false,high,high,false,false,false,false,false,Player stats can overlap labels; sidecar/replay exclusion rules are not proven.,dataset_policy=safe_review; coverage_check=season/week/player key coverage; missing stays Not enough information; builder did not read raw/shared data.
draft_picks,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2024-2025,event_chronology_known_but_not_manifested,false,false,false,false,false,false,false,medium,medium,false,false,false,false,false,Draft event/publication timestamp and post-draft anchor split are not tracked here.,dataset_policy=safe_review; coverage_check=draft-year/pick/player coverage; missing stays Not enough information; builder did not read raw/shared data.
combine,docs\hq\data_sources\nflverse_dataset_level_refresh_health_20260630\nflverse_dataset_registry_v1.csv,25,Not enough information,event_chronology_known_but_not_manifested,false,false,false,false,false,false,false,medium,medium,false,false,false,false,false,"Dataset health exists, but no row-level combine as-of manifest exists here.",dataset_policy=safe_review; coverage_check=draft-class measurement coverage; missing stays Not enough information; builder did not read raw/shared data.
contracts,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2005-2026,contract_year_signed_present_only,false,false,false,false,false,false,false,high,high,false,false,false,false,false,Contract context is display-only and cannot become value/trade/model input.,dataset_policy=display_only; coverage_check=current contract row coverage; missing stays Not enough information; builder did not read raw/shared data.
availability_denominator_artifact,docs\hq\data_sources\nflverse_availability_denominator_display_v1_20260630\availability_denominator_display_artifact.csv,588,2024-2026,source_as_of_and_season_anchor_present,partial_source_as_of_only,partial,false,partial,false,false,false,high,high,false,false,false,false,false,Denominator artifact is display-only; active/inactive hierarchy and games_missed remain blocked.,dataset_policy=tracked_artifact_only; coverage_check=tracked summary only; missing stays Not enough information; builder did not read raw/shared data.
player_context_display_artifact,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_display_artifact.csv,294,2026,mixed_display_context_dates,false,partial,partial,partial,false,false,false,high,high,false,false,false,false,false,Current display artifact is not historical replay proof.,dataset_policy=tracked_artifact_only; coverage_check=tracked summary only; missing stays Not enough information; builder did not read raw/shared data.
identity_bridge_artifacts,docs\hq\data_sources\nflverse_player_context_display_20260630\nflverse_player_context_join_health.csv,15,Not enough information,false,false,false,false,false,false,false,false,medium,medium,false,false,false,false,false,"Identity bridge is prerequisite gating evidence, not a predictive feature.",dataset_policy=tracked_artifact_only; coverage_check=tracked summary only; missing stays Not enough information; builder did not read raw/shared data.
