worksheet_id,review_group,subject_type,subject,position,surface,model_says,source_report,warning_context,money_action_risk,human_prior_before_model,agreement_with_model,disagreement_reason,final_human_decision,follow_up_notes
UJ01,source_safety_sentinel,current_player,Keenan Allen,WR,Player Board,current checkpoint row is 41.6097 while legacy active-pack 82.4 must remain comparison-only,LEGACY_VS_CURRENT_SENTINEL_EXPANSION_20260605.md,team/identity warnings and legacy-active-pack quarantine,Legacy leak could make an old value look like primary model value,,,,,
UJ02,source_safety_sentinel,current_player,Darius Slayton,WR,Player Board,legacy active-pack 78.88 must remain comparison-only and fail closed if no Model v4 row exists,LEGACY_VS_CURRENT_SENTINEL_EXPANSION_20260605.md,legacy-active-pack quarantine,Legacy leak could create a false primary Player Board value,,,,,
UJ03,blank_primary_score,current_player,Jeremiyah Love,RB,Player Board,current-player primary score is blank and manual-only,TOP_BOTTOM_CURRENT_PLAYER_SANITY_SCAN_20260605.md,missing_rotowire_player_stats; missing_stats_first_component_evidence; missing_vorp_anchor,Blank current-player score should not be backfilled from rookie or market context,,,,,
UJ04,blank_primary_score,current_player,Carnell Tate,WR,Player Board,current-player primary score is blank and manual-only,TOP_BOTTOM_CURRENT_PLAYER_SANITY_SCAN_20260605.md,missing_rotowire_player_stats; missing_stats_first_component_evidence; missing_vorp_anchor,Blank current-player score should not be used as a confident roster value,,,,,
UJ05,blank_primary_score,current_player,Jordyn Tyson,WR,Player Board,current-player primary score is blank and manual-only,TOP_BOTTOM_CURRENT_PLAYER_SANITY_SCAN_20260605.md,missing_rotowire_player_stats; missing_stats_first_component_evidence; missing_vorp_anchor,Blank current-player score should not become a final value,,,,,
UJ06,blank_primary_score,current_player,Fernando Mendoza,QB,Player Board,current-player primary score is blank and manual-only,QB_1QB_DISCIPLINE_REPORT_20260605.md,missing_rotowire_player_stats; missing_stats_first_component_evidence; missing_vorp_anchor,Blank QB row should not be inferred from other context,,,,,
UJ07,blank_primary_score,current_player,Kenyon Sadiq,TE,Player Board,current-player primary score is blank and manual-only,TE_NO_PREMIUM_DISCIPLINE_REPORT_20260605.md,missing_rotowire_player_stats; missing_stats_first_component_evidence; missing_vorp_anchor,Blank TE row should not be inferred from other context,,,,,
UJ08,manual_pick_sentinel,pick,2026 5.04,,Draft Room,missing exact pick baseline and no invented equivalence,PICK_VALUE_LADDER_AUDIT_20260605.md,pick_baseline_missing_review; no_exact_equivalence_without_pick_baseline,Late pick context can look broken or actionable without manual-only framing,,,,,
UJ09,qb_1qb_context,current_player,Josh Allen,QB,Player Board,top-20 current-player score in 1QB context,QB_1QB_DISCIPLINE_REPORT_20260605.md,qb_rushing_age_caution_active; source-review warning,High QB row may feel aggressive in 1QB if context is not visible,,,,,
UJ10,qb_1qb_context,current_player,Jalen Hurts,QB,Player Board,top-20 current-player score in 1QB context,QB_1QB_DISCIPLINE_REPORT_20260605.md,source-review warning,High QB row may crowd RB/WR neighborhoods in 1QB,,,,,
UJ11,qb_1qb_context,current_player,Patrick Mahomes,QB,Player Board,top-20 current-player score in 1QB context,QB_1QB_DISCIPLINE_REPORT_20260605.md,partial_first_down_confidence_cap; qb_rushing_age_caution_active,High QB row needs human 1QB prior check,,,,,
UJ12,qb_1qb_context,current_player,Joe Burrow,QB,Player Board,bottom-band score with explicit 1QB cap context,QB_1QB_DISCIPLINE_REPORT_20260605.md,one_qb_pocket_mid_qb_cap; source-review warning,Low QB row may conflict with human prior,,,,,
UJ13,qb_1qb_context,current_player,Jayden Daniels,QB,Player Board,bottom-band score with explicit 1QB replacement-level cap,QB_1QB_DISCIPLINE_REPORT_20260605.md,one_qb_replacement_level_qb_cap,Legacy-vs-current spread is large and needs human review,,,,,
UJ14,te_no_premium_context,current_player,Trey McBride,TE,Player Board,highest numeric current-player score in no-premium TE context,TE_NO_PREMIUM_DISCIPLINE_REPORT_20260605.md,source-review warnings; no-premium context must stay visible,Could be valid elite exception or overaggressive TE ceiling; human prior required,,,,,
UJ15,te_no_premium_context,current_player,Brock Bowers,TE,Player Board,TE near notable RB/WR score neighborhoods,TE_NO_PREMIUM_DISCIPLINE_REPORT_20260605.md,partial_first_down_confidence_cap; source-review warnings,No-premium TE value can be misread without format context,,,,,
UJ16,te_no_premium_context,current_player,T.J. Hockenson,TE,Player Board,low TE score with replacement-level no-premium cap context,TE_NO_PREMIUM_DISCIPLINE_REPORT_20260605.md,no_premium_te_replacement_level_cap; first_down_missing_confidence_cap,Low TE row may conflict with name-value prior,,,,,
UJ17,rb_wr_balance,current_player,Christian McCaffrey,RB,Player Board,top RB row with age-cliff warning,RB_WR_CROSS_POSITION_BALANCE_REPORT_20260605.md,rb_age_cliff_guardrail_active; source-review warnings,Aging RB score needs human risk tolerance before money decisions,,,,,
UJ18,rb_wr_balance,current_player,Jonathan Taylor,RB,Player Board,top RB row with age-window warning,RB_WR_CROSS_POSITION_BALANCE_REPORT_20260605.md,rb_age_window_caution_active; source-review warnings,High RB value should be checked against age/role prior,,,,,
UJ19,rb_wr_balance,current_player,CeeDee Lamb,WR,Player Board,elite-name WR below several RB-heavy tiers,RB_WR_CROSS_POSITION_BALANCE_REPORT_20260605.md,partial_first_down_confidence_cap; source-review warnings,Potential WR/RB balance disagreement needs human prior,,,,,
UJ20,rb_wr_balance,current_player,Justin Jefferson,WR,Player Board,elite-name WR below several RB-heavy tiers,RB_WR_CROSS_POSITION_BALANCE_REPORT_20260605.md,partial_first_down_confidence_cap; source-review warnings,Potential WR/RB balance disagreement needs human prior,,,,,
UJ21,young_player_evidence,current_player,Garrett Wilson,WR,Player Board,young WR sanity row in middle score band,YOUNG_PLAYER_EVIDENCE_AUDIT_20260605.md,first_down_evidence_gap; role_lifecycle_evidence_gap,May conflict with human dynasty upside prior,,,,,
UJ22,young_player_evidence,current_player,Malik Nabers,WR,Player Board,young WR sanity row in middle score band,YOUNG_PLAYER_EVIDENCE_AUDIT_20260605.md,role_lifecycle_evidence_gap,May conflict with human dynasty upside prior,,,,,
UJ23,young_player_evidence,current_player,Brian Thomas Jr.,WR,Player Board,young WR sanity row in middle score band,YOUNG_PLAYER_EVIDENCE_AUDIT_20260605.md,first_down_evidence_gap; role_lifecycle_evidence_gap,May be source-sensitive rather than formula conviction,,,,,
