season_or_year,position,player_stats_rows,matched_drafted_players,outcome_v2_label_overlap,missing_match_count,feasible_for_review_sidecar,blocker_reason,notes
2012,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,11,9,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2012,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,21,19,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2012,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,12,10,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2012,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,33,29,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2013,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,11,5,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2013,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,25,21,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2013,TE,Not enough information; current tracked receipt covers 2024-2025 player context only,16,14,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2013,WR,Not enough information; current tracked receipt covers 2024-2025 player context only,28,24,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2014,QB,Not enough information; current tracked receipt covers 2024-2025 player context only,14,9,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
2014,RB,Not enough information; current tracked receipt covers 2024-2025 player context only,19,16,Not enough information; player_stats sidecar match not computed in this review packet,needs_historical_player_stats_refresh,Requires sidecar parity lane; no label truth or training promotion.,player_stats can support future review-only comparison after explicit label-spec/parity checks.
