id,control,result
1,"pre-staged prohibited content rejects","PASS"
2,"untracked prohibited content rejects","PASS"
3,"benign final index passes","PASS"
4,"cached diff equals reviewed write-tree","PASS"
5,"index drift rejects","PASS"
6,"unstaged tracked drift rejects","PASS"
7,"untracked drift rejects","PASS"
8,"policy and profile tampering has no effect","PASS"
9,"repository command text is never executed","PASS"
10,"structured approved command runs literally","PASS"
11,"working-directory traversal rejects","PASS"
12,"out-of-root UNC and alternate-drive paths reject","PASS"
13,"exact commit tree is enforced in disposable repository","PASS"
14,"wrong parent rejects","PASS"
15,"wrong branch rejects","PASS"
16,"wrong remote and repository root reject","PASS"
17,"push binding accepts only exact disposable authorized tuple","PASS"
18,"no force-push path exists","PASS"
19,"legitimate approval-only dry-run remains available","PASS"
20,"controls work after Hermetic bootstrap","PASS"
