field_name,field_group,position_scope,description,allowed_statuses,private_value_allowed_now,app_display_allowed_now,source_required,manual_review_required,notes
player_id,identity,ALL,Stable rookie prospect identifier,use_now,yes,no,official_structured|CFBD_structured,no,Identity only; not a value signal.
player_name,identity,ALL,Display name for review artifacts,use_now,yes,no,official_structured|CFBD_structured,no,Identity only.
position,identity,ALL,Player position,use_now,yes,no,official_structured|CFBD_structured,no,Used for field scope and caps.
school,identity,ALL,Final or current college program,use_now,yes,no,official_structured|CFBD_structured,no,Context only.
source_type,source_status,ALL,Source category assigned to evidence row,use_now|excluded|conflict_review,conditional,no,official_structured|official_note|CFBD_structured|RotoWire_factual|secondary_structured_soft_flag|secondary_note_manual_only|wire_note_manual_only|manual_scouting_only|unavailable|excluded,yes,Controls source-safety handling.
evidence_status,source_status,ALL,Allowed evidence status for a field,use_now|use_as_soft_flag|manual_review_only|unavailable|excluded|conflict_review,conditional,no,any allowed source type,yes,Status must be carried into review outputs.
pick_zone_label,pick_zone,ALL,Review-only pick-zone label,use_now|manual_review_only|unavailable,conditional,no,derived from approved review contract,yes,Not a rank or recommendation.
current_pick_zone,pick_zone,ALL,Existing candidate pick-zone context,use_now|manual_review_only|unavailable,conditional,no,tracked candidate artifact,yes,Review context only.
v03_candidate_pick_zone,pick_zone,ALL,v0.3 candidate pick-zone context,use_now|manual_review_only|unavailable,conditional,no,tracked candidate artifact,yes,Must not create app-readable output.
tag_summary,tags,ALL,Pipe-delimited review tags,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,approved source status,yes,Tags describe review reasons only.
WR_route_earning_tag,tags,WR,WR route earning category tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|secondary_structured_soft_flag|secondary_note_manual_only,yes,No soft-only promotion.
WR_separation_press_tag,tags,WR,WR separation or press context tag,use_as_soft_flag|manual_review_only|unavailable,conditional,no,secondary_structured_soft_flag|secondary_note_manual_only|manual_scouting_only,yes,No numeric conversion from prose.
WR_yac_contested_drop_tag,tags,WR,WR YAC contested catch or drop context tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|secondary_structured_soft_flag|secondary_note_manual_only,yes,Hard use requires source-safe structured data.
RB_contact_tag,tags,RB,RB contact or tackle-breaking context tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|secondary_structured_soft_flag|secondary_note_manual_only,yes,Secondary charting remains soft/manual.
RB_first_down_short_yardage_tag,tags,RB,RB first-down or short-yardage context tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|secondary_structured_soft_flag|secondary_note_manual_only,yes,No inference for missing rates.
RB_receiving_special_teams_tag,tags,RB,RB receiving or special-teams context tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|official_note|secondary_note_manual_only,yes,Official factual return data may be use_now.
RB_pass_protection_fumble_tag,tags,RB,RB pass protection or fumble context tag,use_now|use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|secondary_structured_soft_flag|secondary_note_manual_only,yes,Pass protection often requires manual review.
injury_tag,tags,ALL,Injury context tag,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_note|wire_note_manual_only|manual_scouting_only,yes,Does not auto-cap or auto-promote.
TE_exception_tag,tags,TE,TE exception path tag,use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|official_note|secondary_note_manual_only,yes,TE remains discounted unless true exception gate passes.
QB_exception_tag,tags,QB,QB exception path tag,use_as_soft_flag|manual_review_only|unavailable,conditional,no,official_structured|official_note|secondary_note_manual_only,yes,QB remains discounted unless exception gate passes.
source_conflict_tag,tags,ALL,Source conflict indicator,conflict_review,conditional,no,multiple sources,yes,Blocks promotion until resolved.
hard_caps,caps,ALL,Hard cap labels blocking promotion,use_now|manual_review_only|unavailable,conditional,no,approved cap logic,yes,Caps preserve blocked state until approved change.
cap_reason,caps,ALL,Human-readable cap explanation,use_now|manual_review_only|unavailable,conditional,no,approved cap logic,yes,Not a scoring field.
soft_flags,soft_flags,ALL,Soft evidence flags,use_as_soft_flag|manual_review_only|unavailable,conditional,no,allowed source type,yes,Cannot open zones or override caps.
soft_flag_reason,soft_flags,ALL,Human-readable soft flag explanation,use_as_soft_flag|manual_review_only|unavailable,conditional,no,allowed source type,yes,Review context only.
manual_review_flags,manual_review,ALL,Fields requiring human review,manual_review_only|conflict_review,conditional,no,allowed source type,yes,Required for premium unresolved evidence.
manual_review_reason,manual_review,ALL,Reason manual review is required,manual_review_only|conflict_review,conditional,no,allowed source type,yes,Must be explicit in review exports.
route_tree_grade_or_notes,WR_charting,WR,Route-tree scouting or charting context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,secondary_structured_soft_flag|secondary_note_manual_only|manual_scouting_only,yes,No prose-to-number conversion.
separation_grade_or_notes,WR_charting,WR,Separation scouting or charting context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,secondary_structured_soft_flag|secondary_note_manual_only|manual_scouting_only,yes,Manual review required unless structured source is approved.
press_success_grade_or_notes,WR_charting,WR,Press success context,use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,secondary_structured_soft_flag|secondary_note_manual_only|manual_scouting_only,yes,No inferred grade.
career_yprr,WR_charting,WR,Career yards per route run,use_now|use_as_soft_flag|manual_review_only|unavailable|conflict_review,conditional,no,official_structured|secondary_structured_soft_flag,yes,Hard use requires approved structured provenance.
