feature_name,current_source_or_service,appears_in_replay_contract,approved_in_gate_e_six_feature_cap,pre_draft_allowed,post_draft_allowed,review_only,model_use_allowed,training_allowed,blocked_leakage,downgrade_behavior,required_gate,notes
draft_capital_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
age_trajectory_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
production_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
efficiency_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
target_earning_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
rushing_profile_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
receiving_role_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
athleticism_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
lve_position_fit_score,historical_rookie_replay_service,yes,no,pending,no,yes,false,false,false,downgrade_to_review_only_unless_feature_gate_approves,Gate E feature approval,Replay contract feature is not automatically part of the six-feature Gate E cap.
draft_year,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
draft_round,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
draft_pick,Gate E six-feature cap / drafted-only review artifacts,no,yes,yes,yes,yes,false,false,false,review-only receipts; no model/training promotion in this lane,Gate E model-use approval,Named in the existing six-feature Gate E cap.
