archetype,examples,count,direction,median_difference,largest_examples,positions,consistency,internal_explanation,historical_helpfulness,owner_category
Production and opportunity persistence,"Courtland Sutton; Jonathan Taylor; Christian McCaffrey; Davante Adams; Joe Mixon; Wan'Dale Robinson",6,NWR_HIGHER,"about 40 comparable overall ranks","Sutton about 70-110; Mixon installed market +220",RB/WR,RECURRING,"Production/opportunity survives explicit age and risk penalties",NOT_ENOUGH_INFORMATION,DOUBLE-CHECK
Efficiency or explosiveness with uncertain volume,"Alec Pierce; Jameson Williams; Michael Wilson; Parker Washington",4,NWR_HIGHER,"not safely comparable across sources","Pierce #27; Washington #44",WR,RECURRING,"Efficiency/explosive research can offset generic role uncertainty",NOT_ENOUGH_INFORMATION,"TRUST NWR MORE as shortlist; DOUBLE-CHECK role"
Young cornerstone discount,"Brock Bowers; Ashton Jeanty; TreVeyon Henderson; Luther Burden",4,MARKET_HIGHER,"about 31 comparable ranks","Henderson roughly 60+; Bowers roughly 22-33",RB/WR/TE,RECURRING,"Finished production scale and evidence gates can outweigh age/market status",NOT_ENOUGH_INFORMATION,DOUBLE-CHECK
Elite tight-end relative ordering,"Trey McBride; Kyle Pitts; Brock Bowers; George Kittle",4,MIXED,"about 26 comparable ranks","Pitts NWR #17 versus public ~70; Bowers NWR #45 versus public #12-23",TE,CONSISTENT_SPLIT,"NWR differentiates TE research/production rather than applying a uniform scarcity premium",NOT_ENOUGH_INFORMATION,DOUBLE-CHECK
Position economics - QB in 1QB,"Josh Allen; Drake Maye; Trevor Lawrence; Jalen Hurts; Lamar Jackson; Brock Purdy",6,MARKET_HIGHER_IN_TAIL,"about 50 for compatible public 1QB neighborhoods","Purdy #185 versus public ~78; several elite real-life QBs below #140",QB,STRONG,"10-team 1QB replacement pool and incoming-QB trade penalty are explicit",NOT_ENOUGH_INFORMATION,"TRUST NWR MORE in shallow 1QB; DOUBLE-CHECK league behavior"
Rookie evidence separation,"Jeremiyah Love; Carnell Tate; KC Concepcion; De'Zhaun Stribling",4,MIXED,"not applicable across review and veteran scales","Stribling blocked despite official pick #33",Rookie,STRONG,"Draft capital production identity and evidence completeness are separately governed",NOT_ENOUGH_INFORMATION,"TRUST NWR MORE for uncertainty; TRUST EXTERNAL CONTEXT MORE for late news"
Unknown future-pick conservatism,"Original trade plus eight perturbations",9,ROUGHLY_ALIGNED,"not rank-comparable","Puka upgrade moved dimensions but retained COUNTER",Trade,STRONG,"Unknown slots ownership and opponent roster prevent false precision",NOT_ENOUGH_INFORMATION,"TRUST NWR MORE for honesty; DOUBLE-CHECK label"
Stale market buy-low calls,"Joe Mixon; Calvin Austin; Darius Slayton; Kendrick Bourne; Courtland Sutton",5,NWR_HIGHER,"196 installed market ranks among five listed extremes","Mixon +220; Calvin Austin +210; Slayton +208",RB/WR,STRONG_IN_SORTED_EXTREMES,"Market lens is display-only and some current role/team fields are unavailable",NOT_ENOUGH_INFORMATION,TRUST EXTERNAL CONTEXT MORE
Outcome calibration buckets,"16 sampled players across QB/RB/WR/TE",16,ROUGHLY_ALIGNED,"not rank-comparable","Repeated QB RB WR and TE probability patterns",QB/RB/WR/TE,STRONG,"Position/tier calibration families create coarse repeated bands",NOT_ENOUGH_INFORMATION,"TRUST NWR MORE for direction; DOUBLE-CHECK precision"
High-volume poor-efficiency receivers,"Wan'Dale Robinson; Jerry Jeudy",2,MIXED,"not enough comparable observations","Jeudy was not promoted despite 106 projected targets",WR,NOT_CONSISTENT,"Opportunity matters but weak efficiency can prevent elevation",NOT_ENOUGH_INFORMATION,DOUBLE-CHECK
