feature,requested_scope,classification,coverage_or_support,source,decision_date_safe,model_use,missing_reason,governance_note
NFL position,pre/during rookie first NFL season,admitted,"QB/RB/WR/TE on all 5,518 mart rows and current board",docs/hq/data_hygiene/formula_data_mart_feature_availability_audit_v1_20260709/FORMULA_DATA_MART_REVIEW_ONLY.csv,True,bounded research stratification,,Stable football position; exact-ID row grain.
NFL draft capital,positive drafted evidence only,review-only,"4,044/5,518 positive-evidence joins in governed prior audit",docs/hq/model/rookie_draft_capital_data_mart_join_component_test_v1_20260709/ROOKIE_DRAFT_CAPITAL_REVIEW_ONLY_SIDECAR.csv,True,audit context only; not used in released formula,Missing is not confirmed UDFA.,No production/model-use approval.
age at draft,DOB/draft-year derived,review-only,derivable only where governed DOB and draft year coexist,docs/hq/data_hygiene/age_lifecycle_sidecar_freeze_validation_v1_20260709/MODEL_V4_AGE_LIFECYCLE_SIDECAR_REVIEW_ONLY.csv,True,cohort review only,Not complete and source metadata is review-only.,No opaque source content read; tracked sidecar only.
early declare,pre-NFL prospect evidence,missing,0 governed rows,,False,blocked,No repository-proven governed early-declare field.,Do not infer from age or draft year.
college production,pre-NFL prospect evidence,source-blocked,No admitted historical college production panel,,False,blocked,Prior audits keep CFBD/college inputs source-blocked.,No provider call made.
breakout age,pre-NFL prospect evidence,missing,0 governed rows,,False,blocked,No repository-proven breakout-age field.,No proxy manufactured.
athletic testing,combine/pro-day evidence,source-blocked,No admitted complete testing panel,,False,blocked,Combine/athletic evidence lacks governed complete authority.,No provider call made.
NFL opportunity context,during/after first NFL season,review-only,lagged carries/targets/touches/opportunities and games,docs/hq/data_hygiene/formula_data_mart_feature_availability_audit_v1_20260709/FORMULA_DATA_MART_REVIEW_ONLY.csv,True,bounded temporal research for rows with prior NFL evidence,Unavailable before a rookie has NFL opportunity evidence.,Does not solve true-rookie evaluation.
true-rookie evaluation label,first NFL season,insufficient,0 rows with years_since_rookie_year=0,docs/hq/data_hygiene/formula_data_mart_feature_availability_audit_v1_20260709/FORMULA_DATA_MART_REVIEW_ONLY.csv + docs/hq/data_hygiene/age_lifecycle_sidecar_freeze_validation_v1_20260709/MODEL_V4_AGE_LIFECYCLE_SIDECAR_REVIEW_ONLY.csv,True,unsupported; null-fence current rookies,Mart begins only after a prior NFL feature season exists.,Second-year performance is not rookie precision.
injury-return cohort authority,return from injury,source-blocked,0 authoritative injury-return labels,,False,blocked,Low games is not evidence of injury.,Reported separately from low-games veterans.
