reference_type,candidate_id,candidate_family,scope,spearman,delta_vs_pyf,status,use_decision,notes
PYF baseline,PYF,mandatory_anchor,QB/RB/WR/TE,0.741,0.000,anchor_only,required_comparator_not_formula_winner,Prior-year points remains mandatory baseline.
best small pilot candidate,PILOT_003_THREE_YEAR_WEIGHTED_PRODUCTION_60_30_10,Weighted production,QB/RB/WR/TE,0.754,0.013,PROMISING_REVIEW_ONLY,preserve_as_review_only_reference,Small pilot first showed multi-year production could beat/contextualize PYF.
best medium pilot candidate,MEDIUM_011_THREE_YEAR_60_30_10,three_year_weighted_production,QB/RB/WR/TE,0.754,0.013,PROMISING_REVIEW_ONLY,preserve_as_review_only_reference,Medium pilot confirmed three-year production neighborhood.
best full Gauntlet candidate,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE,H_PRIOR_PRODUCTION_DECLINE_GUARD,QB/RB/WR/TE,0.755,0.013,PROMISING_REVIEW_ONLY,preserve_as_current_review_only_reference_best,Reference best before refinement; not production winner.
best refined candidate,REFINE_007_OVERALL_THREE_65_25_10_LATE_20,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,QB/RB/WR/TE,0.755,0.013,REFINED_MIXED_REVIEW_ONLY,preserve_but_do_not_refine_same_ingredients_now,Tied/trails prior Gauntlet best at rounded precision; no material improvement.
best stable candidate,REFINE_007_OVERALL_THREE_65_25_10_LATE_20,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,QB/RB/WR/TE,0.755,0.013,direction_stable_loso,preserve_as_stability_reference_only,All 136 refined candidates were direction-stable in leave-one-season-out review.
best refined QB,REFINE_015_OVERALL_THREE_55_30_15_LATE_20,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,QB,0.737,0.025,best_by_position_review_only,preserve_as_position_reference_only,Not approved for rankings integration.
best refined RB,REFINE_004_OVERALL_THREE_70_20_10_LATE_30,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,RB,0.651,0.017,best_by_position_review_only,preserve_as_position_reference_only,Not approved for rankings integration.
best refined WR,REFINE_004_OVERALL_THREE_70_20_10_LATE_30,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,WR,0.703,0.012,best_by_position_review_only,preserve_as_position_reference_only,Not approved for rankings integration.
best refined TE,REFINE_001_OVERALL_THREE_70_20_10_LATE_0,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,TE,0.719,0.018,best_by_position_review_only,preserve_as_position_reference_only,Not approved for rankings integration.
most promising guardrail/slice candidate,REFINE_021_OVERALL_THREE_50_30_20_LATE_0,A_OVERALL_DECLINE_AGE_ROLE_REFINEMENT,QB/RB/WR/TE,0.748,0.006,prior_decline_proxy_improves_vs_pyf,preserve_as_slice_reference_only,Slice value is diagnostic; not production boost/penalty.
do not refine further now,same_ingredient_multi_year_weight_neighbors,multi_year_production_age_role_decline_variants,QB/RB/WR/TE,0.754-0.755 plateau,~0.013-0.014,plateaued,block_more_same_ingredient_refinement_until_data_upgrade,Further weight tweaking did not beat prior Gauntlet best or materially improve seeds.
